frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,4.082523807148589,13.855,1.699561077017637,3.696945871580691,0.01,-0.4892477602042952,0.8834294160608664,-1.5042935523101335,-0.26408748001448273,1.009856873040216,1.5272986900479684,0.8986430147765258,2.3674994055475533,-151.02209019821584,-80.0428578781741,-103.82503027260957,151.02209019821584,-80.0428578781741,193.85316045209473,454.467612575799,0.19767521065001273,0.4634279928169141,13.78744697940167,2.8472550597228227e-16,0.8457396360364181,0.9061426867132379,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_up_pitch_bow_up_force_and_moment_about_cg,FnB=2.82,1.945760985042469
1,4.073332218791135,13.801853512677527,1.6919167467628506,3.7136492201529556,0.01,-0.5132577534748086,0.8898531845240099,-1.524123819335099,-0.2872126343904104,1.0272644311517503,1.5509495523768944,0.9166819557429943,2.409081236773455,-150.02411375653307,-79.32807994996524,-103.05885723431643,150.02411375653307,-79.32807994996524,195.684793512754,458.9086802556917,0.19954295657819338,0.4679566215330329,13.890255609721201,5.354523384104073e-16,0.8470573605490387,0.9069561583532938,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_up_pitch_bow_up_force_and_moment_about_cg,FnB=2.82,1.9545522211331345
2,4.064202435322894,13.749162462741648,1.6843408743336963,3.7303525687252197,0.01,-0.5378178722721451,0.8957353557106504,-1.5436552892266506,-0.3112182474679962,1.044791793232232,1.5747153550767405,0.9349148851473891,2.450924469576767,-149.01853130478324,-78.60132884457984,-102.28130018745905,149.01853130478324,-78.60132884457984,197.5068852093711,463.3214588831856,0.20140097302276633,0.47245640344377093,13.992263874269572,7.527171080505045e-16,0.8483585827782547,0.9077592316220394,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_up_pitch_bow_up_force_and_moment_about_cg,FnB=2.82,1.9633434572238
3,4.055133767200251,13.696920896531298,1.6768325442314864,3.747055917297484,0.01,-0.5629173343082902,0.9010422143553825,-1.562845650464898,-0.33611054426199616,1.062427878641747,1.598579627400883,0.9533328971340619,2.4930026106487344,-148.00532030100078,-77.86266025745267,-101.49241169828375,148.00532030100078,-77.86266025745267,199.31746429998017,467.70135539270046,0.20324724987633921,0.47692265492568864,14.093347151412598,4.2793597149221474e-17,0.8496435714167468,0.908552080609193,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_up_pitch_bow_up_force_and_moment_about_cg,FnB=2.82,1.9721346933144654
4,4.046125535602073,13.645122964555304,1.6693908572092575,3.763759265869749,0.01,-0.5885432134608727,0.9057397243661504,-1.5816511041633985,-0.36189359132349974,1.0801608965361227,1.6225249417935979,0.9719263375540429,2.5352874898728466,-146.98447613030436,-77.11214628007741,-100.69226055786973,146.98447613030436,-77.11214628007741,201.11448840168163,472.0436076810985,0.20507970448795626,0.4813505199850086,14.19337655004177,3.191285091115584e-16,0.8509125898442039,0.9093348758308021,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_up_pitch_bow_up_force_and_moment_about_cg,FnB=2.82,1.9809259294051311
5,4.037177072216277,13.593762919214546,1.6620149299127425,3.7804626144420133,0.01,-0.6146803463354847,0.9097936674141972,-1.6000264649923153,-0.3885691216547369,1.097978344703613,1.6465329182799044,0.9906847938883131,2.5777492590893125,-145.95601288777235,-76.34987620915759,-99.8809326041364,145.95601288777235,-76.34987620915759,202.8958468629145,476.34329169247724,0.20689618459200085,0.48573497748209354,14.292219124039345,2.104421179977793e-16,0.8521658962490882,0.9101077843154102,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_up_pitch_bow_up_force_and_moment_about_cg,FnB=2.82,1.9897171654957966
6,4.028287719031579,13.542835112583777,1.6547038945308172,3.797165963014278,0.01,-0.6413112469254987,0.913169794819943,-1.617925280843327,-0.41613636135882043,1.1158670125084955,1.6705842348223323,1.0095970888471366,2.620356400651412,-144.91996413531325,-75.57595732977576,-99.05853151716677,144.91996413531325,-75.57595732977576,204.65936428072038,480.5953300301112,0.20869447189480644,0.49007084991318256,14.389738127993075,1.3659315419498567e-15,0.8534037437472877,0.910870969687859,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_up_pitch_bow_up_force_and_moment_about_cg,FnB=2.82,1.998508401586462
7,4.019456828134251,13.492333994251279,1.6474568984551352,3.8138693115865423,0.01,-0.6684160310573551,0.9158339925130161,-1.635299971891782,-0.4445918599756472,1.133812988290749,1.6946586441008904,1.0286512780334451,2.6630757465939516,-143.87638362466325,-74.79051566466639,-98.22517957996844,143.87638362466325,-74.79051566466639,206.40280469157952,484.79450216190344,0.21047228634812043,0.49435281381705626,14.485793315746697,2.5868123241882594e-16,0.8546263804977385,0.9116245922507981,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_up_pitch_bow_up_force_and_moment_about_cg,FnB=2.82,2.0072996376771277
8,4.010683761509774,13.442254109214606,1.6402731039486667,3.8305726601588064,0.01,-0.6959723523666137,0.9177524586383514,-1.6521019895178952,-0.47392932662699794,1.1518016715543768,1.71873499714357,1.0478346520503325,2.7058725091933775,-142.82534597820617,-73.99369668124544,-97.3810183963599,142.82534597820617,-73.99369668124544,208.12387645934098,488.935456273561,0.21222729113340538,0.49857541186191107,14.580241283024,8.114686082189488e-16,0.8558340498151019,0.9123688090639704,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_up_pitch_bow_up_force_and_moment_about_cg,FnB=2.82,2.016090873767793
9,4.00196789084922,13.392590095830727,1.6331516878228707,3.8472760087310713,0.01,-0.7239553515833946,0.918891893155389,-1.6682819953222592,-0.5041394742494928,1.169817790253222,1.7427912741957867,1.0671337434179644,2.7487103236415904,-141.76694731894048,-73.18566594768194,-96.52620955730026,141.76694731894048,-73.18566594768194,209.8202378777489,493.01272280930255,0.21395709837482618,0.5027330666530392,14.672935854954703,5.281209428801641e-16,0.8570269902795778,0.9131037740213429,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_up_pitch_bow_up_force_and_moment_about_cg,FnB=2.82,2.0248821098584586
