component,row,column,coarse_value,refined_value,extrapolated_value,relative_step_change,step_convergence_evaluated
raw_bem,heave_force,heave,5552.9044771668005,5548.992455423582,5547.6884481758425,0.0007051624797900421,True
raw_bem,heave_force,pitch,-3837.8971294769494,-4488.116316760436,-4704.856045854932,0.13820171774571988,True
raw_bem,pitch_moment,heave,956.8028393956033,957.7593456330553,958.0781810455393,0.000998359274196371,True
raw_bem,pitch_moment,pitch,1250.4795896181065,1201.8691347474778,1185.6656497906015,0.0409984508526613,True
bem,heave_force,heave,5552.9044771668005,5548.992455423582,5547.6884481758425,0.0007051624797900421,True
bem,heave_force,pitch,-3837.8971294769494,-4488.116316760436,-4704.856045854932,0.13820171774571988,True
bem,pitch_moment,heave,956.8028393956033,957.7593456330553,958.0781810455393,0.000998359274196371,True
bem,pitch_moment,pitch,1250.4795896181065,1201.8691347474778,1185.6656497906015,0.0409984508526613,True
front,heave_force,heave,-0.0,-0.0,0.0,0.0,True
front,heave_force,pitch,-86.7364928369616,-86.7366255996535,-86.73666985388412,1.530640870976789e-06,True
front,pitch_moment,heave,87.38404236453273,87.38404236453285,87.38404236453289,1.3010022727874949e-15,True
front,pitch_moment,pitch,1.2495873281486598,1.2495898365132103,1.2495906726347272,2.0073489707027403e-06,True
transom,heave_force,heave,-0.0,-0.0,0.0,0.0,True
transom,heave_force,pitch,-0.0,-0.0,0.0,0.0,True
transom,pitch_moment,heave,-0.0,-0.0,0.0,0.0,True
transom,pitch_moment,pitch,-0.0,-0.0,0.0,0.0,True
total,heave_force,heave,5552.9044771668005,5548.992455423582,5547.6884481758425,0.0007051624797900421,True
total,heave_force,pitch,-3924.633622313902,-4574.85294236008,-4791.592715708806,0.1357000393448493,True
total,pitch_moment,heave,1044.1868817601353,1045.1433879975873,1045.4622234100714,0.0009149122905006435,True
total,pitch_moment,pitch,1251.729176946256,1203.118724583991,1186.915240463236,0.04095528535238379,True
longitudinal_bin_aft_post_chine,heave_force,heave,944.9908311521401,942.2426207750824,941.3265506493966,0.002919507980691502,True
longitudinal_bin_aft_post_chine,heave_force,pitch,-1249.6732877616,-1275.4877661982873,-1284.0925923438497,0.020103284288532666,True
longitudinal_bin_aft_post_chine,pitch_moment,heave,-530.2179736029558,-528.5415611277315,-527.9827569693234,0.00317512731826148,True
longitudinal_bin_aft_post_chine,pitch_moment,pitch,694.3148234695589,707.4017417491045,711.7640478422863,0.018386596399774167,True
longitudinal_bin_middle_post_chine,heave_force,heave,585.3150396132955,591.2941211299785,593.2871483022062,0.010077888142012105,True
longitudinal_bin_middle_post_chine,heave_force,pitch,-1181.0787942167206,-1261.5449001120921,-1288.3669354105493,0.06245589178344627,True
longitudinal_bin_middle_post_chine,pitch_moment,heave,-162.826584171437,-163.89075864709073,-164.24548347230865,0.006479170404908945,True
longitudinal_bin_middle_post_chine,pitch_moment,pitch,305.93378876729975,324.94814335150886,331.2862615462452,0.05739554213767131,True
longitudinal_bin_forward_post_chine,heave_force,heave,376.78111892725553,372.4346797555765,370.9858666983502,0.01171591578504294,True
longitudinal_bin_forward_post_chine,heave_force,pitch,-1520.8836209587193,-1681.3390876708409,-1734.8242432415482,0.09249090640577387,True
longitudinal_bin_forward_post_chine,pitch_moment,heave,2.0311292543211152,-2.1338232963467902,-3.522140813236092,1.1825059733603347,True
longitudinal_bin_forward_post_chine,pitch_moment,pitch,-61.306179680155545,-67.275697352978,-69.26553657725215,0.0861830856700955,True
longitudinal_bin_pre_chine,heave_force,heave,3645.817487474105,3643.0210337629514,3642.0888825259003,0.0007678158884507957,True
longitudinal_bin_pre_chine,heave_force,pitch,113.7385734600986,-269.74456277918307,-397.5722748589437,0.9645620695641799,True
longitudinal_bin_pre_chine,pitch_moment,heave,1647.816267915681,1652.3254887042276,1653.8285623004097,0.002726534594537691,True
longitudinal_bin_pre_chine,pitch_moment,pitch,311.53715706139934,236.7949469998384,211.88087697931806,0.35275580848599475,True
resolved_station_bem,heave_force,heave,0.0,0.0,0.0,,False
resolved_station_bem,heave_force,pitch,0.0,0.0,0.0,,False
resolved_station_bem,pitch_moment,heave,0.0,0.0,0.0,,False
resolved_station_bem,pitch_moment,pitch,0.0,0.0,0.0,,False
transom_extrapolation,heave_force,heave,0.0,0.0,0.0,,False
transom_extrapolation,heave_force,pitch,0.0,0.0,0.0,,False
transom_extrapolation,pitch_moment,heave,0.0,0.0,0.0,,False
transom_extrapolation,pitch_moment,pitch,0.0,0.0,0.0,,False
pre_chine_bem,heave_force,heave,0.0,0.0,0.0,,False
pre_chine_bem,heave_force,pitch,0.0,0.0,0.0,,False
pre_chine_bem,pitch_moment,heave,0.0,0.0,0.0,,False
pre_chine_bem,pitch_moment,pitch,0.0,0.0,0.0,,False
post_chine_bem,heave_force,heave,0.0,0.0,0.0,,False
post_chine_bem,heave_force,pitch,0.0,0.0,0.0,,False
post_chine_bem,pitch_moment,heave,0.0,0.0,0.0,,False
post_chine_bem,pitch_moment,pitch,0.0,0.0,0.0,,False
