frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,24.408713893795365,3.2612816916742378,1.9265999999999999,0.01,-0.3119881335282019,-0.21418836753886997,-0.19420154176603246,-0.5931435646494507,0.37843526824461965,0.6241262108815501,0.19137451771642075,1.0762874823901039,-55.529338897287914,-18.128999722963584,-30.460182455320165,55.529338897287914,-18.128999722963584,225.46617510055486,641.2362755953378,0.2299115142281563,0.6538790265741491,6.633943559602137,2.0393510619627432e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.014
1,5.620244580566254,24.141999351937958,3.2209928105300336,1.9506983333333334,0.01,-0.3232633132537537,-0.21929015780104694,-0.20176306895553406,-0.608299593776613,0.3906242990447503,0.6408874564095852,0.19897202325767482,1.1067434423196505,-55.84844836282517,-18.349842203992722,-30.756868389266344,55.84844836282517,-18.349842203992722,227.66995579739555,645.0500678226011,0.23215874513457255,0.6577680123412187,6.658010732022635,2.777525938706672e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.0266833333333334
2,5.585847557002136,23.881582390254252,3.181687215314785,1.9747966666666668,0.01,-0.33466789903020955,-0.22460651217532965,-0.2091034893235473,-0.6237925320455949,0.40305171870724116,0.6579068264451566,0.20677922810211427,1.1376882665868115,-56.13315328373355,-18.531831553751488,-31.015666264268106,56.13315328373355,-18.531831553751488,229.87247764652355,648.8577234418092,0.23440469237356648,0.6616507405095616,6.6818500348015775,2.110447119909966e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.0393666666666668
3,5.552074450332887,23.627239060241614,3.1433293430518296,1.9988949999999999,0.01,-0.3461943778199753,-0.23015230441303658,-0.21619797413799624,-0.6396288012668627,0.41571700766361586,0.6751789151265444,0.2147973824693213,1.169114082874988,-56.383778134266564,-18.675529753144474,-31.237126748881877,56.383778134266564,-18.675529753144474,232.0725335934183,652.6537578950497,0.23664812509207356,0.6655216183865538,6.705417734806146,8.339058328384184e-17,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.05205
4,5.518906624083483,23.378755970888136,3.105885325299929,2.022993333333333,0.01,-0.35783434915872103,-0.23594247486208997,-0.22302084316620846,-0.6558135558647091,0.42861903000437745,0.6926974206264093,0.22302736517148034,1.2010114445402256,-56.600647838788205,-18.78149726097385,-31.421794248971736,56.600647838788205,-18.78149726097385,234.268687655644,656.4322983255652,0.23888757899552243,0.6693746573249431,6.728667688732496,6.07073477478119e-17,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.0647333333333333
5,5.486326211925033,23.135929671918355,3.0693228884130344,2.0470916666666668,0.01,-0.3695784708522872,-0.24199197231627326,-0.22954558413291656,-0.6723505727518984,0.4417559968840659,0.7104551132019022,0.23146965602215824,1.2333692619339918,-56.78408998591752,-18.85029384794703,-31.570208516917916,56.78408998591752,-18.85029384794703,236.45928101764167,660.1870964135644,0.2411213625627933,0.6732034858117343,6.751551316710086,4.0694267834893377e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.0774166666666667
6,5.45431607723286,22.898566079851403,3.033611260762936,2.07119,0.01,-0.3814164070715661,-0.24831568894282827,-0.2357448840547326,-0.6892421373148082,0.45512542991853805,0.7284438030543361,0.24012430744707106,1.2661747338392586,-56.93443693383779,-18.882479556409947,-31.682906304799076,56.93443693383779,-18.882479556409947,238.64243793997247,663.9115405954792,0.24334756307196903,0.6770013619283642,6.774017592125309,1.7889846883791688e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.0901
7,5.422859775210269,22.666479943440176,2.998721086364209,2.0952883333333334,0.01,-0.3933367796288346,-0.2549283880050894,-0.24159067343784732,-0.7064889263168049,0.46872412485347476,0.7466543085661693,0.2489909154810554,1.2994132799395772,-57.05202783062316,-18.878615784115226,-31.76042306522129,57.05202783062316,-18.878615784115226,240.81607162485892,667.5986681719063,0.2455640525815227,0.680761185697365,6.796013049494776,7.324579553115218e-17,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.1027833333333334
8,5.391941517387847,22.43949434537118,2.9646243443918934,2.1193866666666663,0.01,-0.40532712332764764,-0.2618446241852163,-0.24705418430580542,-0.7240898887319157,0.4825481158597174,0.7650764255594371,0.2580685903786472,1.3330684753902455,-57.13721056878768,-18.839266486192656,-31.803294700083626,57.13721056878768,-18.839266486192656,242.97789019710294,671.2411778077566,0.24776849402915668,0.6844755118289697,6.817481812283571,3.1234381368621864e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.1154666666666666
9,5.361546138324173,22.217440237384114,2.931294274128154,2.143485,0.01,-0.4173738463333463,-0.2690786563994105,-0.2521060229845037,-0.7420421256865662,0.49659264083633353,0.7836988982501513,0.2673559270958029,1.3671219886204793,-57.19034368736169,-18.76499948740519,-31.81205935457399,57.19034368736169,-18.76499948740519,245.12540294747876,674.8314428795587,0.24995834759829177,0.6881365633315748,6.838365642600724,1.3795067244487214e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.12815
10,5.331659064348433,22.00015600622233,2.8987053049154214,2.1675833333333334,0.01,-0.4294621966107534,-0.2766443531159389,-0.25671625849895846,-0.7603407709036011,0.5108521081767889,0.8025093926403518,0.2768509759441612,1.4015535236307861,-57.21179823137376,-18.656387893529114,-31.787259251099215,57.21179823137376,-18.656387893529114,247.25592699873184,678.3615261185184,0.25213087751549396,0.6917362464435036,6.858604014707836,3.391276504652156e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.1408333333333334
11,5.302266284198574,21.78748706805184,2.866832990730673,2.1916816666666668,0.01,-0.44157623553335557,-0.28455509032185927,-0.26085452733453496,-0.7789788732420991,0.5253200654990166,0.8214944731332365,0.2865512137572622,1.4363407681409959,-57.20195957332095,-18.51401158849012,-31.729442554954858,57.20195957332095,-18.51401158849012,249.36659455048215,681.8231959693045,0.25428315943822016,0.695266167314327,6.878134214241552,6.642821803205491e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.1535166666666667
12,5.273354321420639,21.579285489191584,2.8356539490290493,2.2157799999999996,0.01,-0.4536988198211312,-0.2928236424158954,-0.2644901551896214,-0.7979472831166277,0.5399891708773422,0.8406395831897506,0.2964535159438592,1.47145934900925,-57.16122919889415,-18.338458802785,-31.63916526225657,57.16122919889415,-18.338458802785,251.45436085148776,685.2079450462041,0.25641208858426456,0.6987176508249037,6.896891464970536,1.171115499840562e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.1662
13,5.244910208405784,21.375409631182546,2.8051458035352757,2.239878333333333,0.01,-0.46581159301670394,-0.3014620664959706,-0.2675922961499483,-0.817234544800438,0.5548511671833992,0.8599290308938179,0.3065541298459654,1.5068827964538973,-57.090026454067555,-18.130327734720595,-31.51699309680245,57.090026454067555,-18.130327734720595,253.51601305502984,688.5070110556953,0.25851438876173805,0.7020817619224663,6.914809084777333,1.8468034747735103e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.1788833333333333
14,5.216921461951359,21.17572381839062,2.7752871306887377,2.2639766666666667,0.01,-0.4778949877103654,-0.3104815806690581,-0.2701300895272954,-0.8368267967785249,0.569896860154052,0.8793459803027653,0.3168486498492643,1.5425825186295423,-56.98879024851031,-17.89022820661188,-31.36350340211675,56.98879024851031,-17.89022820661188,255.54818009240938,691.7114005007594,0.26058662243723335,0.7053493297922935,6.93181867236925,1.8235380939031043e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.1915666666666667
15,5.189376060241433,20.980098026489696,2.7460574094728476,2.288075,0.01,-0.48992823972870053,-0.319892437226892,-0.2720728343235506,-0.8567076824958165,0.5851161008540307,0.898872449474453,0.327331994725852,1.5785277881609339,-56.85798070612236,-17.618783334424336,-31.179287011550343,56.85798070612236,-17.618783334424336,257.54734369855,694.8119154502931,0.2626252019788103,0.7085109751549135,6.947850325976062,2.3556828753928637e-16,1.0,1.0,zarnick_momentum_strip_plus_matched_bie_dynamic_correction,heave_pitch_2x2_v1,FnB=2.82,1.20425
