frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,20.657180752563452,3.2612816916742378,1.9265999999999999,0.01,0.007026275580294209,0.02329442367034251,0.014974428390152082,0.12737617921980363,0.024331023872078462,0.12825336072886093,0.03932606038180644,0.17829512196659203,163.2151617238885,173.295045641024,171.92644992634206,-163.2151617238885,173.295045641024,10.382513013739294,76.08193694753228,0.010587216851564291,0.07758198462016315,6.9123247742461755,1.2710135049482638e-16,0.6025414721396578,0.7518694697881603,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.014
1,5.620244580566254,20.436811509004407,3.2209928105300336,1.9506983333333334,0.01,0.006757251942436728,0.026955315100597697,0.0069183886683022635,0.1310525864765148,0.027789376854943603,0.13123507352819247,0.04074367167140524,0.18522646366967863,165.9269060070082,176.97810732397397,175.3301385368453,-165.9269060070082,176.97810732397397,11.60660185995203,77.3622895167,0.011835440094172865,0.07888758089327141,6.954885066447704,6.457743407634537e-17,0.6109891659460216,0.7573833718940609,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0266833333333334
2,5.585847557002136,20.221608747450148,3.181687215314785,1.9747966666666668,0.01,0.006440883165514113,0.030753362159368216,-0.0013565401235259246,0.13474479792565955,0.03142060247762706,0.13475162622073827,0.042352254354897804,0.1929113032263339,168.17113503502094,-179.4231955571434,178.5715613257612,-168.17113503502094,-179.4231955571434,12.848307284935458,78.88402854000545,0.013101627247771114,0.08043932284725717,6.998399149636081,1.3085872525132697e-16,0.619188031365281,0.7627228823688765,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0393666666666668
3,5.552074450332887,20.011389428371302,3.1433293430518296,1.9988949999999999,0.01,0.006073336907556895,0.03468908867995381,-0.009852760526803056,0.13844934790660676,0.035216733162495246,0.138799491446342,0.04415684018384877,0.20132662857597203,170.0693531503784,-175.92940315177094,-178.3549696920486,-170.0693531503784,-175.92940315177094,14.102741771673298,80.62239735490965,0.014380794432016336,0.08221196571195022,7.042885009945492,2.09019667710059e-16,0.6271468142697088,0.767894906955513,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.05205
4,5.518906624083483,19.805979120463157,3.105885325299929,2.022993333333333,0.01,0.005650737091800299,0.03876308701785157,-0.018572959779212035,0.14216263007202848,0.039172793426486455,0.1433707369861669,0.04616098856525615,0.2104477940816637,171.70605811962957,-172.55670053783427,-175.45057026893468,-171.70605811962957,-172.55670053783427,15.366578401833175,82.55378910665512,0.01566954913434575,0.08418143719481692,7.088361095103635,0.0,0.6348739444869563,0.7729060369655527,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0647333333333333
5,5.486326211925033,19.60521149862499,3.0693228884130344,2.0470916666666668,0.01,0.005169152573759685,0.042976015504157195,-0.027520100936363926,0.1458808865598662,0.043285771876499624,0.1484539963053882,0.048367018297688774,0.22024977163480638,173.14141540939113,-169.3168301543336,-172.71269930156402,-173.14141540939113,-169.3168301543336,16.637506182337596,84.65615324332443,0.016965534797650162,0.08632525199056194,7.134846319096458,9.457572936348241e-17,0.6423775434979919,0.7777625643657532,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0774166666666667
6,5.45431607723286,19.408927876742364,3.033611260762936,2.07119,0.01,0.004624585791167216,0.04732859562207921,-0.03669741473201885,0.1496001964961325,0.04755399833135129,0.1540354473479895,0.05077626436198369,0.2307081141708847,174.41921399068258,-166.2173092731101,-170.13605719216622,-174.41921399068258,-166.2173092731101,17.91389938431862,86.90924190234503,0.018267093639845022,0.08862276302544196,7.18236006632656,2.332718076107423e-16,0.6496654326631937,0.7824704962200847,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0901
7,5.422859775210269,19.21697677248563,2.998721086364209,2.0952883333333334,0.01,0.004012961373450542,0.051821608895906625,-0.04610839208087595,0.15331646380152264,0.0519767544922258,0.16009972483701335,0.053389335061876604,0.24179964973760643,175.57196684340306,-163.261866066496,-167.71339623740874,-175.57196684340306,-163.261866066496,19.19460982164167,89.29472370994559,0.019573054836913396,0.09105527750041614,7.230922195178065,9.7580168592312e-17,0.6567451418291659,0.7870355684940792,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1027833333333334
8,5.391941517387847,19.029213501590554,2.9646243443918934,2.1193866666666663,0.01,0.003330114686409401,0.056455893477288265,-0.05575677713032684,0.15702540427154688,0.05655402348324617,0.16663071680396646,0.05620635110791614,0.25350294357589154,176.62425520830374,-160.45100342037503,-165.4362069453777,-176.62425520830374,-160.45100342037503,20.478832102366447,91.79619590610199,0.020882597117635942,0.09360606925515033,7.28055304089197,1.4155946689295437e-16,0.6636239181928999,0.79146325923266,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1154666666666666
9,5.361546138324173,18.84549979931368,2.931294274128154,2.143485,0.01,0.0025717802871426886,0.06123234040932749,-0.06564656076913951,0.16072253189680108,0.06128632446026679,0.17361222076839686,0.059227155151467634,0.2657985730702715,177.59497020128674,-157.78261060202775,-163.29527018424778,-177.59497020128674,-157.78261060202775,21.766013575562603,94.39912412374277,0.02219515693489887,0.09626031735989636,7.331273417645703,1.0026604008487608e-16,0.6703087353204211,0.7957588011260103,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.12815
