frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,16.74364272255437,3.2612816916742378,1.9265999999999999,0.01,-0.23329138772238167,-0.3685935014185191,0.15616729176916874,-0.5844699066641043,0.43621788234023423,0.6049737967998807,0.18550185295073562,1.0726729265704675,-32.33066979860399,14.959661756337368,-2.426904777852826,32.33066979860399,14.959661756337368,122.29349644730725,300.72339545299,0.12470466106907788,0.30665252196518694,5.869782063604828,1.4078426513884572e-16,0.48071431077428584,0.6708386514160075,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.014
1,5.620244580566254,16.571620136368367,3.2209928105300336,1.9506983333333334,0.01,-0.23953609291310154,-0.3729506961192468,0.14982688146050216,-0.5914520859807121,0.44324909649530564,0.6101341364151943,0.18942424659271223,1.0860873351286466,-32.711530436638725,14.215157359268261,-3.129588264744797,32.711530436638725,14.215157359268261,121.7244436465289,298.25977687351207,0.1241243887020837,0.3041403301570996,5.939949355039244,1.6489342113269996e-16,0.4911012595114308,0.6778660321567264,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.0266833333333334
2,5.585847557002136,16.403584089072403,3.181687215314785,1.9747966666666668,0.01,-0.2458336274866843,-0.37714260527167687,0.1433078173411684,-0.5983971089490757,0.4501896457209669,0.6153179913749489,0.19339361468756808,1.09946943304992,-33.097596449045625,13.467891845165212,-3.8296756768803277,33.097596449045625,13.467891845165212,121.13593634521331,295.8425643978332,0.12352427826547628,0.30167545940543733,6.010898470598124,1.4183001908982853e-16,0.5012130374920667,0.6846846018925166,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.0393666666666668
3,5.552074450332887,16.23939421670911,3.1433293430518296,1.9988949999999999,0.01,-0.25218923297474544,-0.3811758714887708,0.13661634325092012,-0.60531893178569,0.457049728403392,0.6205441438136549,0.19741620304131868,1.1128466694979755,-33.48896386127166,12.718179385706975,-4.527208568239104,33.48896386127166,12.718179385706975,120.53220577957066,293.4776139953273,0.12290864441942016,0.2992638811371134,6.082664039838344,2.7918898431319654e-16,0.5110574365906801,0.6913018355675419,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.05205
4,5.518906624083483,16.07891673010324,3.105885325299929,2.022993333333333,0.01,-0.25860816082491056,-0.38505723928514274,0.1297585181423068,-0.6122314947031047,0.46383969037927153,0.6258311882104352,0.20149848518634536,1.1262464942563097,-33.88569069819974,11.966391258311575,-5.222172540149387,33.88569069819974,11.966391258311575,119.91720023426247,291.1702667239137,0.12228151329379806,0.29691104171548255,6.1552802312167,1.764189919735341e-16,0.520642115093778,0.69772492524215,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.0647333333333333
5,5.486326211925033,15.92202403252935,3.0693228884130344,2.0470916666666668,0.01,-0.26509567447217075,-0.3887935601719188,0.12274025515734067,-0.6191487417303984,0.47057002566569256,0.6311975400953529,0.20564716161931984,1.1396963580904738,-34.28779808813067,11.212956222754144,-5.914498646540807,34.28779808813067,11.212956222754144,119.29460685807605,288.92539167501934,0.1216466447340081,0.29462190623201534,6.228780722679371,1.0959817393664969e-18,0.5299745848427916,0.7039607885749407,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.0774166666666667
6,5.45431607723286,15.768594363826843,3.033611260762936,2.07119,0.01,-0.27165705082847197,-0.39239180007014196,0.11556736159525152,-0.6260846405223739,0.47725137823489755,0.6366614423413104,0.20986915844358833,1.1532237123614795,-34.695270917915934,10.458360799543328,-6.604064575861656,34.695270917915934,10.458360799543328,118.66787187479153,286.7474249055541,0.12100755291031243,0.2924009982058645,6.30319866408752,1.6033591646143235e-16,0.5390622010539686,0.71001607751362,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.0901
7,5.422859775210269,15.618511468848578,2.998721086364209,2.0952883333333334,0.01,-0.2782975810736265,-0.39585904887052187,0.10824557987555328,-0.6330532019504712,0.48389454450748454,0.6422409688445132,0.2141716252854968,1.1668560073014755,-35.10805810418782,9.70314940470385,-7.290695660891032,35.10805810418782,9.70314940470385,118.04021925179572,284.64040460991544,0.12036752535452547,0.29025243544932816,6.3785666309148965,1.4267930091955776e-16,0.5479121544441086,0.7158971870993636,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.1027833333333334
8,5.391941517387847,15.471664288320284,2.9646243443918934,2.1193866666666663,0.01,-0.28502257062962855,-0.39920253199120964,0.1007806296323445,-0.6400684992733353,0.49051047625561917,0.6479540254301315,0.21856193235944044,1.1806206884080803,-35.526072537013306,8.94792429976448,-7.974165762180036,35.526072537013306,8.94792429976448,117.41466789107008,282.60800277489136,0.11972964048994315,0.28817996234686805,6.45491656859735,8.250104338056249e-17,0.5565314653384918,0.721610264305957,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.1154666666666666
9,5.361546138324173,15.327946670359896,2.931294274128154,2.143485,0.01,-0.29183733819459645,-0.40242962381317665,0.09317825107767948,-0.6471446866940975,0.49711028362620113,0.6538183478538184,0.22304766656301736,1.1945451904728939,-35.949190744865945,8.193345317692092,-8.654198067373642,35.949190744865945,8.193345317692092,116.79404740854159,280.65355355361044,0.11909678372180264,0.2861869787884858,6.532279726856801,2.176044729666363e-16,0.564926979478888,0.7271612168490507,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.12815
