scope,metric,eligible_point_count,median_relative_error,nrmse,median_limit,nrmse_limit,status
faltinsen_ch9,heave_motion,7,0.6772801322737989,0.7877547039349933,0.15,0.2,FAIL
faltinsen_ch9,pitch_motion,7,0.5690196306510398,0.5888597003307607,0.15,0.2,FAIL
matched_delta_added_only,heave_motion,7,0.6107536156357739,1.215226583345634,0.15,0.2,FAIL
matched_delta_added_only,pitch_motion,7,0.7745759354362808,1.2681396897268238,0.15,0.2,FAIL
matched_delta_damping_only,heave_motion,7,0.713870546004917,0.7940795999328653,0.15,0.2,FAIL
matched_delta_damping_only,pitch_motion,7,0.7750338349768062,0.7421603434270151,0.15,0.2,FAIL
matched_delta_added_and_damping,heave_motion,7,0.7184951491371284,1.119416431875712,0.15,0.2,FAIL
matched_delta_added_and_damping,pitch_motion,7,0.8798787787187109,1.3869044409004396,0.15,0.2,FAIL
matched_raw_added_only,heave_motion,7,0.7980520417807259,2.9520994668229203,0.15,0.2,FAIL
matched_raw_added_only,pitch_motion,7,0.8632049630285824,3.2727502053771396,0.15,0.2,FAIL
matched_raw_damping_only,heave_motion,7,0.5229131236327618,0.4497745640867911,0.15,0.2,FAIL
matched_raw_damping_only,pitch_motion,7,0.6038517312208196,0.5751661576998838,0.15,0.2,FAIL
matched_raw_added_and_damping,heave_motion,7,0.6003722625517407,0.5497806783374467,0.15,0.2,FAIL
matched_raw_added_and_damping,pitch_motion,7,0.6098880983691246,0.4789973965713277,0.15,0.2,FAIL
