configuration,metric,eligible_experimental_points,dense_computed_points,reference_peak_is_interior,reference_peak_uncertainty_resolved,peak_is_resolved,computed_peak_is_interior,reference_discrete_peak_rao,reference_neighbor_max_rao,digitization_uncertainty_abs,reference_peak_omega_e_rad_s,computed_peak_omega_e_rad_s,reference_peak_rao_quadratic,computed_peak_rao_quadratic,peak_frequency_relative_error,limit,status,reason,route
FnB=1.67,heave,7,218,True,True,True,True,1.057692308,0.9653846154,0.01538461538,7.607131080061594,7.967038200141603,1.0576996441128128,2.428083514351158,0.0473118073413158,0.1,PASS,experimental peak is bracketed and uncertainty-resolved,faltinsen_ch9
FnB=1.67,pitch,7,218,False,False,False,True,1.146153846,,0.01538461538,5.601,7.895596703839275,1.146153846,2.121316423192738,0.4096762549257767,0.1,UNRESOLVED,experimental maximum is at the measured-range boundary,faltinsen_ch9
FnB=1.67,heave,7,218,True,True,True,True,1.057692308,0.9653846154,0.01538461538,7.607131080061594,7.8208051812270165,1.0576996441128128,4.273586728994246,0.028088657723470273,0.1,PASS,experimental peak is bracketed and uncertainty-resolved,matched_delta_added_only
FnB=1.67,pitch,7,218,False,False,False,True,1.146153846,,0.01538461538,5.601,7.763370633442761,1.146153846,2.8897112318061318,0.3860686722804429,0.1,UNRESOLVED,experimental maximum is at the measured-range boundary,matched_delta_added_only
FnB=1.67,heave,7,218,True,True,True,True,1.057692308,0.9653846154,0.01538461538,7.607131080061594,6.804821172409247,1.0576996441128128,1.5886178753242337,0.10546813236270015,0.1,FAIL,experimental peak is bracketed and uncertainty-resolved,matched_delta_damping_only
FnB=1.67,pitch,7,218,False,False,False,True,1.146153846,,0.01538461538,5.601,6.401084019260038,1.146153846,1.7928178255464644,0.14284663796822675,0.1,UNRESOLVED,experimental maximum is at the measured-range boundary,matched_delta_damping_only
FnB=1.67,heave,7,218,True,True,True,True,1.057692308,0.9653846154,0.01538461538,7.607131080061594,6.305905238451312,1.0576996441128128,2.5885282318297413,0.1710534270956385,0.1,FAIL,experimental peak is bracketed and uncertainty-resolved,matched_delta_added_and_damping
FnB=1.67,pitch,7,218,False,False,False,True,1.146153846,,0.01538461538,5.601,5.996088156877935,1.146153846,2.6328101326600226,0.07053886036028119,0.1,UNRESOLVED,experimental maximum is at the measured-range boundary,matched_delta_added_and_damping
FnB=1.67,heave,7,218,True,True,True,True,1.057692308,0.9653846154,0.01538461538,7.607131080061594,7.330137570398521,1.0576996441128128,7.721265588207643,0.03641234872225048,0.1,PASS,experimental peak is bracketed and uncertainty-resolved,matched_raw_added_only
FnB=1.67,pitch,7,218,False,False,False,True,1.146153846,,0.01538461538,5.601,7.316369579848837,1.146153846,5.637488907669194,0.3062613068824919,0.1,UNRESOLVED,experimental maximum is at the measured-range boundary,matched_raw_added_only
FnB=1.67,heave,7,218,True,True,True,True,1.057692308,0.9653846154,0.01538461538,7.607131080061594,7.604668730289969,1.0576996441128128,1.5566160541748637,0.000323689672980445,0.1,PASS,experimental peak is bracketed and uncertainty-resolved,matched_raw_damping_only
FnB=1.67,pitch,7,218,False,False,False,True,1.146153846,,0.01538461538,5.601,7.211589870783231,1.146153846,1.3378842849925396,0.28755398514251584,0.1,UNRESOLVED,experimental maximum is at the measured-range boundary,matched_raw_damping_only
FnB=1.67,heave,7,218,True,True,True,True,1.057692308,0.9653846154,0.01538461538,7.607131080061594,7.007890851993549,1.0576996441128128,2.577520576597095,0.07877348526814033,0.1,PASS,experimental peak is bracketed and uncertainty-resolved,matched_raw_added_and_damping
FnB=1.67,pitch,7,218,False,False,False,True,1.146153846,,0.01538461538,5.601,6.816145992093822,1.146153846,1.991819333865216,0.21695161437133045,0.1,UNRESOLVED,experimental maximum is at the measured-range boundary,matched_raw_added_and_damping
