frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,20.657180752563452,3.2612816916742378,1.9265999999999999,0.01,-0.3479351581557635,-0.12910023414437813,-0.24837670320140218,-0.3086449679347532,0.3711141936614786,0.3961725671025724,0.12147756758147135,0.8177181666484994,-69.64278818813514,-38.824771242948714,-52.269587009359384,69.64278818813514,-38.824771242948714,158.3615208933054,348.9359737360626,0.16148381036674647,0.35581566970990364,6.429306781516653,2.227697696853709e-16,0.6025414721396578,0.7518694697881603,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.014
1,5.620244580566254,20.436811509004407,3.2209928105300336,1.9506983333333334,0.01,-0.3537909401504335,-0.12600221790139016,-0.25973473160933797,-0.3054008905109243,0.3755590343056562,0.4009137497380707,0.12446899863526797,0.8290564194406497,-70.39670433925475,-40.3802141225178,-53.47782971401216,70.39670433925475,-40.3802141225178,156.8572123386199,346.2664107264144,0.15994984254421224,0.3530934730273992,6.467964056342526,1.9418406253826692e-16,0.6109891659460216,0.7573833718940609,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0266833333333334
2,5.585847557002136,20.221608747450148,3.181687215314785,1.9747966666666668,0.01,-0.3596664333880102,-0.12269067085783633,-0.2713462667931878,-0.30210366539803984,0.3800170312257043,0.40607317216178,0.1276282502589132,0.8408577210925048,-71.16428528153091,-41.92984156405913,-54.68118447982479,71.16428528153091,-41.92984156405913,155.39407922471838,343.83804038129836,0.158457861986222,0.3506172244153696,6.506718600505356,1.9386404201559323e-16,0.619188031365281,0.7627228823688765,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0393666666666668
3,5.552074450332887,20.011389428371302,3.1433293430518296,1.9988949999999999,0.01,-0.3655661571839801,-0.1191668483063718,-0.2832110276242686,-0.2987606066912249,0.3844988335658982,0.4116629522783208,0.13096398988170962,0.8531417147500326,-71.94512515069893,-43.46949012065144,-55.87799011601683,71.94512515069893,-43.46949012065144,153.97475218014364,341.64546842679886,0.15701055118735108,0.34838142324524574,6.545591914083365,1.9697891719606163e-16,0.6271468142697088,0.767894906955513,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.05205
4,5.518906624083483,19.805979120463157,3.105885325299929,2.022993333333333,0.01,-0.37149454902384677,-0.11543186577896575,-0.29532896090616956,-0.29537864393002367,0.3890150583096295,0.41769335455553697,0.13448447408959027,0.865926641936659,-72.73878351380996,-44.99518098709029,-57.06664723111413,72.73878351380996,-44.99518098709029,152.60158569561574,339.6829398579167,0.1556103110599601,0.34638020104512424,6.5846053004519005,2.22660959252845e-16,0.6348739444869563,0.7729060369655527,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0647333333333333
5,5.486326211925033,19.60521149862499,3.0693228884130344,2.0470916666666668,0.01,-0.37745597506344386,-0.11148669683255068,-0.3077002433003943,-0.291964352366104,0.39357629080234013,0.4241728689811271,0.13819753880649613,0.8792294035873433,-73.5447859584397,-46.50316240554429,-58.24562727657545,73.5447859584397,-46.50316240554429,151.27668255814314,337.9444099925879,0.15425928585005394,0.3446073939547021,6.623779900359188,8.66210244611212e-17,0.6423775434979919,0.7777625643657532,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0774166666666667
6,5.45431607723286,19.408927876742364,3.033611260762936,2.07119,0.01,-0.3834547403739829,-0.10733217134749987,-0.32032528281109696,-0.28852398153234377,0.3981930849744226,0.43110830974047054,0.1421105977936175,0.8930656270553746,-74.36262476461567,-47.989945431381074,-59.413480395524005,74.36262476461567,-47.989945431381074,150.00191592849697,336.423609959966,0.1529593856500405,0.34305660950474015,6.663136724886074,6.478485423823409e-17,0.6496654326631937,0.7824704962200847,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0901
7,5.422859775210269,19.21697677248563,2.998721086364209,2.0952883333333334,0.01,-0.38949509894851614,-0.10296897425677733,-0.33320471994107403,-0.285063482230865,0.40287596324974173,0.4385049307506088,0.14623064904054578,0.9074497384444138,-75.19175968855807,-49.4523323492476,-60.56884200758719,75.19175968855807,-49.4523323492476,148.77894929460203,335.1141069186333,0.15171230674552683,0.34172128802254936,6.702696687412688,2.6584782460774795e-17,0.6567451418291659,0.7870355684940792,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1027833333333334
8,5.391941517387847,19.029213501590554,2.9646243443918934,2.1193866666666663,0.01,-0.39558126347093564,-0.09839764461376205,-0.3463394286120872,-0.28158853202230294,0.40763541611935294,0.446366554725847,0.15056428837947972,0.9223950394798386,-76.0316188846893,-50.88743740031475,-61.710438095452275,76.0316188846893,-50.88743740031475,147.60925450617196,334.0093592308109,0.15051955000552888,0.34059475889402696,6.742480634708214,4.069691345370229e-16,0.6636239181928999,0.79146325923266,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1154666666666666
9,5.361546138324173,18.84549979931368,2.931294274128154,2.143485,0.01,-0.40171741486748314,-0.09361857493885152,-0.3597305169352616,-0.27810455932725175,0.41248190139858854,0.45469571224404065,0.15511772948121336,0.9379137881255704,-76.88159998531336,-52.292699831475886,-62.83708918748381,76.88159998531336,-52.292699831475886,146.494128087845,333.1027668054029,0.14938243751724087,0.33967029189927544,6.7825093772534295,6.430473993352076e-17,0.6703087353204211,0.7957588011260103,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.12815
