frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,20.657180752563452,3.2612816916742378,1.9265999999999999,0.01,0.012599253128919826,-0.0022005242411705737,0.026660284196326062,0.028759430044165812,0.012789976010242371,0.03921575665334204,0.012024645633480964,0.055182603832184,80.09292784295462,137.16916906168638,125.95066781961737,-80.09292784295462,137.16916906168638,5.457727264989573,23.547471961389665,0.0055653329781215535,0.02401173893367222,6.875885322266646,2.5305768881169236e-16,0.013995610492069628,0.3166142589302131,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.014
1,5.620244580566254,20.436811509004407,3.2209928105300336,1.9506983333333334,0.01,0.01277925636384618,-0.00046391426813451617,0.02446313388876628,0.0309309206092186,0.012787674130235016,0.03943560281514014,0.012243306686751275,0.05596263804258704,87.92095393997062,141.65967723187674,131.04232422690757,-87.92095393997062,141.65967723187674,5.34094172457281,23.37353810354922,0.005446244869117191,0.02383437575884652,6.90819828448633,2.7851027878707864e-16,0.02665369519297985,0.3278739711187729,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.0266833333333334
2,5.585847557002136,20.221608747450148,3.181687215314785,1.9747966666666668,0.01,0.012988760879572474,0.001410558590430998,0.022068820442857903,0.03319018516375897,0.013065128576625298,0.03985751154981591,0.012527162116365531,0.05720207426105858,96.19794051219361,146.3792691371051,136.27554882222142,-96.19794051219361,146.3792691371051,5.342506935988921,23.390698124426375,0.005447840940574938,0.02385187411035,6.94121827886378,2.1319675703240466e-16,0.03927383644233807,0.3389410362575901,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.0393666666666668
3,5.552074450332887,20.011389428371302,3.1433293430518296,1.9988949999999999,0.01,0.013226440650174434,0.0034245566614704943,0.019478623570336563,0.03553681007488915,0.013662588356538033,0.04052507429349901,0.012892404794641592,0.05895812676685926,104.51610430871574,151.27173924589408,141.5534649421951,-104.51610430871574,151.27173924589408,5.471261477771722,23.61011832920628,0.005579134034325404,0.024075620450619,6.9749619105784335,2.2493533551594887e-16,0.051840678746535564,0.349814767996201,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.05205
4,5.518906624083483,19.805979120463157,3.105885325299929,2.022993333333333,0.01,0.013490860051565249,0.0055797455622742555,0.016693650980237118,0.03797034237233799,0.014599207700099289,0.04147800480884462,0.013354647858687176,0.06127444360864375,112.46971828739504,156.26732124899183,146.7757581243951,-112.46971828739504,156.26732124899183,5.726930609358489,24.036543207160893,0.005839843992962419,0.024510452812286455,7.009446311444434,1.8837215836651753e-16,0.06434045463354054,0.3604950129221303,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.0647333333333333
5,5.486326211925033,19.60521149862499,3.0693228884130344,2.0470916666666668,0.01,0.013780486828425366,0.007877804024653911,0.013714829886923059,0.040490296278563744,0.01587329875858381,0.042749978380732676,0.013928146348537533,0.06417946424041597,119.75503579035774,161.28778648111074,151.84924760180775,-119.75503579035774,161.28778648111074,6.101129650258326,24.66829599632829,0.006221420821848772,0.025154661373994473,7.044689159567613,1.4339065611242094e-16,0.07676085680614177,0.3709820890156251,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.0774166666666667
6,5.45431607723286,19.408927876742364,3.033611260762936,2.07119,0.01,0.014093703172922726,0.010320433181868656,0.010542899691144017,0.043096158903460684,0.01746836598505618,0.04436701078650508,0.0146251470517508,0.06768676995369419,126.21429743865014,166.25334083499308,156.69666906458787,-126.21429743865014,166.25334083499308,6.580446684720614,25.49804494148291,0.006710188173046468,0.02600076982606997,7.0807086999181985,2.555178536732627e-16,0.08909091913558503,0.3812767299824449,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.0901
7,5.422859775210269,19.21697677248563,2.998721086364209,2.0952883333333334,0.01,0.014428815085596918,0.012909365371287127,0.007178405624840575,0.04578739516440264,0.019360847581233017,0.04634668341160891,0.015455483213279372,0.07179711808716115,131.81878690685397,171.08987385145542,161.26178979676075,-131.81878690685397,171.08987385145542,7.149809925004584,26.514115424569578,0.007290777100237681,0.027036873371201767,7.117523765865189,1.276641375865138e-16,0.10132090608094489,0.39138003495199986,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.1027833333333334
8,5.391941517387847,19.029213501590554,2.9646243443918934,2.1193866666666663,0.01,0.014784060173139775,0.01564637250325994,0.003621693176267601,0.04856345198729471,0.021526202816887757,0.04869831137098392,0.016426469499619845,0.07650147230868717,136.62316584656412,175.7349754137358,165.51042921378496,-136.62316584656412,175.7349754137358,7.794874106863962,27.702022075539077,0.007948559504891031,0.028248201042699678,7.155153801720914,4.520725137834766e-16,0.1134422100990699,0.40129342306686006,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.1154666666666666
9,5.361546138324173,18.84549979931368,2.931294274128154,2.143485,0.01,0.015157614022819623,0.018533274044177143,-0.0001270968655141331,0.05142376183924817,0.023942337180428902,0.051423918902714326,0.01754307622970034,0.08178427664347841,140.72165749148775,-179.85839038422998,169.4282312970373,-140.72165749148775,-179.85839038422998,8.503189589021147,29.045919972629555,0.00867084028594999,0.029618595516949783,7.193618886346967,1.1164594862144948e-16,0.125447256600573,0.41101859252668527,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.12815
10,5.331659064348433,18.66570346695937,2.8987053049154214,2.1675833333333334,0.01,0.015547595279065463,0.021571944659225073,-0.004068032888207998,0.054367745638496195,0.02659091038949753,0.05451972723145049,0.01880830284437668,0.08762640360365928,144.21849301761176,-175.72085277298768,173.01661437059772,-144.21849301761176,-175.72085277298768,9.264498827945076,30.529782605855484,0.009447159659970608,0.03113171430188238,7.232939757875895,1.8212411410316057e-16,0.13732941600655907,0.42055748368469137,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.1408333333333334
11,5.302266284198574,18.48969804155967,2.866832990730673,2.1916816666666668,0.01,0.015952069534307015,0.024764321557975207,-0.00820139658043239,0.05739481508228141,0.029457429362627036,0.057977820795531855,0.020223647831244952,0.09400747968378026,147.21217476801166,-171.86780673359516,176.28823081755888,-147.21217476801166,-171.86780673359516,10.070579964803372,32.13823683631535,0.010269133664200692,0.032771881158515245,7.273137839605831,4.797706394793971e-16,0.1490829224665656,0.4299122458278014,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.1535166666666667
12,5.273354321420639,18.317362486954266,2.8356539490290493,2.2157799999999996,0.01,0.016369052133571167,0.028112411583645122,-0.012527686812344336,0.060504374428684185,0.03253080928596513,0.06178771934514656,0.021789583798228686,0.10090752577487534,149.78898230010589,-168.30196750588863,179.26282995139223,-149.78898230010589,-168.30196750588863,10.914924784900302,33.857075130877014,0.011130125766597467,0.03452460843496711,7.31423526712879,6.272492436481511e-16,0.16070279880884,0.4390852073025213,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.1662
13,5.244910208405784,18.14858090466805,2.8051458035352757,2.239878333333333,0.01,0.016796509980556568,0.03161829808469201,-0.01704762337001753,0.06369582176374015,0.035802786501882435,0.06593769159383821,0.023505976591569003,0.10830799284987257,152.0215302685857,-165.01646818313426,-178.0360541496069,-152.0215302685857,-165.01646818313426,11.792399193827949,35.673510705676705,0.012024900647854213,0.03637685724042024,7.356254916756671,1.7631508701054624e-16,0.17218478730831263,0.44807884867737935,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.1788833333333333
14,5.216921461951359,17.98324226311955,2.7752871306887377,2.2639766666666667,0.01,0.017232362421921155,0.0352841476053363,-0.02176215063001133,0.06696854978072574,0.03926735777812915,0.07041575008317986,0.025372419777590697,0.11619233093994276,153.96966125106087,-161.99787207264794,-175.5835098524395,-153.96966125106087,-161.99787207264794,12.69894579345488,37.57625151553559,0.012949320913313805,0.03831711289332809,7.3992204353127615,4.479786894224837e-16,0.18352528587434622,0.45689577865948516,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.1915666666666667
15,5.189376060241433,17.82124014381653,2.7460574094728476,2.288075,0.01,0.017674481276277316,0.039112216429673115,-0.026672441251275665,0.07032194609415264,0.042920307110120605,0.0752103398793787,0.027388480524817797,0.12454623199161792,155.6821899899316,-159.22874278496496,-173.35485603155635,-155.6821899899316,-159.22874278496496,13.631343620442975,39.55545985617671,0.01390010209443895,0.04033534372714099,7.443156271360481,4.55533961141084e-16,0.1947212892787288,0.465538712507475,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.20425
16,5.162262421150358,17.66247250330658,2.717436974381788,2.3121733333333334,0.01,0.018120690064848177,0.04310485701221578,-0.03177989995361459,0.07375539310681131,0.046758829181982896,0.08031077171464623,0.02955386729177658,0.13335766375887892,157.198783833402,-156.6896410006612,-171.32662517219356,-157.198783833402,-156.6896410006612,14.58702158550477,41.602648181636106,0.014874622409798222,0.04242289485363107,7.4880877079450245,2.0290982774001185e-16,0.2057703350637651,0.47401045270590547,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.2169333333333334
17,5.135569381780428,17.506841449751732,2.68940697129811,2.3362716666666663,0.01,0.018568762491841716,0.04726452432602233,-0.037086167445205216,0.0772682674441104,0.050781238663935566,0.08570746157475655,0.03186853551338408,0.1426167816138959,158.55167925511762,-154.3605616815192,-169.47709663389008,-158.55167925511762,-154.3605616815192,15.563916322910968,43.71054573857686,0.015870777811904133,0.044572352167740116,7.534040896928184,6.659033921777657e-17,0.21667045379017566,0.48231387168712203,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.2296166666666666
18,5.109286179151524,17.354253033088025,2.6619493160731524,2.3603699999999996,0.01,0.019016420214282296,0.051593782157988335,-0.0425931245560129,0.08085993896596452,0.05498674926863853,0.09139203460380745,0.03433274782955932,0.15231577764684895,159.76713802443942,-152.2218969300481,-167.78652664738087,-159.76713802443942,-152.2218969300481,16.560364684437303,45.87295773209357,0.01688687236154783,0.04677739873666703,7.58104289500096,2.007663143681884e-16,0.22742012330446418,0.4904518964058896,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.2423
19,5.08340243196688,17.204617047814615,2.6350466556190733,2.3844683333333334,0.01,0.019461329933247895,0.05609530937943204,-0.0483028966292112,0.08452976936255949,0.05937530713305765,0.09735734040769481,0.03694710308073154,0.1624487049906635,160.86663760125168,-150.25503118455876,-166.23718586724584,-160.86663760125168,-150.25503118455876,17.57502249689715,48.084629497657865,0.017921535383537857,0.04903267629379846,7.629121701463633,1.0574140208767302e-16,0.23801822672512268,0.498427494589712,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.2549833333333333
20,5.057908123384797,17.057846847533085,2.608682331336585,2.4085666666666663,0.01,0.019902272101664568,0.060770116355124824,-0.05421330121237062,0.08828117041567654,0.06394612948900118,0.10359848974915102,0.03971295719094754,0.17301254335744545,161.86632833467036,-148.445992279102,-164.81567799158825,-161.86632833467036,-148.445992279102,18.606414190651932,50.34148380224409,0.018973262215590377,0.051334027218514065,7.678248292162808,4.047548333979918e-16,0.24846401386630743,0.50624366250392,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.2676666666666665
21,5.032793584731381,16.913859170426946,2.582840344716427,2.4326649999999996,0.01,0.02034970498747188,0.06560020345968838,-0.06027536812345167,0.09215822479239848,0.0686840388083698,0.11011929167636278,0.042634958797057546,0.18401432325488334,162.7656941213445,-146.81362038111448,-163.53290251561523,-162.7656941213445,-146.81362038111448,19.649035865077103,52.64256587197791,0.020036440441003917,0.05368047791241445,7.7278144676749045,2.498708713037575e-16,0.25875706583626323,0.513903414085365,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.2803499999999999
22,5.008049480094152,16.772573974934694,2.5575053249653354,2.456763333333333,0.01,0.020787664930332603,0.07060809900629524,-0.06654309209109156,0.09611360209993464,0.07360455596319138,0.11690084522221408,0.045708935219440285,0.19543496341071745,163.59509285221554,-145.30367541398115,-162.34769783236035,-163.59509285221554,-145.30367541398115,20.706377578098916,54.97961493535789,0.021114628928430117,0.056063604732867894,7.7785187208017055,2.438905637936462e-16,0.26889726256565943,0.5214097713120107,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.2930333333333333
23,4.983666791740764,16.63391428492738,2.5326624985188295,2.4808616666666663,0.01,0.02121363482526038,0.07579685976553029,-0.07301941734767756,0.10014669368188418,0.07870948006952506,0.12394029032242684,0.04893675742224261,0.2072742334510624,164.36440297569789,-143.90328988752228,-161.2492394166238,-164.36440297569789,-143.90328988752228,21.777898132281848,57.350107478244986,0.022207275810069545,0.05848083441159314,7.830392064594183,5.599291011383337e-16,0.27888475303810706,0.5287657556880218,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.3057166666666666
24,4.959636806311129,16.49780604375448,2.508297660313772,2.50496,0.01,0.02162502691147347,0.0811696823712603,-0.07970755069377182,0.10425687897497816,0.08400094716831016,0.13123562950358966,0.05232059638694274,0.21953299743885088,165.08191003373878,-142.60098920858277,-160.22801220807435,-165.08191003373878,-142.60098920858277,22.863176555618203,59.75196529833959,0.023313951813940748,0.060930047772011435,7.8834666181035296,1.674015975578429e-16,0.2887199280113234,0.5359743807351126,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.3184
25,4.935951101734914,16.364177976570183,2.4843971467033197,2.5290583333333334,0.01,0.022019176638634855,0.08672990962651611,-0.08661096777236336,0.10844352203855687,0.089481402334044,0.13878565203432355,0.05586290912404472,0.23221311755064014,165.7546014258471,-141.38656479205005,-159.2756466428774,-165.7546014258471,-141.38656479205005,23.961895515430648,62.18349640173083,0.024434333350767744,0.0634095194604996,7.937775654126875,2.0014287536711517e-16,0.2984033950327487,0.543038645391121,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.3310833333333334
