frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,20.657180752563452,3.2612816916742378,1.9265999999999999,0.01,0.23426915623086472,-0.1584511493601785,0.17933697334771917,-0.30918894132201724,0.28282292038426254,0.35743468136898854,0.10959945051097165,0.6955863128954493,55.92700714914321,30.11475750058878,40.31225051283809,-55.92700714914321,30.11475750058878,120.6859467530709,296.8199769884573,0.12306541658269737,0.3026721428708655,6.2461756441344045,9.318188909681322e-17,0.6025414721396578,0.7518694697881603,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.014
1,5.620244580566254,20.436811509004407,3.2209928105300336,1.9506983333333334,0.01,0.23883622569141075,-0.16111254895718613,0.17753454578729908,-0.31106023457240495,0.28809719910821796,0.35815776479107947,0.11119483521360064,0.7008854673737229,55.99744761879319,29.715135380255987,40.201966258715174,-55.99744761879319,29.715135380255987,120.32761671737744,292.73411245225674,0.12270002163570376,0.2985057205592702,6.243356208077765,1.4659406190871167e-16,0.6109891659460216,0.7573833718940609,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.0266833333333334
2,5.585847557002136,20.221608747450148,3.181687215314785,1.9747966666666668,0.01,0.2433452967375006,-0.16360103992002056,0.17577976882996063,-0.3129223058110513,0.2932272731298615,0.35891349459726296,0.11280602721400863,0.7060459935255291,56.0870600294968,29.324496240176757,40.10291227624839,-56.0870600294968,29.324496240176757,119.90457892011386,288.71171036815343,0.12226864313513165,0.29440401193899396,6.241009411036413,3.704037195444308e-17,0.619188031365281,0.7627228823688765,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.0393666666666668
3,5.552074450332887,20.011389428371302,3.1433293430518296,1.9988949999999999,0.01,0.247797636833277,-0.16591904546845945,0.17407480895164743,-0.31477477950495286,0.29821602651319956,0.3597015442334718,0.11443329825701333,0.7110712326067986,56.19473355979045,28.943200972371557,40.0149226119392,-56.19473355979045,28.943200972371557,119.42230969251388,284.75253307705134,0.1217768653847276,0.2903667746652031,6.239106204937834,7.489220384464176e-17,0.6271468142697088,0.767894906955513,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.05205
4,5.518906624083483,19.805979120463157,3.105885325299929,2.022993333333333,0.01,0.2521943110592489,-0.16806895505753916,0.17242168775699862,-0.3166171426655839,0.3030662372894452,0.3605213633596359,0.11607684302536865,0.715964201544026,56.31946272675037,28.57159349174023,39.93783762801931,-56.31946272675037,28.57159349174023,118.8858564553625,280.8561522828055,0.12122983532129986,0.2863935719973748,6.237618647610883,1.3964028268278497e-16,0.6348739444869563,0.7729060369655527,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.0647333333333333
5,5.486326211925033,19.60521149862499,3.0693228884130344,2.0470916666666668,0.01,0.2565361933354364,-0.17005312424634908,0.17082228645381248,-0.3184487545885223,0.3077805769651175,0.3613721943485543,0.11773678022366636,0.7207276126037092,56.46033419553655,28.20999949947648,39.87150320483647,-56.46033419553655,28.20999949947648,118.29987152985635,277.0219772143129,0.12063229699220056,0.28248380151663716,6.2365198193049665,7.659511775169361e-17,0.6423775434979919,0.7777625643657532,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.0774166666666667
6,5.45431607723286,19.408927876742364,3.033611260762936,2.07119,0.01,0.26082397700704896,-0.17187387531118342,0.16927834994271534,-0.3202688558039551,0.31236161095156656,0.3622530879886367,0.1194131537794767,0.7253638920445278,56.61651552812637,27.858725463216388,39.81577003537359,-56.61651552812637,27.858725463216388,117.66864336244419,273.2492794520016,0.11998862339580202,0.2786367204417427,6.235783746821784,7.939866986499325e-17,0.6496654326631937,0.7824704962200847,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.0901
7,5.422859775210269,19.21697677248563,2.998721086364209,2.0952883333333334,0.01,0.2650581848473283,-0.17353349849274324,0.16779149053982087,-0.3220765763351233,0.3168117997387272,0.36316291842825765,0.12110593415294035,0.7298751978062762,56.78724554093921,27.518057798908785,39.77049299955553,-56.78724554093921,27.518057798908785,116.99612533111312,269.537214803984,0.11930284585573377,0.274851467936537,6.2353853345970345,3.920006934401996e-17,0.6567451418291659,0.7870355684940792,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.1027833333333334
8,5.391941517387847,19.029213501590554,2.9646243443918934,2.1193866666666663,0.01,0.26923917853001333,-0.17503425378062956,0.16636319135122796,-0.3238709433517626,0.32113350066920493,0.3641003973962757,0.12281501974610558,0.7342634362901937,56.971826004261686,27.18826223979434,39.73553060782436,-56.971826004261686,27.18826223979434,116.28596229935906,265.8848425726617,0.11857868109839656,0.2711270847564272,6.235300302141041,1.625976099787511e-16,0.6636239181928999,0.79146325923266,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.1154666666666666
9,5.361546138324173,18.84549979931368,2.931294274128154,2.143485,0.01,0.2733671676214667,-0.17637837315003094,0.16499480931907087,-0.3256508882966776,0.32532897019545404,0.3650640877307048,0.12454023840348978,0.7385302782851295,57.169614466295315,26.869583378221876,39.710744505007824,-57.169614466295315,26.869583378221876,115.54151507958171,262.2911425132017,0.11781955619868327,0.2674625305412161,6.235505127309627,1.6160630754382561e-16,0.6703087353204211,0.7957588011260103,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.26,1.12815
