frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,24.40765469798883,3.2612816916742378,1.9265999999999999,0.01,0.077341710426545,0.05151973299008726,0.09603408189778911,0.22020694581538677,0.09293020531061698,0.24023664140029088,0.07366326006538891,0.37057553378721764,123.66882568383551,156.43758342582078,148.63671216241733,-123.66882568383551,156.43758342582078,55.36164648851647,220.76429972631712,0.05645316850149284,0.22511693567764438,6.2162051589758525,4.097156804970695e-16,0.8633858509839947,0.9170185092110786,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,1.014
1,5.620244580566254,24.140953241113948,3.2209928105300336,1.9506983333333334,0.01,0.08005069019404583,0.05512867603300221,0.09219204661100468,0.22579082894953653,0.09719713947279938,0.24388700641084698,0.0757179605038342,0.3784622966542592,124.55409981940801,157.7894471375755,149.69771366092766,-124.55409981940801,157.7894471375755,56.64509551934615,220.5623854851311,0.057761922286760664,0.22491104045227583,6.234834546087514,6.15223801891431e-16,0.8666000594614228,0.9189954194579445,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,1.0266833333333334
2,5.585847557002136,23.88054904506215,3.181687215314785,1.9747966666666668,0.01,0.08277490963202487,0.058815748247724425,0.08832131967760534,0.231458167119187,0.10154298551120891,0.247736833425648,0.07786335257381288,0.3866198123871154,125.39571424545062,159.11381912217053,150.7304981708241,-125.39571424545062,159.11381912217053,57.90799700750132,220.4817873538142,0.05904972340962646,0.22482885323103635,6.253860162001806,1.720929577759583e-16,0.8697038723676164,0.9209032464687729,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,1.0393666666666668
3,5.552074450332887,23.626218172880904,3.1433293430518296,1.9988949999999999,0.01,0.08551477319782824,0.06258150388828677,0.08442108128715957,0.23721014123673412,0.10596801906233624,0.2517847693393001,0.08010130083755225,0.395047296817087,126.19744805237042,160.40978625595295,151.7352336890316,-126.19744805237042,160.40978625595295,59.15115592480881,220.5146841327258,0.060317392712913,0.22486239860984716,6.273289863504061,1.9529975638526066e-16,0.8727022044690488,0.9227451370158195,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,1.05205
4,5.518906624083483,23.377747244558073,3.105885325299929,2.022993333333333,0.01,0.08827073992202647,0.06642654695189791,0.08049048291332793,0.24304797792447674,0.11047266479240343,0.2560293682623102,0.08243361922500664,0.4037440544272167,126.96262758633259,161.67661801826597,152.71217474359082,-126.96262758633259,161.67661801826597,60.375417606333016,220.65382362165548,0.061565792198490836,0.22500428140257428,6.293131712895795,3.007233466738862e-16,0.8755997051356006,0.9245240628098307,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,1.0647333333333333
5,5.486326211925033,23.13493282029998,3.0693228884130344,2.0470916666666668,0.01,0.09104332092937285,0.07035153094374175,0.07652864898998418,0.24897295052783874,0.11505748212079488,0.26046912333474354,0.08486207961959218,0.41270949703051774,127.69419076320878,162.91375684309196,153.66165115288368,-127.69419076320878,162.91375684309196,61.581654283781056,220.89248867000086,0.06279581129517323,0.22524765202184321,6.313393984234222,1.0405507657049217e-16,0.8784007749792748,0.9262428319082574,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,1.0774166666666667
6,5.45431607723286,22.897580826619745,3.033611260762936,2.07119,0.01,0.09383307728470668,0.07435715874251912,0.07253467836685903,0.2549863802049418,0.11972315335380172,0.26510249650994017,0.08738842050687416,0.4219431602873549,128.39474107308445,164.12080717162576,154.5840574609262,-128.39474107308445,164.12080717162576,62.77075444813073,221.22446463798212,0.06400835601161532,0.22558617329871275,6.334085169836926,1.0305078351875717e-16,0.8811095813209529,0.9279040992780028,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,1.0901
7,5.422859775210269,22.66550602180447,2.998721086364209,2.0952883333333334,0.01,0.09664061813763122,0.07844418256336294,0.06850764556705473,0.2610896370939091,0.12447047381631385,0.2699279461244618,0.09001435557040592,0.43144471821570396,129.06659308105202,165.29752358546733,155.47984310615357,-129.06659308105202,165.29752358546733,63.94361447791105,221.64400828769138,0.06520434039953608,0.22601398876037324,6.355213987063197,2.885606657770658e-16,0.883730072575347,0.9295103765823458,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,1.1027833333333334
8,5.391941517387847,22.438531497641236,2.9646243443918934,2.1193866666666663,0.01,0.09946659914270067,0.08261340401517168,0.06444660186626487,0.2672841415594991,0.12930034364992496,0.2749439521453549,0.09274158213854634,0.4412139958611543,129.71181089325285,166.44379836817018,156.34950335570625,-129.71181089325285,166.44379836817018,65.10113208665234,222.14581811788833,0.06638467987197702,0.22652569238005674,6.376789385384165,2.2580198148353944e-16,0.886265991636952,0.9310640412554525,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,1.1154666666666666
9,5.361546138324173,22.216488214561057,2.931294274128154,2.143485,0.01,0.10231172113446675,0.08686567424980221,0.060350576211317696,0.27357136552089845,0.13421376100970286,0.28014903905244276,0.09557178940547231,0.45125098030031363,130.3322407854061,167.55964880427575,157.1935710160119,-130.3322407854061,167.55964880427575,66.2442012343514,222.72500614934143,0.0675502860144406,0.22711629980609221,6.3988205537546,2.4069353231359427e-16,0.8887208883430486,0.932567344922206,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.82,1.12815
