frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,20.657180752563452,3.2612816916742378,1.9265999999999999,0.01,0.018203966207271872,0.0006269287440623802,0.03578366360327609,0.05456357267043401,0.018214758448182284,0.06525070147848343,0.020007686439678814,0.09023899006827311,91.97243719400382,146.74249674537964,137.25223094682798,-91.97243719400382,146.74249674537964,7.7725856348936,38.506702128787225,0.00792583158866035,0.03926590846903604,6.419852685674569,3.427884257223388e-16,0.013995610492069628,0.3166142589302131,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.014
1,5.620244580566254,20.436811509004407,3.2209928105300336,1.9506983333333334,0.01,0.018628082668231072,0.001468796626554874,0.03447383273068825,0.05737400272940222,0.01868589916018573,0.06693445549443819,0.020780690747156223,0.09263273357103306,94.50835952405134,148.99996042635615,139.54882345796096,-94.50835952405134,148.99996042635615,7.804413646249354,38.689289917155115,0.007958287127866656,0.039452096197126564,6.441495991242627,2.848884666492901e-16,0.02665369519297985,0.3278739711187729,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0266833333333334
2,5.585847557002136,20.221608747450148,3.181687215314785,1.9747966666666668,0.01,0.01909223823576776,0.0024223131211419044,0.03300320461836441,0.060270744859835274,0.019245289338125544,0.0687151671833882,0.02159708435594596,0.09524217062992613,97.23072551283337,151.29565879660936,141.87915993636636,-97.23072551283337,151.29565879660936,7.869657858400281,38.94580556209506,0.008024817708799929,0.03971366935915432,6.463621710571515,2.315256662787438e-16,0.03927383644233807,0.3389410362575901,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0393666666666668
3,5.552074450332887,20.011389428371302,3.1433293430518296,1.9988949999999999,0.01,0.01959582073851393,0.003489261628944002,0.03137374699288348,0.06325451027155778,0.019904048259868985,0.07060768421402924,0.02246270641989964,0.09808862933451246,100.09635638834095,153.61894479609123,144.22826844610455,-100.09635638834095,153.61894479609123,7.970689715160584,39.280151394485394,0.008127841531165674,0.040054607225184335,6.486240670854689,2.0747747975872387e-16,0.051840678746535564,0.349814767996201,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.05205
4,5.518906624083483,19.805979120463157,3.105885325299929,2.022993333333333,0.01,0.02013813829340215,0.004671332924035237,0.029587299353936215,0.06632598507859185,0.020672831572171375,0.07262605992138788,0.023383368126888113,0.10119170744981142,103.05962026301108,155.95887038521977,146.58129715924883,-103.05962026301108,155.95887038521977,8.109472400476614,39.695160087600726,0.008269360485463043,0.04047779831808082,6.5093640255061604,2.670690819596808e-16,0.06434045463354054,0.3604950129221303,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0647333333333333
5,5.486326211925033,19.60521149862499,3.0693228884130344,2.0470916666666668,0.01,0.020718434004057366,0.005970140063340414,0.027645566211313328,0.06948583717604456,0.021561448929892972,0.07478341326256703,0.02436479183890396,0.10456908996743282,106.07465118363518,158.30441838239364,148.92390992894013,-106.07465118363518,158.30441838239364,8.28745161099943,40.192626939364374,0.00845084877200617,0.0409850733322433,6.533003265762234,1.366156874036102e-16,0.07676085680614177,0.3709820890156251,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0774166666666667
6,5.45431607723286,19.408927876742364,3.033611260762936,2.07119,0.01,0.02133589889148393,0.007387232299391592,0.025550111550999278,0.07273472266404908,0.022578569098877805,0.07709181591637754,0.02541255595714969,0.10823643917693736,109.09763777486137,160.64474427080648,151.24265075593792,-109.09763777486137,160.64474427080648,8.505493318582307,40.77336815344674,0.008673189436333821,0.041577264563787575,6.557170232828102,3.475013658449063e-16,0.08909091913558503,0.3812767299824449,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0901
7,5.422859775210269,19.21697677248563,2.998721086364209,2.0952883333333334,0.01,0.021989683232800927,0.008924108069379814,0.02330235433006148,0.07607329184783122,0.023731537529475332,0.07956221119280836,0.026532047796840402,0.112207359513381,112.08886814965399,162.96941267322165,153.52525239895635,-112.08886814965399,162.96941267322165,8.763871615224787,41.43730223283107,0.00893666197450178,0.042254288908884365,6.581877130597281,8.796566710400129e-17,0.10132090608094489,0.39138003495199986,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1027833333333334
8,5.391941517387847,19.029213501590554,2.9646243443918934,2.1193866666666663,0.01,0.022678906469050887,0.010582227132246392,0.0209035648256218,0.07950219484350349,0.025026312746995107,0.08220436732530313,0.027728426193627906,0.11649343345173681,115.01427414055706,165.26861402001293,155.76087152199062,-115.01427414055706,165.26861402001293,9.062302296473288,42.18354977684396,0.009240976578620925,0.04301524962840926,6.6071365389735925,2.0213711259264959e-16,0.1134422100990699,0.40129342306686006,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1154666666666666
9,5.361546138324173,18.84549979931368,2.931294274128154,2.143485,0.01,0.023402665829030025,0.012363021923339972,0.01835486168549523,0.0830220868191934,0.026467509874981334,0.0850268654444426,0.02900659486660782,0.12110431970145837,117.8463329876634,167.5333492513612,157.94024141272774,-117.8463329876634,167.5333492513612,9.400011900267792,43.01054582560524,0.009585344536888533,0.04385855090739982,6.632961427827164,1.4970724034848364e-16,0.125447256600573,0.41101859252668527,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.12815
