step,time_s,panels,newly_exposed,edge_extrapolated,relative_phi_eta_error,maximum_scaled_point_error
1,0.00625,152,0,0,3.250816515564027e-06,6.317060008644762e-06
2,0.0125,150,0,0,6.570114142114659e-06,8.497925655830237e-06
3,0.018750000000000003,150,0,0,9.864334083732311e-06,1.5924101672394288e-05
4,0.025,150,0,0,1.3065127078034803e-05,1.9933576333671783e-05
5,0.03125,150,0,0,1.623454877469411e-05,2.0594379048104715e-05
6,0.037500000000000006,148,0,0,1.95069030945305e-05,2.0098193069469767e-05
7,0.043750000000000004,148,0,0,2.2777599132099346e-05,2.503435267710362e-05
8,0.05,148,0,0,2.600787246705802e-05,2.9581136934386803e-05
9,0.05625,148,0,0,2.9216653327848093e-05,3.3458683128569815e-05
10,0.0625,146,0,0,3.2477105966353796e-05,3.202969796209694e-05
11,0.06875,146,0,0,3.574058187276022e-05,3.74584670832908e-05
12,0.07500000000000001,146,0,0,3.8981298124467866e-05,4.2156284258133214e-05
13,0.08125,146,0,0,4.220593703066818e-05,4.591293034907959e-05
14,0.08750000000000001,144,0,0,4.545031681262224e-05,4.0954916036225993e-05
15,0.09375,144,0,0,4.871123387909851e-05,4.67751757444817e-05
16,0.1,144,0,0,5.196099827144675e-05,5.1681025201319e-05
17,0.10625000000000001,144,0,0,5.5197958537971815e-05,5.554047510367692e-05
18,0.1125,144,0,0,5.842869642010791e-05,5.825268061682328e-05
19,0.11875000000000001,142,0,0,6.16804557191241e-05,5.0758907568077234e-05
20,0.125,142,0,0,6.493598222744818e-05,5.6031071322020846e-05
21,0.13125,142,0,0,6.818510937087092e-05,6.028419614320056e-05
22,0.1375,142,0,0,7.142704819513745e-05,6.348384872041403e-05
23,0.14375000000000002,142,0,0,7.466455655581298e-05,6.562169628175469e-05
24,0.15000000000000002,140,0,0,7.790411106944291e-05,5.2434720921654344e-05
25,0.15625,140,0,0,8.115522379512674e-05,5.633783881875623e-05
26,0.1625,140,0,0,8.440689195366721e-05,6.031110247217963e-05
27,0.16875,140,0,0,8.765602894901892e-05,6.434469205629619e-05
28,0.17500000000000002,140,0,0,9.090214764855037e-05,6.842856949408027e-05
29,0.18125000000000002,140,0,0,9.414590969954897e-05,7.2552496200424e-05
30,0.1875,140,0,0,9.738830493779001e-05,7.670605121790768e-05
