face_id,vertex_0,vertex_1,vertex_2
0,0,33,34
1,0,34,1
2,1,34,35
3,1,35,2
4,2,35,36
5,2,36,3
6,3,36,37
7,3,37,4
8,4,37,38
9,4,38,5
10,5,38,39
11,5,39,6
12,6,39,40
13,6,40,7
14,7,40,41
15,7,41,8
16,8,41,42
17,8,42,9
18,9,42,43
19,9,43,10
20,10,43,44
21,10,44,11
22,11,44,45
23,11,45,12
24,12,45,46
25,12,46,13
26,13,46,47
27,13,47,14
28,14,47,48
29,14,48,15
30,15,48,49
31,15,49,16
32,16,49,50
33,16,50,17
34,17,50,51
35,17,51,18
36,18,51,52
37,18,52,19
38,19,52,53
39,19,53,20
40,20,53,54
41,20,54,21
42,21,54,55
43,21,55,22
44,22,55,56
45,22,56,23
46,23,56,57
47,23,57,24
48,24,57,58
49,24,58,25
50,25,58,59
51,25,59,26
52,26,59,60
53,26,60,27
54,27,60,61
55,27,61,28
56,28,61,62
57,28,62,29
58,29,62,63
59,29,63,30
60,30,63,64
61,30,64,31
62,31,64,65
63,31,65,32
64,32,65,33
65,32,33,0
66,33,66,67
67,33,67,34
68,34,67,68
69,34,68,35
70,35,68,69
71,35,69,36
72,36,69,70
73,36,70,37
74,37,70,71
75,37,71,38
76,38,71,72
77,38,72,39
78,39,72,73
79,39,73,40
80,40,73,74
81,40,74,41
82,41,74,75
83,41,75,42
84,42,75,76
85,42,76,43
86,43,76,77
87,43,77,44
88,44,77,78
89,44,78,45
90,45,78,79
91,45,79,46
92,46,79,80
93,46,80,47
94,47,80,81
95,47,81,48
96,48,81,82
97,48,82,49
98,49,82,83
99,49,83,50
100,50,83,84
101,50,84,51
102,51,84,85
103,51,85,52
104,52,85,86
105,52,86,53
106,53,86,87
107,53,87,54
108,54,87,88
109,54,88,55
110,55,88,89
111,55,89,56
112,56,89,90
113,56,90,57
114,57,90,91
115,57,91,58
116,58,91,92
117,58,92,59
118,59,92,93
119,59,93,60
120,60,93,94
121,60,94,61
122,61,94,95
123,61,95,62
124,62,95,96
125,62,96,63
126,63,96,97
127,63,97,64
128,64,97,98
129,64,98,65
130,65,98,66
131,65,66,33
132,66,99,100
133,66,100,67
134,67,100,101
135,67,101,68
136,68,101,102
137,68,102,69
138,69,102,103
139,69,103,70
140,70,103,104
141,70,104,71
142,71,104,105
143,71,105,72
144,72,105,106
145,72,106,73
146,73,106,107
147,73,107,74
148,74,107,108
149,74,108,75
150,75,108,109
151,75,109,76
152,76,109,110
153,76,110,77
154,77,110,111
155,77,111,78
156,78,111,112
157,78,112,79
158,79,112,113
159,79,113,80
160,80,113,114
161,80,114,81
162,81,114,115
163,81,115,82
164,82,115,116
165,82,116,83
166,83,116,117
167,83,117,84
168,84,117,118
169,84,118,85
170,85,118,119
171,85,119,86
172,86,119,120
173,86,120,87
174,87,120,121
175,87,121,88
176,88,121,122
177,88,122,89
178,89,122,123
179,89,123,90
180,90,123,124
181,90,124,91
182,91,124,125
183,91,125,92
184,92,125,126
185,92,126,93
186,93,126,127
187,93,127,94
188,94,127,128
189,94,128,95
190,95,128,129
191,95,129,96
192,96,129,130
193,96,130,97
194,97,130,131
195,97,131,98
196,98,131,99
197,98,99,66
198,99,132,133
199,99,133,100
200,100,133,134
201,100,134,101
202,101,134,135
203,101,135,102
204,102,135,136
205,102,136,103
206,103,136,137
207,103,137,104
208,104,137,138
209,104,138,105
210,105,138,139
211,105,139,106
212,106,139,140
213,106,140,107
214,107,140,141
215,107,141,108
216,108,141,142
217,108,142,109
218,109,142,143
219,109,143,110
220,110,143,144
221,110,144,111
222,111,144,145
223,111,145,112
224,112,145,146
225,112,146,113
226,113,146,147
227,113,147,114
228,114,147,148
229,114,148,115
230,115,148,149
231,115,149,116
232,116,149,150
233,116,150,117
234,117,150,151
235,117,151,118
236,118,151,152
237,118,152,119
238,119,152,153
239,119,153,120
240,120,153,154
241,120,154,121
242,121,154,155
243,121,155,122
244,122,155,156
245,122,156,123
246,123,156,157
247,123,157,124
248,124,157,158
249,124,158,125
250,125,158,159
251,125,159,126
252,126,159,160
253,126,160,127
254,127,160,161
255,127,161,128
256,128,161,162
257,128,162,129
258,129,162,163
259,129,163,130
260,130,163,164
261,130,164,131
262,131,164,132
263,131,132,99
264,132,165,166
265,132,166,133
266,133,166,167
267,133,167,134
268,134,167,168
269,134,168,135
270,135,168,169
271,135,169,136
272,136,169,170
273,136,170,137
274,137,170,171
275,137,171,138
276,138,171,172
277,138,172,139
278,139,172,173
279,139,173,140
280,140,173,174
281,140,174,141
282,141,174,175
283,141,175,142
284,142,175,176
285,142,176,143
286,143,176,177
287,143,177,144
288,144,177,178
289,144,178,145
290,145,178,179
291,145,179,146
292,146,179,180
293,146,180,147
294,147,180,181
295,147,181,148
296,148,181,182
297,148,182,149
298,149,182,183
299,149,183,150
300,150,183,184
301,150,184,151
302,151,184,185
303,151,185,152
304,152,185,186
305,152,186,153
306,153,186,187
307,153,187,154
308,154,187,188
309,154,188,155
310,155,188,189
311,155,189,156
312,156,189,190
313,156,190,157
314,157,190,191
315,157,191,158
316,158,191,192
317,158,192,159
318,159,192,193
319,159,193,160
320,160,193,194
321,160,194,161
322,161,194,195
323,161,195,162
324,162,195,196
325,162,196,163
326,163,196,197
327,163,197,164
328,164,197,165
329,164,165,132
330,165,198,199
331,165,199,166
332,166,199,200
333,166,200,167
334,167,200,201
335,167,201,168
336,168,201,202
337,168,202,169
338,169,202,203
339,169,203,170
340,170,203,204
341,170,204,171
342,171,204,205
343,171,205,172
344,172,205,206
345,172,206,173
346,173,206,207
347,173,207,174
348,174,207,208
349,174,208,175
350,175,208,209
351,175,209,176
352,176,209,210
353,176,210,177
354,177,210,211
355,177,211,178
356,178,211,212
357,178,212,179
358,179,212,213
359,179,213,180
360,180,213,214
361,180,214,181
362,181,214,215
363,181,215,182
364,182,215,216
365,182,216,183
366,183,216,217
367,183,217,184
368,184,217,218
369,184,218,185
370,185,218,219
371,185,219,186
372,186,219,220
373,186,220,187
374,187,220,221
375,187,221,188
376,188,221,222
377,188,222,189
378,189,222,223
379,189,223,190
380,190,223,224
381,190,224,191
382,191,224,225
383,191,225,192
384,192,225,226
385,192,226,193
386,193,226,227
387,193,227,194
388,194,227,228
389,194,228,195
390,195,228,229
391,195,229,196
392,196,229,230
393,196,230,197
394,197,230,198
395,197,198,165
396,198,231,232
397,198,232,199
398,199,232,233
399,199,233,200
400,200,233,234
401,200,234,201
402,201,234,235
403,201,235,202
404,202,235,236
405,202,236,203
406,203,236,237
407,203,237,204
408,204,237,238
409,204,238,205
410,205,238,239
411,205,239,206
412,206,239,240
413,206,240,207
414,207,240,241
415,207,241,208
416,208,241,242
417,208,242,209
418,209,242,243
419,209,243,210
420,210,243,244
421,210,244,211
422,211,244,245
423,211,245,212
424,212,245,246
425,212,246,213
426,213,246,247
427,213,247,214
428,214,247,248
429,214,248,215
430,215,248,249
431,215,249,216
432,216,249,250
433,216,250,217
434,217,250,251
435,217,251,218
436,218,251,252
437,218,252,219
438,219,252,253
439,219,253,220
440,220,253,254
441,220,254,221
442,221,254,255
443,221,255,222
444,222,255,256
445,222,256,223
446,223,256,257
447,223,257,224
448,224,257,258
449,224,258,225
450,225,258,259
451,225,259,226
452,226,259,260
