station_id,table_x,x_m,raw_order,z_table,y_table
S00,-15.000,0.000000,0,2.000000,1.200000
S00,-15.000,0.000000,1,1.900000,1.200000
S00,-15.000,0.000000,2,1.800000,1.193000
S00,-15.000,0.000000,3,1.700000,1.141000
S00,-15.000,0.000000,4,1.570000,1.000000
S00,-15.000,0.000000,5,1.545000,0.800000
S00,-15.000,0.000000,6,1.492000,0.600000
S00,-15.000,0.000000,7,1.475000,0.300000
S00,-15.000,0.000000,8,1.470000,0.000000
S01,-14.250,0.075000,0,2.000000,1.200000
S01,-14.250,0.075000,1,1.830000,1.200000
S01,-14.250,0.075000,2,1.661000,1.150000
S01,-14.250,0.075000,3,1.551000,1.050000
S01,-14.250,0.075000,4,1.469000,0.900000
S01,-14.250,0.075000,5,1.427000,0.750000
S01,-14.250,0.075000,6,1.405000,0.600000
S01,-14.250,0.075000,7,1.381000,0.300000
S01,-14.250,0.075000,8,1.372000,0.000000
S02,-13.500,0.150000,0,2.000000,1.200000
S02,-13.500,0.150000,1,1.800000,1.198000
S02,-13.500,0.150000,2,1.600000,1.141000
S02,-13.500,0.150000,3,1.500000,1.065000
S02,-13.500,0.150000,4,1.400000,0.936000
S02,-13.500,0.150000,5,1.339000,0.800000
S02,-13.500,0.150000,6,1.293000,0.600000
S02,-13.500,0.150000,7,1.260000,0.300000
S02,-13.500,0.150000,8,1.247000,0.000000
S03,-12.750,0.225000,0,2.000000,1.200000
S03,-12.750,0.225000,1,1.800000,1.200000
S03,-12.750,0.225000,2,1.578000,1.150000
S03,-12.750,0.225000,3,1.425000,1.050000
S03,-12.750,0.225000,4,1.301000,0.900000
S03,-12.750,0.225000,5,1.228000,0.750000
S03,-12.750,0.225000,6,1.187000,0.600000
S03,-12.750,0.225000,7,1.144000,0.300000
S03,-12.750,0.225000,8,1.127000,0.000000
S04,-12.000,0.300000,0,2.000000,1.200000
S04,-12.000,0.300000,1,1.800000,1.199000
S04,-12.000,0.300000,2,1.600000,1.170000
S04,-12.000,0.300000,3,1.500000,1.132000
S04,-12.000,0.300000,4,1.400000,1.072000
S04,-12.000,0.300000,5,1.227000,0.900000
S04,-12.000,0.300000,6,1.088000,0.600000
S04,-12.000,0.300000,7,1.033000,0.300000
S04,-12.000,0.300000,8,1.011000,0.000000
S05,-11.250,0.375000,0,2.000000,1.200000
S05,-11.250,0.375000,1,1.780000,1.200000
S05,-11.250,0.375000,2,1.509000,1.150000
S05,-11.250,0.375000,3,1.321000,1.050000
S05,-11.250,0.375000,4,1.160000,0.900000
S05,-11.250,0.375000,5,1.059000,0.750000
S05,-11.250,0.375000,6,0.995000,0.600000
S05,-11.250,0.375000,7,0.928000,0.300000
S05,-11.250,0.375000,8,0.901000,0.000000
S06,-10.500,0.450000,0,2.000000,1.200000
S06,-10.500,0.450000,1,1.800000,1.199000
S06,-10.500,0.450000,2,1.600000,1.182000
S06,-10.500,0.450000,3,1.500000,1.157000
