grid,period_s,negative_section_damping_count,mass_positive,passive,candidate_admissible,residual,condition,heave_baseline,pitch_baseline,heave_candidate,pitch_candidate,A33,A35,A53,A55,B33,B35,B53,B55
0,1.6,31,True,False,False,1.3913556221983275e-14,8807.842633422026,0.5162220195088539,0.3390434508705586,,,-888.0686696984992,-167.9117401280099,-167.9117401280099,-2997.522517327023,-3223.2584639868883,-1139.861806014807,-1139.861806014807,-10736.750978703581
0,2.0,32,True,False,False,1.3654133049745862e-14,15197.422447918278,0.2730667791222024,0.577301635483301,,,-995.7384145918938,-150.72899058309125,-150.72899058309125,-3566.131065788531,-3611.343843040252,-1121.0670394597566,-1121.0670394597566,-11453.944869157674
0,3.0,32,True,False,False,3.893378403260158e-14,37134.148783151446,0.9378559961636376,0.5202512017740231,,,-1416.2968113841277,-146.98159021533917,-146.98159021533917,-5199.13991926494,-3626.598046025404,-1178.7976255393755,-1178.7976255393755,-10398.260350039585
0,5.0,32,False,False,False,1.5186532399234885e-13,105187.32734046078,1.0586058157947371,0.1889332173383723,,,-1994.892553366099,-314.65783013773046,-314.65783013773046,-6578.667466861986,-2841.1858634005384,-1155.2745404876598,-1155.2745404876598,-7372.512493445722
0,8.0,32,False,False,False,2.242371955646237e-13,250484.24788421651,1.0329412993225078,0.07079668629177603,,,-2150.158330645325,-422.7478360266922,-422.7478360266922,-6656.651760025183,-2485.147414484395,-989.7870213424994,-989.7870213424994,-6859.715424677018
1,1.6,65,True,False,False,4.1967042666178336e-14,210339.58597735065,0.5182954485643552,0.33682296898876324,,,-872.4519485841187,-240.16579425879561,-240.16579425879561,-2730.8087499481953,-3384.9765215079706,-961.4252101148298,-961.4252101148298,-12007.04026736366
1,2.0,65,True,False,False,7.522387177370046e-14,296718.7547010517,0.2735440639861028,0.5797530440288564,,,-987.8559230312218,-258.8704256043662,-258.8704256043662,-3224.532646796376,-3781.6023383673078,-990.5152913794202,-990.5152913794202,-12519.120325214688
1,3.0,65,True,False,False,1.270537159487659e-13,511096.8491274329,0.9382885735923423,0.520683651545187,,,-1425.173423756595,-349.8057936038638,-349.8057936038638,-4651.494894470491,-3774.463475599862,-980.0907819343162,-980.0907819343162,-11572.622671142635
1,5.0,65,False,False,False,1.7062772836370681e-13,708534.8201433916,1.0586890412974108,0.18898452045165418,,,-2271.655345555701,-561.8021041350755,-561.8021041350755,-7137.864954438881,-3027.334147325548,-801.1400889259843,-801.1400889259843,-8910.507470889474
1,8.0,65,False,False,False,2.2802544069393284e-13,758941.7810224153,1.0329630202474684,0.07080752121796113,,,-3239.075814498932,-814.988882647219,-814.988882647219,-9861.484801902603,-2158.71501363392,-587.1392274899728,-587.1392274899728,-6204.320631752421
2,1.6,129,True,False,False,4.1004508937747734e-13,1340082.487795983,0.5188494423354139,0.3363381356226496,,,-885.9796411118316,-213.28751290962623,-213.28751290962623,-2872.7647828601075,-3363.126867359987,-1020.7744586478038,-1020.7744586478038,-11703.249210074624
2,2.0,130,True,False,False,5.821051477249143e-13,2303694.899030041,0.2736466024965055,0.5803627528361315,,,-1005.8004069717803,-216.690448481913,-216.690448481913,-3423.4462394081906,-3746.604884344675,-1025.2069800443837,-1025.2069800443837,-12257.601641386394
2,3.0,130,True,False,False,1.563578965680645e-12,5799138.477176084,0.9383824485898713,0.5207899460157142,,,-1441.4525524402338,-248.08830525109,-248.08830525109,-5031.100543015034,-3732.2345278883945,-1013.9550384557881,-1013.9550384557881,-11327.16274941753
2,5.0,130,False,False,False,6.487013238626868e-12,16588045.016561242,1.0587086008130242,0.18899610432299688,,,-2298.9658849944135,-340.1410136127184,-340.1410136127184,-7944.1262870684395,-2982.1285464846533,-982.2505822979681,-982.2505822979681,-8193.85197105356
2,8.0,130,False,False,False,1.3963767332449285e-11,37589374.63517197,1.032968427102082,0.07080965943308792,,,-3263.685007989794,-521.8022322990129,-521.8022322990129,-10939.259744464305,-2126.8493927140357,-895.7530088728099,-895.7530088728099,-5158.66087397753
