station,chine_halfbreadth,sister_halfbreadth,keel_height,chine_height,sister_height,deck_height
0,0,,31.69,31.69,,31.69
1,3.19,,28.27,30.11,,32.77
3,5.49,,25.55,28.72,,33.63
8,8.84,,21.41,26.51,,34.87
16,12.20,,17.10,24.14,,36.15
29,15.74,,12.13,21.22,,37.51
44,18.38,,8.10,18.71,,38.43
59,20.03,10.65,5.15,16.71,11.97,38.92
68,20.57,11.18,3.75,15.69,10.83,39.00
89,21.66,12.02,1.51,14.02,9.16,39.00
112,22.30,12.58,.52,13.40,8.02,39.00
119,22.40,12.68,.46,13.34,7.82,39.00
134,22.50,12.83,.33,13.21,7.49,39.00
146,22.44,12.94,.23,13.11,7.20,39.00
179F,22.09,13.00,-.05,12.83,6.39,39.00
179A,21.42,,3.70,16.37,,39.00
194,20.42,,5.50,17.77,,39.00
220,18.78,,8.59,19.87,,39.00
246,16.53,,11.69,21.62,,39.00
272,13.47,,14.78,22.87,,39.00
298,9.35,,17.88,23.91,,39.00
325F,3.55,,21.09,23.41,,39.00
325A,3.59,,24.20,24.20,,39.00
335,6.32,,25.75,25.75,,39.00
