case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,1.7902623815836317e-05,0,1.3183539436517206e-14,1.9094879807629234e-14,-4.48240340841585e-11,-6.49225913459394e-11
fn167,1.7902623815836317e-05,1,1.8898376790008902e-14,2.636949229843041e-14,-6.425448108603027e-11,-8.965627381466338e-11
fn167,1.7902623815836317e-05,2,1.4911467536286368e-14,2.017086375982835e-14,-5.069898962337365e-11,-6.85809367834164e-11
fn167,1.7902623815836317e-05,3,1.3950955016459188e-14,1.8400313489965894e-14,-4.743324705596124e-11,-6.256106586588403e-11
fn167,1.7902623815836317e-05,4,1.1438763620247e-14,1.4686159880406773e-14,-3.88917963088398e-11,-4.993294359338303e-11
fn167,1.7902623815836317e-05,5,9.17851735938626e-15,1.1508501044721096e-14,-3.1206959021913285e-11,-3.9128903552051725e-11
fn167,1.7902623815836317e-05,6,7.803997395878186e-15,9.055363376469128e-15,-2.6533591145985833e-11,-3.0788235479995035e-11
fn167,1.7902623815836317e-05,7,8.657298624211683e-15,1.0377675091122214e-14,-2.9434815322319724e-11,-3.528409530981553e-11
fn167,1.7902623815836317e-05,8,1.0545708279229639e-14,1.2105110390094305e-14,-3.585540814938077e-11,-4.115737532632064e-11
fn167,1.7902623815836317e-05,9,8.995962438425595e-15,9.87876483631953e-15,-3.058627229064702e-11,-3.35878004434864e-11
fn167,1.7902623815836317e-05,10,9.197476116718351e-15,1.0682158371284975e-14,-3.127141879684239e-11,-3.631933846236892e-11
fn167,1.7902623815836317e-05,11,1.0757348911067675e-14,1.2104484116439004e-14,-3.65749862976301e-11,-4.1155245995892614e-11
fn167,1.7902623815836317e-05,12,4.312074390290406e-15,4.0225342472169724e-15,-1.466105292698738e-11,-1.3676616440537706e-11
fn167,1.7902623815836317e-05,13,5.422214511076679e-15,5.344703342563705e-15,-1.843552933766071e-11,-1.8171991364716598e-11
fn167,1.7902623815836317e-05,14,6.1301418484463695e-15,6.365491716208013e-15,-2.0842482284717655e-11,-2.1642671835107245e-11
fn167,1.7902623815836317e-05,15,4.863165422322604e-15,4.448263332355315e-15,-1.6534762435896856e-11,-1.512409533000807e-11
fn167,1.7902623815836317e-05,16,5.799855974493122e-15,5.546622032867249e-15,-1.9719510313276613e-11,-1.8858514911748646e-11
fn167,1.7902623815836317e-05,17,7.24115346224454e-15,6.857711403276951e-15,-2.4619921771631435e-11,-2.331621877114163e-11
fn167,1.7902623815836317e-05,18,5.290116247429763e-15,4.735177179639682e-15,-1.7986395241261195e-11,-1.6099602410774917e-11
fn167,1.7902623815836317e-05,19,5.455298727186482e-15,4.190107050900152e-15,-1.854801567243404e-11,-1.4246363973060516e-11
fn167,1.7902623815836317e-05,20,3.800219671030243e-15,3.707637296831301e-15,-1.2920746881502827e-11,-1.2605966809226425e-11
fn167,1.7902623815836317e-05,21,5.694958577363017e-15,5.186682802049898e-15,-1.936285916303426e-11,-1.7634721526969652e-11
fn167,1.7902623815836317e-05,22,3.979960029528472e-15,3.1925320819767342e-15,-1.3531864100396805e-11,-1.0854609078720896e-11
fn167,1.7902623815836317e-05,23,4.146723274663791e-15,3.0327016858364484e-15,-1.4098859133856891e-11,-1.0311185731843924e-11
fn167,1.7902623815836317e-05,24,5.988273274422664e-15,4.460877811864084e-15,-2.036012913303706e-11,-1.5166984560337887e-11
fn167,1.7902623815836317e-05,25,4.1798361171923955e-15,3.0767798893460366e-15,-1.4211442798454144e-11,-1.0461051623776525e-11
fn167,1.7902623815836317e-05,26,4.2503563444210666e-15,3.161432495732143e-15,-1.4451211571031627e-11,-1.0748870485489287e-11
fn167,1.7902623815836317e-05,27,2.168621091434572e-15,1.8054522578245155e-15,-7.373311710877545e-12,-6.138537676603352e-12
fn167,1.7902623815836317e-05,28,4.338330615659824e-15,2.9259808486438472e-15,-1.4750324093243402e-11,-9.948334885389081e-12
fn167,1.7902623815836317e-05,29,2.930749470936459e-15,1.9986255952472837e-15,-9.964548201183961e-12,-6.795327023840764e-12
fn167,1.7902623815836317e-05,30,2.9831415845992708e-15,2.0628061680654003e-15,-1.0142681387637521e-11,-7.013540971422361e-12
fn167,1.7902623815836317e-05,31,4.528356023094017e-15,2.8183794651859964e-15,-1.5396410478519656e-11,-9.582490181632387e-12
fn167,1.7902623815836317e-05,32,4.5588857718118464e-15,2.8597494419066966e-15,-1.550021162416028e-11,-9.72314810248277e-12
fn167,1.7902623815836317e-05,33,5.8051740295284604e-15,3.6194300001442524e-15,-1.9737591700396766e-11,-1.2306062000490459e-11
fn167,1.7902623815836317e-05,34,5.798345308536936e-15,3.618593157954369e-15,-1.9714374049025583e-11,-1.2303216737044855e-11
fn167,1.7902623815836317e-05,35,2.5783517749540112e-15,1.6124290186722103e-15,-8.766396034843639e-12,-5.482258663485515e-12
fn167,1.7902623815836317e-05,36,2.5774021898928952e-15,1.6112099149131914e-15,-8.763167445635844e-12,-5.4781137107048505e-12
fn167,1.7902623815836317e-05,37,3.235818881977176e-15,2.027506485424482e-15,-1.1001784198722399e-11,-6.893522050443239e-12
