case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,1.7902623815836317e-05,0,-4.378517714432911e-15,-2.2273265399684042e-15,1.48869602290719e-11,7.572910235892574e-12
fn167,1.7902623815836317e-05,1,-3.806653287316623e-15,-2.544938109967148e-15,1.2942621176876519e-11,8.652789573888304e-12
fn167,1.7902623815836317e-05,2,-1.5017951162618256e-15,-1.4976472776323524e-15,5.106103395290207e-12,5.092000743949998e-12
fn167,1.7902623815836317e-05,3,-1.1298700086953402e-15,-1.7293022175654762e-15,3.8415580295641566e-12,5.879627539722619e-12
fn167,1.7902623815836317e-05,4,-5.2490622247793553e-17,-4.902207549752671e-16,1.784681156424981e-13,1.6667505669159082e-12
fn167,1.7902623815836317e-05,5,1.7261784532045687e-16,-3.4241619814774384e-16,-5.869006740895534e-13,1.1642150737023292e-12
fn167,1.7902623815836317e-05,6,7.711411188645909e-16,-2.172048808375042e-16,-2.621879804139609e-12,7.384965948475143e-13
fn167,1.7902623815836317e-05,7,7.270845320541056e-16,-7.058203429537808e-17,-2.472087408983959e-12,2.399789166042855e-13
fn167,1.7902623815836317e-05,8,1.2206532919386683e-15,2.3528328431767925e-16,-4.150221192591472e-12,-7.999631666801094e-13
fn167,1.7902623815836317e-05,9,1.2582134515571826e-15,5.494694969618375e-16,-4.277925735294421e-12,-1.8681962896702476e-12
fn167,1.7902623815836317e-05,10,8.376096841088893e-16,2.8511087450966645e-16,-2.8478729259702236e-12,-9.693769733328659e-13
fn167,1.7902623815836317e-05,11,8.747650748525352e-16,4.362450985845983e-16,-2.9742012544986196e-12,-1.4832333351876342e-12
fn167,1.7902623815836317e-05,12,9.983130605098677e-16,4.867441306055145e-16,-3.39426440573355e-12,-1.6549300440587493e-12
fn167,1.7902623815836317e-05,13,1.6839191949958026e-15,9.420778999557892e-16,-5.7253252629857286e-12,-3.2030648598496833e-12
fn167,1.7902623815836317e-05,14,6.182643663413203e-16,3.593910959374015e-16,-2.102098845560489e-12,-1.221929726187165e-12
fn167,1.7902623815836317e-05,15,1.0529193327588713e-15,6.528095954753513e-16,-3.5799257313801624e-12,-2.2195526246161947e-12
fn167,1.7902623815836317e-05,16,1.3040119794785157e-15,8.059060124173577e-16,-4.4336407302269536e-12,-2.740080442219016e-12
fn167,1.7902623815836317e-05,17,1.4674870861844786e-15,7.770019359101572e-16,-4.9894560930272275e-12,-2.6418065820945343e-12
fn167,1.7902623815836317e-05,18,1.4827835935959112e-15,7.736913554989301e-16,-5.041464218226098e-12,-2.630550608696362e-12
fn167,1.7902623815836317e-05,19,1.4677670588953825e-15,8.989236381154408e-16,-4.9904080002443e-12,-3.0563403695924987e-12
fn167,1.7902623815836317e-05,20,1.0824210195759373e-15,6.677949513930624e-16,-3.680231466558187e-12,-2.2705028347364123e-12
fn167,1.7902623815836317e-05,21,6.182643663413156e-16,3.5939109593739874e-16,-2.102098845560473e-12,-1.2219297261871557e-12
fn167,1.7902623815836317e-05,22,1.6688137083557856e-15,9.90368349234583e-16,-5.673966608409671e-12,-3.367252387397582e-12
fn167,1.7902623815836317e-05,23,1.0963818010087791e-15,5.070816152783194e-16,-3.727698123429849e-12,-1.724077491946286e-12
fn167,1.7902623815836317e-05,24,8.747650748525372e-16,4.362450985845941e-16,-2.9742012544986265e-12,-1.4832333351876199e-12
