benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,candidate_recomputed_matched_bie,free_surface_normal_derivative_source,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,error_metric,candidate_gate_status,matched_heave_free_surface_potential_norm_max,matched_pitch_free_surface_potential_norm_max,matched_heave_inner_free_surface_normal_derivative_norm_max,matched_pitch_inner_free_surface_normal_derivative_norm_max,matched_heave_free_surface_potential_increment_to_normal_derivative_gain_max,matched_heave_free_surface_potential_increment_normal_derivative_phase_deg_median,matched_selected_body_pressure_to_body_potential_gain_max,matched_selected_body_pressure_forward_to_time_norm_ratio_max,matched_selected_pressure_gradient_component_value,provider_route,provider_formulation,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_raw,0,Current default: propagate the raw BIE-solved inner free-surface normal derivative.,True,False,raw,1.0,10.289989439187291,822.6846556630239,10.289989439187291,9.289989439187291,9.289989439187291,0.15,0.0,0.15,61.93326292791528,61.93326292791528,0.0,relative,FAIL,2.141293816109691,2.6788030739603026,6.388131097467603,8.374474846407967,0.464513032180465,180.0,82301.45327044607,44.39906255459733,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,real_part_only,1,Propagate only the real part of the BIE-solved free-surface normal derivative.,False,True,real_part_only,1.0,1.0616595379067666,84.87968005564599,1.0616595379067666,0.06165953790676659,0.06165953790676659,0.15,0.0,0.15,0.4110635860451106,61.93326292791528,-61.52219934187017,relative,PASS,0.0,2.5695525793316296,1.367298828325039,7.6945535396575,0.0,,81302.97672847575,43.86014073085184,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,imaginary_part_only,2,Propagate only the imaginary/quadrature part of the BIE-solved free-surface normal derivative.,False,True,imaginary_part_only,1.0,10.289989439187291,822.6846556630239,10.289989439187291,9.289989439187291,9.289989439187291,0.15,0.0,0.15,61.93326292791528,61.93326292791528,0.0,relative,FAIL,2.141293816109691,0.9105671863847056,6.388131097467603,4.534856475594071,0.464513032180465,180.0,82301.45327044607,44.39906255459733,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,phase_lead_90,3,Rotate the BIE-solved free-surface normal derivative by +90 degrees before marching.,False,True,phase_lead_90,1.0,36.907154238134844,2950.7269813388807,36.907154238134844,35.907154238134844,35.907154238134844,0.15,0.0,0.15,239.3810282542323,61.93326292791528,177.447765326317,relative,FAIL,7.863458968649705,11.96881248071075,15.761968350898977,58.34268712191937,0.12503069706233869,-66.7516764599517,81307.24586145712,43.86737709704599,21.954081932961063,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,phase_lag_90,4,Rotate the BIE-solved free-surface normal derivative by -90 degrees before marching.,False,True,phase_lag_90,1.0,-14.2992600169322,-1143.2258383537294,-14.2992600169322,15.2992600169322,15.2992600169322,0.15,0.0,0.15,101.995066779548,61.93326292791528,40.06180385163272,relative,FAIL,7.863458968649705,14.712756753583612,15.761968350898977,52.900454380604536,0.12503069706233869,66.7516764599517,81325.52054844901,43.86737709704599,-21.954081932961063,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,body_velocity_norm_normalized,5,Keep the BIE-solved phase pattern but scale its norm to the local body normal-velocity norm.,False,True,body_velocity_norm_normalized,1.0,20.42585702698805,1633.0472693076947,20.42585702698805,19.42585702698805,19.42585702698805,0.15,0.0,0.15,129.50571351325368,61.93326292791528,67.5724505853384,relative,FAIL,4.581626084493844,4.2489508090564785,11.414975561259476,11.518574100419654,0.975771270123446,180.0,86668.78172910718,46.756264857770425,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,current_raw,0,Current default: propagate the raw BIE-solved inner free-surface normal derivative.,True,False,raw,2.1,9.646482723616819,1394.399342597508,4.5935632017222945,7.546482723616819,3.5935632017222945,0.15,0.0,0.315,23.957088011481964,23.957088011481964,0.0,relative,FAIL,4.282587632219382,2.9908512131542353,12.776262194935207,11.0029160762816,0.464513032180465,180.0,82364.02322667143,22.199531277298664,9.045074513727819,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,real_part_only,1,Propagate only the real part of the BIE-solved free-surface normal derivative.,False,True,real_part_only,2.1,0.05455757844956226,7.886299463070853,0.025979799261696312,2.0454424215504377,0.9740202007383036,0.15,0.0,0.315,6.493468004922025,23.957088011481964,-17.46362000655994,relative,FAIL,0.0,2.5695525793316296,2.734597656650078,7.780302755741188,0.0,,81366.3145077084,21.93007036542592,-4.695387520570783e-05,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,imaginary_part_only,2,Propagate only the imaginary/quadrature part of the BIE-solved free-surface normal derivative.,False,True,imaginary_part_only,2.1,9.646482723616819,1394.399342597508,4.5935632017222945,7.546482723616819,3.5935632017222945,0.15,0.0,0.315,23.957088011481964,23.957088011481964,0.0,relative,FAIL,4.282587632219382,1.8211343727694111,12.776262194935207,9.06426084113435,0.464513032180465,180.0,82364.02322667143,22.199531277298664,9.045074513727819,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,phase_lead_90,3,Rotate the BIE-solved free-surface normal derivative by +90 degrees before marching.,False,True,phase_lead_90,2.1,30.00001481701576,4336.502965619569,14.285721341436076,27.90001481701576,13.285721341436075,0.15,0.0,0.315,88.57147560957384,23.957088011481964,64.61438759809187,relative,FAIL,15.72691793729941,19.47048546529589,31.523936701797954,109.44156679648106,0.12503069706233869,-66.7516764599517,81361.4485477078,21.933688548522994,42.89961516619529,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
