benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_description,candidate_is_current_default,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,effective_abs_tolerance,gate_error_ratio,error_metric,candidate_gate_status,inner_a_scale,inner_diagonal_sign,inner_free_surface_self_diagonal_scale,provider_route,provider_formulation,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_default,Current production default.,True,1.0,10.486101731065332,838.3638333986734,10.486101731065332,9.486101731065332,9.486101731065332,0.15,0.15,63.24067820710222,relative,FAIL,1.0,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,free_self_diagonal_removed,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal removed.,False,1.0,16.918662981216993,1352.6471053482987,16.918662981216993,15.918662981216993,15.918662981216993,0.15,0.15,106.12441987477996,relative,FAIL,1.0,-1.0,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,free_self_diagonal_opposite_sign,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal sign reversed.,False,1.0,-37.22288454680386,-2975.969619516969,-37.22288454680386,38.22288454680386,38.22288454680386,0.15,0.15,254.81923031202575,relative,FAIL,1.0,-1.0,-1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,inner_a_normalized_by_2pi,Diagnostic candidate that applies a 1/(2*pi) normalization to all inner-domain A blocks.,False,1.0,24.265814696676667,1940.0518849992995,24.265814696676667,23.265814696676667,23.265814696676667,0.15,0.15,155.1054313111778,relative,FAIL,0.15915494309189535,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,current_default,Current production default.,True,2.1,10.801512660825933,1561.3589517389596,5.143577457536159,8.701512660825934,4.143577457536159,0.15,0.315,27.623849716907724,relative,FAIL,1.0,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,free_self_diagonal_removed,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal removed.,False,2.1,52.911305882886325,7648.33071835013,25.195859944231582,50.81130588288632,24.195859944231582,0.15,0.315,161.30573296154387,relative,FAIL,1.0,-1.0,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,free_self_diagonal_opposite_sign,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal sign reversed.,False,2.1,-672.5092263660905,-97211.22713875963,-320.2424887457573,674.6092263660905,321.2424887457574,0.15,0.315,2141.6165916383825,relative,FAIL,1.0,-1.0,-1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,inner_a_normalized_by_2pi,Diagnostic candidate that applies a 1/(2*pi) normalization to all inner-domain A blocks.,False,2.1,52.46687354346484,7584.088011482354,24.98422549688802,50.36687354346484,23.98422549688802,0.15,0.315,159.89483664592012,relative,FAIL,0.15915494309189535,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,current_default,Current production default.,True,-0.2,-3.0938284595059806,-742.0547560125095,15.469142297529903,2.8938284595059804,14.4691422975299,0.3,0.06,48.23047432509968,relative,FAIL,1.0,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,free_self_diagonal_removed,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal removed.,False,-0.2,-12.735080179475128,-3054.50898104711,63.675400897375646,12.535080179475129,62.67540089737564,0.3,0.06,208.91800299125217,relative,FAIL,1.0,-1.0,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
