benchmark,requirement,expected,actual,requirement_status,gate1_current_status,evidence,source_file
ma2005_wigley_iii_coefficients,provider_route_preserved,all rows use matched_bie_station_sweep,matched_bie_station_sweep,PASS,PENDING,8 matched row(s) in ma2005_wigley_iii_coefficients_comparison.csv,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,coefficient_output_complete,reference/computed/error/gate/status columns present and finite,present=True; numeric_ok=True; rows=8,PASS,PENDING,comparison table contains the hard-gate columns required by the objective,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,eq30_component_split_complete,time/gradient/Stokes/end contributions present and finite,present=True; numeric_ok=True,PASS,PENDING,Eq.30/Eq.32 split columns are available for every matched row,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,closure_residual_below_1e-9,<1e-9,4.17602923684224e-15,PASS,PENDING,reported coefficient equals the sum of pressure components to numerical precision,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,finite_numeric_outputs,no NaN/Inf in selected hard-gate numeric columns,finite=True,PASS,PENDING,selected comparison numeric columns are finite,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,current_default_gate,all coefficient rows PASS,"pass=0/8; failures=forward_speed_pressure_gradient_station_mapping,heave_time_derivative_body_potential_scale",PENDING,PENDING,Gate 1 remains pending until every Wigley III coefficient passes,ma2005_wigley_iii_coefficients_gate1_failure_audit.csv
ma2005_wigley_iii_coefficients,diagnostic_candidate_exclusion,non-passing candidates remain diagnostic-only,best=time_only_no_gradient_no_end; pass=0/8; max_gate=175.568; median_gate=68.7067; improved=5; worsened=1,PASS,PENDING,diagnostic_only_excluded_because_full_gate_not_passed,ma2005_wigley_iii_coefficients_eq30_pressure_balance_candidate_summary.csv
ma2005_wigley_iii_coefficients,global_scale_fit_exclusion,global scale fits do not replace equation-level correction,best=least_squares_time_gradient_end; components=time_derivative+pressure_gradient+end_term; pass=4/8; max_gate=5.1618; time_scale=0.0531267; gradient_scale=0.113175; stokes_scale=0; end_scale=-0.228162,PASS,PENDING,global_scale_fit_excluded_because_full_gate_not_passed,ma2005_wigley_iii_coefficients_eq30_component_scale_fit_summary.csv
ma2005_wigley_iii_coefficients,full_four_component_scale_fit_exclusion,even time+gradient+Stokes+end least-squares scaling must not become a default correction unless it passes all rows and is equation-traced,full_four_component_fit=least_squares_time_gradient_stokes_end; pass=5/8; max_gate=5.18107; median_gate=0.476273; time_scale=0.0536714; gradient_scale=0.187074; stokes_scale=-0.101368; end_scale=-0.424336,PASS,PENDING,explicitly checks the diagnostic fit containing all four Eq.30/Eq.32 contribution families,ma2005_wigley_iii_coefficients_eq30_component_scale_fit_summary.csv
ma2005_wigley_iii_coefficients,coefficient_family_scale_fit_exclusion,"shared A/B, row, column, diagonal/coupling, or matrix-cell scales must not replace equation-level correction unless the full Gate 1 passes",best=matrix_cell_shared_ab_scale; groups=4; pass=4/8; max_gate=6.0634; median_gate=2.24865; group_scale_spread=10.027,PASS,PENDING,coefficient_family_scale_excluded_because_full_gate_not_passed,ma2005_wigley_iii_coefficients_coefficient_family_scale_exclusion_summary.csv
ma2005_wigley_iii_coefficients,eq31_eq32_forward_identity_exclusion,Eq.31 direct-gradient or Eq.32 Stokes route can replace the current hybrid only if it passes all rows and the forward identity closes,best_equation_route=eq32_stokes_time_plus_body_plus_end; pass=0/8; max_gate=327.304; median_gate=109.149; identity_max_residual_over_tol=832.128; identity_pass=2/8,PASS,PENDING,eq31_eq32_forward_routes_excluded_because_full_gate_not_passed_or_identity_not_closed,ma2005_wigley_iii_coefficients_eq31_eq32_forward_identity_summary.csv
ma2005_wigley_iii_coefficients,complex_forward_identity_audit,same-frequency A/B coefficient pairs reconstruct one complex generalized force and test Eq.31/Eq.32 magnitude-phase closure,"pairable=2/4; unpairable=2; identity_pass=0; identity_fail=2; max_identity_norm=0.760344; median_identity_norm=0.756059; max_closure_norm=1.14835e-16; scale_abs_range=[4.02859, 4.10946]; phase_range=[-8.69333, -0]; paired_cells=53;55; unpaired_cells=33;35; conclusion=complex_identity_partially_evaluable_and_not_closed_frequency_pair_gap",PASS,PENDING,"diagnostic-only audit reconstructs F_ij = omega^2 A_ij - i omega B_ij from raw A/B rows, then compares the Eq.31 pressure-gradient force with Eq.32 Stokes body plus end-contour force in magnitude and phase.",ma2005_wigley_iii_coefficients_complex_forward_identity_summary.csv
ma2005_wigley_iii_coefficients,projection_derivative_balance_audit,"Eq.31 direct pressure-gradient, d(phi*N)/dx projection derivative, and Eq.32 Stokes+end routes are compared before any projection proxy changes the default",same_frequency=4/8; frequency_gap_or_missing=4; G_vs_D_pass=2; G_vs_SE_pass=2; D_vs_SE_pass=2; max_G_D_norm=0.518447; max_G_SE_norm=0.935589; max_D_SE_norm=0.916519; conclusion=same_frequency_projection_balance_does_not_close,PASS,PENDING,"diagnostic-only audit compares G=direct Eq.31 gradient, D=d(phi*N_i)/dx proxy, and S+E=Eq.32 Stokes body plus end contour, while marking A/B frequency mismatches as weak evidence.",ma2005_wigley_iii_coefficients_projection_derivative_balance_summary.csv
