benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,mode_column,generalized_row,station_local_index,x_m,x_over_l,body_phi_solution_norm,body_phi_n_known_norm,body_phi_to_phi_n_norm_ratio,free_phi_known_norm,free_phi_n_solution_norm,free_phi_n_to_phi_norm_ratio,control_phi_solution_norm,control_phi_n_solution_norm,control_phi_n_to_phi_norm_ratio,outer_history_rhs_norm,matched_rhs_total_norm,matched_rhs_body_normal_velocity_norm,matched_rhs_inner_free_surface_potential_norm,matched_rhs_outer_control_history_norm,matched_rhs_body_normal_velocity_to_total_ratio,matched_rhs_inner_free_surface_potential_to_total_ratio,matched_rhs_outer_control_history_to_total_ratio,matched_rhs_source_sum_relative_residual,body_pressure_total_norm,body_pressure_time_derivative_norm,body_pressure_forward_speed_norm,body_pressure_forward_to_time_norm_ratio,total_density_value_per_m,time_derivative_density_value_per_m,pressure_gradient_density_value_per_m,stokes_body_forward_density_value_per_m,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,714.88034120392,0.8863383578035218,806.554669455466,42.52119830419633,915.577053021631,21.53224954930949,1.3273228688976446,2.4430683812503458,1.8405984244657363,0.20232776068741928,244.5821438877211,0.9603702487402305,244.0149624207816,0.20232776068741928,0.003926575478793342,0.9976810184998629,0.0008272384789475912,0.0,25443718.87461066,1324820.1660526446,25409204.66480285,19.17936133211997,23.62859175881358,23.62859175881358,0.0,0.0,diagnostic_aft_pair_boundary_rhs_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,1,0.15,0.049999999999999996,409.2913707392752,1.7006647841539508,240.66551771570317,43.03640421518633,588.7683060857797,13.680703971964741,5.510964129462119,9.163795212139412,1.662829769322744,0.03490574493875889,450.7822158859362,1.8187980441252352,449.9717037803722,0.03490574493875889,0.004034759979496297,0.9982019873965723,7.743372233564617e-05,0.0,8606692.430797532,758501.0112790996,8573204.23262132,11.302825052485929,2.472961922953549,2.472961922953549,0.0,0.0,diagnostic_aft_pair_boundary_rhs_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave,heave_force,0,0.075,0.024999999999999998,1429.76068240784,1.7726767156070435,806.554669455466,85.04239660839266,1831.154106043262,21.53224954930949,2.6546457377952892,4.8861367625006915,1.8405984244657363,0.40465552137483857,489.1642877754422,1.920740497480461,488.0299248415632,0.40465552137483857,0.003926575478793342,0.9976810184998629,0.0008272384789475912,0.0,51093963.46291244,5299280.664210578,50818409.3296057,9.589680666059985,578.2425315824912,-0.0,578.2425315824912,-0.0,diagnostic_aft_pair_boundary_rhs_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave,heave_force,1,0.15,0.049999999999999996,818.5827414785504,3.4013295683079017,240.66551771570317,86.07280843037266,1177.5366121715595,13.680703971964741,11.021928258924238,18.327590424278824,1.662829769322744,0.06981148987751779,901.5644317718724,3.6375960882504703,899.9434075607444,0.06981148987751779,0.004034759979496297,0.9982019873965723,7.743372233564617e-05,0.0,17412768.412941325,3034004.0451163985,17146408.46524264,5.651412526242964,278.9948141609814,-0.0,278.9948141609814,-0.0,diagnostic_aft_pair_boundary_rhs_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,0,0.075,0.024999999999999998,908.6146495495069,2.172687464558183,418.19850501796594,54.55696258793711,1187.3802495299012,21.76404611264848,1.632449072241552,3.0268619068887737,1.8541845858214263,0.254492167410647,311.60547843904243,2.354162360685133,311.3554791775623,0.254492167410647,0.007554945351019122,0.9991977058210514,0.0008167127506406529,0.0,32341907.709573112,2525774.471990984,32211238.591002926,12.75301454987463,-104.97254193504973,-2.1738696537180324,-102.79867228133169,0.0,diagnostic_aft_pair_boundary_rhs_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,1,0.15,0.049999999999999996,523.6392001072567,4.003115285075203,130.80792403344924,55.598906740071456,777.5189107025535,13.98442804527624,6.9609811299077835,11.576380724174864,1.663038659081701,0.04357840033842323,578.949011966824,4.281183639916848,578.5989586348545,0.04357840033842322,0.007394750749073179,0.9993953641430698,7.527156871790367e-05,0.0,11008364.685574934,1455616.5529803338,10886439.100169875,7.478919553284962,-49.90413571205421,-0.3050576389908949,-49.59907807306331,0.0,diagnostic_aft_pair_boundary_rhs_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,0.13,pitch,heave_force,0,0.075,0.024999999999999998,992.4622929749353,3.3319021243295786,297.86658069214184,60.32691407670202,1330.5301512424235,22.055332542797316,1.7006763339512296,3.189064127853197,1.8751740493994844,0.27405982676017543,341.4327264672672,3.610201052169544,341.8378733506202,0.2740598267601755,0.010573681935892722,1.0011866082303973,0.0008026759168513664,0.0,35442452.03256759,4598091.400743195,35061589.46584759,7.6252484803108835,-42.502225397078995,9.451436703525427,-51.95366210060443,-0.0,diagnostic_aft_pair_boundary_rhs_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,0.13,pitch,heave_force,1,0.15,0.049999999999999996,576.8980959946352,6.091757755145091,94.70141774882428,62.01060614030409,889.8575896048606,14.350086944666927,7.5398197636492235,12.541165457085308,1.663324303526251,0.04643362559901443,640.9814380680333,6.514909459864284,641.5610826808896,0.04643362559901442,0.010163959629627833,1.0009043079540703,7.24414512516445e-05,0.0,12236054.906801809,2672776.7826289064,11876343.456555838,4.443447553773806,-24.6653486212443,0.989184769181421,-25.65453339042572,-0.0,diagnostic_aft_pair_boundary_rhs_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,0.15,heave,pitch_moment,0,0.075,0.024999999999999998,1429.76068240784,1.7726767156070435,806.554669455466,85.04239660839266,1831.154106043262,21.53224954930949,2.6546457377952892,4.8861367625006915,1.8405984244657363,0.40465552137483857,489.1642877754422,1.920740497480461,488.0299248415632,0.40465552137483857,0.003926575478793342,0.9976810184998629,0.0008272384789475912,0.0,51093963.46291244,5299280.664210578,50818409.3296057,9.589680666059985,11.22358108543645,11.22358108543645,0.0,0.0,diagnostic_aft_pair_boundary_rhs_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,0.15,heave,pitch_moment,1,0.15,0.049999999999999996,818.5827414785504,3.4013295683079017,240.66551771570317,86.07280843037266,1177.5366121715595,13.680703971964741,11.021928258924238,18.327590424278824,1.662829769322744,0.06981148987751779,901.5644317718724,3.6375960882504703,899.9434075607444,0.06981148987751779,0.004034759979496297,0.9982019873965723,7.743372233564617e-05,0.0,17412768.412941325,3034004.0451163985,17146408.46524264,5.651412526242964,1.1128328653290969,1.1128328653290969,0.0,0.0,diagnostic_aft_pair_boundary_rhs_not_hard_gate
