benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,mode_column,generalized_row,station_local_index,x_m,x_over_l,row_block_index,row_block_name,free_surface_panel_index,free_surface_panel_y_m,free_surface_panel_length_m,free_surface_potential_abs,free_surface_potential_phase_deg,matrix_column_norm,row_block_contribution_norm,row_block_free_rhs_norm,total_free_rhs_norm,row_block_to_total_free_rhs_norm_ratio,panel_to_row_block_free_rhs_norm_ratio,panel_to_total_free_rhs_norm_ratio,panel_to_row_block_real_alignment,panel_to_row_block_phase_deg,row_block_to_total_real_alignment,row_block_to_total_phase_deg,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,0,-0.679316203125,0.44136759374999995,0.7827720019876623,66.68091115495251,0.2791702747785683,0.2185266748838657,3.1610838496206095,6.665030821349134,0.47427895449412844,0.06913030001089439,0.03278704641303243,0.9188111232809204,-22.663382291340806,0.4742789544941284,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,1,-0.23794860937499998,0.44136759374999995,0.7744155288997435,92.85376680904452,1.7889726392197924,1.3854081925885657,3.1610838496206095,6.665030821349134,0.47427895449412844,0.43826999171655673,0.20786223345747884,0.9959210524195101,3.4772360159712252,0.4742789544941284,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,2,0.23794860937499998,0.44136759374999995,0.7744155288997434,92.85376680904452,1.7889726392197924,1.3854081925885655,3.1610838496206095,6.665030821349134,0.47427895449412844,0.4382699917165566,0.2078622334574788,0.9959210524195099,3.4772360159712297,0.4742789544941284,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,3,0.679316203125,0.44136759374999995,0.7827720019876626,66.68091115495247,0.2791702747785683,0.21852667488386585,3.1610838496206095,6.665030821349134,0.47427895449412844,0.06913030001089443,0.03278704641303245,0.9188111232809199,-22.663382291340863,0.4742789544941284,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,0,-0.679316203125,0.44136759374999995,0.7827720019876623,66.68091115495251,3.141592653589793,2.4591507708802145,4.892119347706773,6.665030821349134,0.7339980082367438,0.5026759561851173,0.3689631506283768,0.5026759561851174,0.0,0.7339980082367437,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,1,-0.23794860937499998,0.44136759374999995,0.7744155288997435,92.85376680904452,3.141592653589793,2.4328981364172884,4.892119347706773,6.665030821349134,0.7339980082367438,0.4973096450636946,0.36502428895367384,0.4973096450636946,0.0,0.7339980082367437,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,2,0.23794860937499998,0.44136759374999995,0.7744155288997434,92.85376680904452,3.141592653589793,2.432898136417288,4.892119347706773,6.665030821349134,0.7339980082367438,0.4973096450636945,0.3650242889536738,0.4973096450636945,0.0,0.7339980082367437,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,3,0.679316203125,0.44136759374999995,0.7827720019876626,66.68091115495247,3.141592653589793,2.459150770880216,4.892119347706773,6.665030821349134,0.7339980082367438,0.5026759561851176,0.368963150628377,0.5026759561851176,0.0,0.7339980082367437,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,0,0.075,0.024999999999999998,2,eq23_inner_control,0,-0.679316203125,0.44136759374999995,0.7827720019876623,66.68091115495251,1.5688940496607569,1.2280863361594814,3.239961887583668,6.665030821349134,0.4861135641272002,0.37904345136460116,0.1842581631019213,0.7509476852341945,-10.266261203810233,0.4861135641272001,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,heave,heave_force,0,0.075,0.024999999999999998,2,eq23_inner_control,1,-0.23794860937499998,0.44136759374999995,0.7744155288997435,92.85376680904452,1.017005466752051,0.7875848264287201,3.239961887583668,6.665030821349134,0.4861135641272002,0.24308459597840923,0.11816671933548498,0.8859393032609145,13.46279609920968,0.4861135641272001,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
