benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,row_family,column_family,station_index,x_m,x_over_l,projection_orientation,heave_row_measure_sum,signed_delta_y_sum,normal_length_identity_sum,projection_identity_residual_norm,normal_length_identity_residual_norm,row_gradient_projection_residual_norm,moving_mesh_transport_density_value_per_m,projection_gradient_transport_density_value_per_m,leibniz_endpoint_boundary_density_value_per_m,moving_minus_leibniz_boundary_density_value_per_m,first_projected_node_gradient,last_projected_node_gradient,first_panel_phi_real,first_panel_phi_imag,last_panel_phi_real,last_panel_phi_imag,max_abs_projection_identity_residual,max_abs_gradient_identity_residual,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,0.075,0.024999999999999998,N3_ds_equals_delta_y,-0.02925000000000001,-0.02925000000000001,-0.02925000000000001,7.334577715784919e-17,0.0,1.8663842289189113e-16,-6.560727962257881,-6.560727962257881,-6.309630783358264,-0.25109717889961747,0.18999999999999934,-0.18999999999999934,0.0,-3.902684223367609,0.0,-3.9026842233676073,8.673617379884035e-19,2.7755575615628914e-17,false,diagnostic-only heave projection identity; fixed-coordinate Leibniz transport must pass the full Ma 2005 Gate before it can change the default path.,diagnostic_heave_projection_measure_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,1,0.15,0.049999999999999996,N3_ds_equals_delta_y,-0.05699999999999998,-0.05699999999999998,-0.05699999999999998,9.455727717401113e-18,0.0,9.706065419055034e-17,4.42029526355247,4.420295263552469,-1.151228478269084,5.571523741821554,0.1800000000000001,-0.1800000000000001,0.0,-0.7516265047302608,0.0,-0.7516265047302596,2.168404344971009e-19,1.3877787807814457e-17,false,diagnostic-only heave projection identity; fixed-coordinate Leibniz transport must pass the full Ma 2005 Gate before it can change the default path.,diagnostic_heave_projection_measure_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,2,0.22499999999999998,0.075,N3_ds_equals_delta_y,-0.08325000000000002,-0.08325000000000002,-0.08325000000000002,0.0,0.0,2.920444859618009e-17,-17.297890647657052,-17.297890647657052,-8.071734338773492,-9.22615630888356,0.1699999999999999,-0.1699999999999999,0.0,-5.579958968554708,0.0,-5.579958968554709,0.0,3.469446951953614e-18,false,diagnostic-only heave projection identity; fixed-coordinate Leibniz transport must pass the full Ma 2005 Gate before it can change the default path.,diagnostic_heave_projection_measure_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,3,0.3,0.09999999999999999,N3_ds_equals_delta_y,-0.10799999999999996,-0.10799999999999996,-0.10799999999999996,1.4321665431609165e-17,0.0,2.7648038934610697e-16,-10.612104764756477,-10.612104764756477,-6.665908658433906,-3.9461961063225717,0.15999999999999998,-0.15999999999999998,0.0,-4.896124388347626,0.0,-4.896124388347632,4.336808689942018e-19,2.7755575615628914e-17,false,diagnostic-only heave projection identity; fixed-coordinate Leibniz transport must pass the full Ma 2005 Gate before it can change the default path.,diagnostic_heave_projection_measure_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,4,0.375,0.125,N3_ds_equals_delta_y,-0.13124999999999998,-0.13125,-0.13124999999999998,8.228755639829678e-17,0.0,2.4814003121792824e-16,-9.76534099345314,-9.76534099345314,-6.99707899529526,-2.7682619981578807,0.15000000000000013,-0.1500000000000002,0.0,-5.481994368099043,0.0,-5.481994368099048,3.469446951953614e-18,2.7755575615628914e-17,false,diagnostic-only heave projection identity; fixed-coordinate Leibniz transport must pass the full Ma 2005 Gate before it can change the default path.,diagnostic_heave_projection_measure_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,5,0.44999999999999996,0.15,N3_ds_equals_delta_y,-0.15300000000000002,-0.153,-0.15300000000000002,5.806854528628424e-17,0.0,5.001645965018701e-16,-9.612170802286153,-9.61217080228615,-7.5365527934302685,-2.0756180088558844,0.14,-0.14,0.0,-6.326416453246176,0.0,-6.326416453246185,3.469446951953614e-18,2.7755575615628914e-17,false,diagnostic-only heave projection identity; fixed-coordinate Leibniz transport must pass the full Ma 2005 Gate before it can change the default path.,diagnostic_heave_projection_measure_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,6,0.525,0.17500000000000002,N3_ds_equals_delta_y,-0.17325000000000007,-0.17325000000000004,-0.17325000000000007,7.415512105233853e-17,0.0,4.075019793242782e-16,-9.591478715634764,-9.591478715634766,-8.112797136095931,-1.4786815795388328,0.13,-0.13,0.0,-7.333990298970341,0.0,-7.333990298970353,3.469446951953614e-18,2.7755575615628914e-17,false,diagnostic-only heave projection identity; fixed-coordinate Leibniz transport must pass the full Ma 2005 Gate before it can change the default path.,diagnostic_heave_projection_measure_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,7,0.6,0.19999999999999998,N3_ds_equals_delta_y,-0.19199999999999998,-0.19199999999999998,-0.19199999999999998,4.6880935436106185e-17,0.0,4.517221635444423e-16,-9.535759628094482,-9.535759628094485,-8.659016884587391,-0.8767427435070907,0.11999999999999988,-0.11999999999999988,0.0,-8.480088946133801,0.0,-8.480088946133819,3.469446951953614e-18,2.7755575615628914e-17,false,diagnostic-only heave projection identity; fixed-coordinate Leibniz transport must pass the full Ma 2005 Gate before it can change the default path.,diagnostic_heave_projection_measure_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,8,0.6749999999999999,0.22499999999999998,N3_ds_equals_delta_y,-0.20925,-0.20925,-0.20925,0.0,0.0,3.451796993856913e-16,-9.355430481710108,-9.355430481710108,-9.106573035775096,-0.24885744593501258,0.10999999999999999,-0.10999999999999999,0.0,-9.729160254203356,0.0,-9.729160254203377,0.0,2.7755575615628914e-17,false,diagnostic-only heave projection identity; fixed-coordinate Leibniz transport must pass the full Ma 2005 Gate before it can change the default path.,diagnostic_heave_projection_measure_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,9,0.75,0.25,N3_ds_equals_delta_y,-0.22499999999999998,-0.22499999999999998,-0.22499999999999998,0.0,0.0,0.0,-8.973049118667136,-8.973049118667136,-9.35339874391161,0.3803496252444738,0.09999999999999998,-0.09999999999999987,0.0,-10.992146709616607,0.0,-10.992146709616629,0.0,0.0,false,diagnostic-only heave projection identity; fixed-coordinate Leibniz transport must pass the full Ma 2005 Gate before it can change the default path.,diagnostic_heave_projection_measure_identity_not_hard_gate,INFO
