benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,mode_column,generalized_row,reference_value,station_index,x_m,x_over_l,waterplane_beam_m,effective_draft_m,submerged_area_m2,body_normal_velocity_norm,body_potential_norm,body_potential_to_body_normal_velocity_gain,body_potential_norm_to_beam_squared_ratio,body_potential_norm_to_submerged_area_ratio,inner_free_surface_normal_derivative_norm,free_surface_potential_norm,control_potential_norm,control_normal_derivative_norm,body_pressure_norm,body_pressure_time_derivative_norm,body_pressure_forward_speed_norm,body_pressure_to_body_potential_gain,body_pressure_forward_to_time_norm_ratio,pressure_time_formula_ratio,pressure_forward_formula_ratio,body_potential_x_gradient_norm,body_potential_x_gradient_to_potential_gain,body_potential_x_gradient_characteristic_length_m,body_potential_x_gradient_gain_times_l,central_body_potential_x_gradient_gain_times_l,forward_body_potential_x_gradient_gain_times_l,backward_body_potential_x_gradient_gain_times_l,phase_aligned_body_potential_x_gradient_gain_times_l,total_density_value_per_m,time_derivative_density_value_per_m,pressure_gradient_density_value_per_m,stokes_body_forward_density_value_per_m,dominant_force_density_component,dominant_pressure_norm_component,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,heave,heave_force,1.07,0,0.075,0.024999999999999998,0.03452962500000001,0.1875,0.004316203125000001,1.0702187802957153,1.395242201930657,1.3036981107219343,1170.2155916451516,323.25684438928175,1.7496763171119665,1.5572099527660632,1.427118770703091,1.3040480868570887,8657.574792380814,5171.340989829123,9702.496807753048,6205.069471379918,1.8762051906528114,1.0,1.0,4.36293443580026,3.127008651088018,0.31979444625202996,9.381025953264054,8.370725126624153,6.769344697049483,6.769344697049483,8.331760721452206,0.11002936117415758,-0.006982083836406609,0.11701144501056421,0.0,pressure_gradient_density,forward_speed_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,heave,heave_force,1.07,1,0.15,0.049999999999999996,0.06623399999999997,0.1875,0.008279249999999997,2.0107297107905167,1.582375243503695,0.7869656647593801,360.701137788837,191.12543328244655,1.7641896163678865,1.5758459239910168,1.4218081822216668,1.289110545608713,5411.255406586442,5864.932946192656,6962.776762151938,3419.704288727901,1.1871877864642886,1.0,1.0,3.1309609378184007,1.9786463107738133,0.5053960349330537,5.93593893232144,4.613228707157914,3.382632428565937,5.968796238132552,4.483223233619544,0.12717080431020517,-0.0019764518644322534,0.12914725617463746,0.0,pressure_gradient_density,forward_speed_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,heave,heave_force,1.07,2,0.22499999999999998,0.075,0.09527962500000002,0.1875,0.011909953125000003,2.811745077359882,1.6821424000811611,0.5982556575365738,185.29456435315666,141.2383728488571,1.785077242460964,1.589720314129372,1.4138252006962646,1.2674318842619852,3663.9188446446747,6234.711028832242,5352.681403315949,2178.1264442700544,0.8585291890133524,1.0,1.0,2.4069472509110885,1.4308819816889204,0.6988696571744266,4.292645945066761,2.938322905184368,2.7726238479923198,3.1820099253055294,2.5206754914076672,0.11056126608380952,0.01669749420895202,0.0938637718748575,0.0,pressure_gradient_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,heave,heave_force,1.07,3,0.3,0.09999999999999999,0.12182399999999996,0.1875,0.015227999999999995,3.4822803916969276,1.7632685620540953,0.5063545618722702,118.80993386168647,115.79121106212871,1.8106015065842074,1.5986723411239145,1.4029328030518562,1.2403180817799186,3486.9078836025024,6535.397924754418,4772.030857078513,1977.5251250101558,0.7301821422385435,1.0,1.0,2.145845359970892,1.216970237064239,0.8217127827319363,3.650910711192717,2.667708931995545,2.729939578897891,2.645058293758078,1.9023213223110504,0.1226639866791017,0.04623755852755183,0.07642642815154989,0.0,pressure_gradient_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,heave,heave_force,1.07,4,0.375,0.125,0.146015625,0.1875,0.018251953125,4.039379866597088,1.8365858838042304,0.454670257430241,86.14152946356754,100.62407410462984,1.8389363446407991,1.6025107101110088,1.3889560234695557,1.2095060825713277,3684.9475712587246,6807.142049685788,4413.514589897012,2006.4117903519284,0.6483652842385941,1.0,1.0,1.9846308809688653,1.0806088070643234,0.9254042660606179,3.24182642119297,2.7066774458076854,2.8152051066787767,2.6209591820487663,1.611183745710341,0.14513479644191585,0.08411510025828241,0.06101969618363344,0.0,time_derivative_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,heave,heave_force,1.07,5,0.44999999999999996,0.15,0.167994,0.1875,0.02099925,4.501392351300204,1.9041354443145075,0.42301032563058133,67.46993556107147,90.67635483717311,1.8679180259051462,1.6010084606783397,1.3716965783819326,1.1769194163370351,3963.2251178656793,7057.508481140031,4126.992752916152,2081.3777348136323,0.5847662477409451,1.0,1.0,1.8557902316038863,0.9746104129015751,1.026051011524529,2.923831238704725,2.807807548837321,2.917684949612969,2.7153351797414627,1.409803657099072,0.17193805370032014,0.12816068303957917,0.043777370660741007,0.0,time_derivative_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,heave,heave_force,1.07,6,0.525,0.17500000000000002,0.18788962500000003,0.1875,0.023486203125000004,4.8849537469852065,1.9659175866543936,0.4024434392787603,55.68775480258462,83.70521093559661,1.8950773039608715,1.5939108827445403,1.3509520338117764,1.1444340736251026,4241.046604245407,7286.498490673578,3875.287116449109,2157.2860597187278,0.5318449075930393,1.0,1.0,1.742605428682894,0.8864081793217319,1.128148434692003,2.6592245379651955,2.9102089362083676,3.009891738981069,2.825991977291225,1.2336872647789114,0.20029191261684573,0.17651752098225088,0.02377439163459485,0.0,time_derivative_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,heave,heave_force,1.07,7,0.6,0.19999999999999998,0.20582399999999998,0.1875,0.025727999999999997,5.204068011707894,2.0214341828217455,0.3884334674862065,47.7163897542822,78.56942563828302,1.917833234726572,1.5809543398140544,1.3265389777678227,1.1136186927510625,4493.953532275345,7492.265811199543,3649.7076518556382,2223.151053081619,0.4871300276613257,1.0,1.0,1.6411688156558433,0.8118833794355427,1.2317039926291438,2.4356501383066282,2.999061729468888,3.0855171209541945,2.927228179810814,1.06585636706692,0.22853917038658078,0.227592857006171,0.0009463133804098009,0.0,time_derivative_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,heave,heave_force,1.07,8,0.6749999999999999,0.22499999999999998,0.22190962499999997,0.1875,0.027738703124999996,5.470118590840522,2.0701163639018634,0.3784408563587971,42.03804196171214,74.62916901966244,1.9337763102723762,1.5618924697754974,1.2983141062348016,1.0854957797381164,4713.225207063544,7672.7019807373745,3449.613237624439,2276.792401263768,0.4495956243686815,1.0,1.0,1.5511920985738046,0.7493260406144691,1.3345325609930372,2.247978121843407,3.0714246551581725,3.1440956034349488,3.012956125916711,0.9020452945534795,0.2555146347008699,0.2800115980132121,-0.02449696331234227,0.0,time_derivative_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,heave,heave_force,1.07,9,0.75,0.25,0.23625000000000002,0.1875,0.029531250000000002,5.692207122041916,2.111443920662075,0.3709358910159712,37.82996302521564,71.49863011765756,1.9409617391086629,1.5365254275024605,1.2661923813086355,1.0603838105457735,4895.479948244339,7825.878890085327,3276.8403049977214,2318.5460434626593,0.4187185044671696,1.0,1.0,1.4735010678765348,0.6978641741119491,1.4329435971871272,2.0935925223358476,3.127750899931804,3.186939747088807,3.082555825731667,0.7413595192517628,0.28033286399545326,0.33257429311812087,-0.05224142912266754,0.0,time_derivative_density,time_derivative_pressure,diagnostic_body_potential_source_audit_not_hard_gate
