benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,current_default,0,Current matched-BIE pressure integral plus current end term.,True,1.07,1.0181504124660368,81.40112547665964,0.9515424415570437,0.05184958753396329,0.04845755844295634,0.15,0.1605,0.323050389619709,0.323050389619709,0.0,PASS,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,ghost_aft_pressure_plus_end,1,"Treats the first aft active station as a free-surface start-up station: it remains in the solved station history, but its pressure-density contribution is excluded from whole-ship integration; the current end term is retained.",False,1.07,0.6519229928672794,52.12124327973899,0.6092738251096069,0.41807700713272067,0.39072617489039313,0.15,0.1605,2.6048411659359543,0.323050389619709,2.281790776316245,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,ghost_aft_pressure_no_end,2,"Same aft start-up pressure exclusion, but without adding the current end term. This separates pressure-integral sensitivity from end-contour sensitivity.",False,1.07,0.6519229928672794,52.12124327973899,0.6092738251096069,0.41807700713272067,0.39072617489039313,0.15,0.1605,2.6048411659359543,0.323050389619709,2.281790776316245,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,ghost_aft_forward_only_removed_keep_time_end,3,"Keeps the full time-derivative pressure integral and current end term, but excludes the first aft active station only from the forward-speed pressure-gradient integral.",False,1.07,0.6515870477784982,52.09438446989093,0.6089598577369142,0.4184129522215019,0.39104014226308587,0.15,0.1605,2.606934281753906,0.323050389619709,2.283883892134197,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,ghost_aft_time_only_removed_keep_forward_end,4,"Keeps the full forward-speed pressure-gradient integral and current end term, but excludes the first aft active station only from the time-derivative pressure integral.",False,1.07,0.6611539441617246,52.859257835729885,0.6179008823941351,0.4088460558382755,0.3820991176058649,0.15,0.1605,2.547327450705766,0.323050389619709,2.224277061086057,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,bow_pressure_excluded_plus_end,5,Control candidate excluding the bow active station pressure integral while retaining the current end term; this checks whether endpoint sensitivity is aft-specific.,False,1.07,0.6598905473475996,52.758249260440586,0.6167201377080369,0.4101094526524005,0.3832798622919631,0.15,0.1605,2.5551990819464208,0.323050389619709,2.232148692326712,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,both_end_pressure_excluded_plus_end,6,Control candidate excluding both aft and bow active station pressure integrals while retaining the current end term.,False,1.07,0.650995541141936,52.047093514297785,0.6084070477962018,0.41900445885806403,0.39159295220379814,0.15,0.1605,2.610619681358654,0.323050389619709,2.2875692917389454,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,current_default,0,Current matched-BIE pressure integral plus current end term.,True,0.941,0.8954918095166653,71.5945701708574,0.9516384798264244,0.045508190483334654,0.04836152017357562,0.15,0.14115,0.3224101344905041,0.3224101344905041,0.0,PASS,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,ghost_aft_pressure_plus_end,1,"Treats the first aft active station as a free-surface start-up station: it remains in the solved station history, but its pressure-density contribution is excluded from whole-ship integration; the current end term is retained.",False,0.941,0.600410509353701,48.0028202228284,0.6380558016511169,0.34058949064629895,0.3619441983488831,0.15,0.14115,2.412961322325887,0.3224101344905041,2.090551187835383,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,ghost_aft_pressure_no_end,2,"Same aft start-up pressure exclusion, but without adding the current end term. This separates pressure-integral sensitivity from end-contour sensitivity.",False,0.941,0.600410509353701,48.0028202228284,0.6380558016511169,0.34058949064629895,0.3619441983488831,0.15,0.14115,2.412961322325887,0.3224101344905041,2.090551187835383,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
