frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,20.657180752563452,3.2612816916742378,1.9265999999999999,0.01,0.10944506554608589,-0.015086182183162704,-0.05079620187197927,0.09783218729898648,0.1104799315045525,0.11023334793211555,0.03380062145920467,0.11342163375725134,82.15166432664722,-152.56086250337202,154.77506870442414,-82.15166432664722,-152.56086250337202,47.14389877852088,48.39917936522242,0.048073397927448094,0.049353427893544105,4.74773429059707,1.3996593073467957e-16,0.40240318599510483,0.6170442399953356,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.014
1,5.620244580566254,20.436811509004407,3.2209928105300336,1.9506983333333334,0.01,0.1100132492677639,-0.012510435983527475,-0.057085146441093054,0.09832032440635904,0.11072229234869142,0.1136908093716142,0.03529682183702412,0.11356074932771733,83.51233462701572,-149.86039005891726,158.65193885184254,-83.51233462701572,-149.86039005891726,46.24463409239273,47.430153300834256,0.04715640314724471,0.04836529630488929,4.752349652194554,1.0141240175500836e-16,0.41382369639732264,0.6249836819125169,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0266833333333334
2,5.585847557002136,20.221608747450148,3.181687215314785,1.9747966666666668,0.01,0.11054208895307244,-0.009870009426834504,-0.06350207858699429,0.0987582637732329,0.11098184768778532,0.11741255745605853,0.03690260843080458,0.11416326889468288,84.89774215976661,-147.25877109545192,162.59494349751662,-84.89774215976661,-147.25877109545192,45.38197137237893,46.682897326874404,0.046276731985315,0.04760330727299783,4.757285008938451,2.0086496189848325e-16,0.42496738257323696,0.6326983714996789,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0393666666666668
3,5.552074450332887,20.011389428371302,3.1433293430518296,1.9988949999999999,0.01,0.11103004424135245,-0.007165168836068699,-0.07004707202812147,0.09914326329085932,0.11126100111308568,0.12139184056465034,0.03861887423059275,0.11525461789756411,86.30761695953589,-144.75788587224602,166.57270885888613,-86.30761695953589,-144.75788587224602,44.5551028460167,46.154369478348734,0.04543356074298227,0.04706435885684585,4.76253215665202,7.568178295370198e-17,0.43584041146386376,0.6401956785111913,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.05205
4,5.518906624083483,19.805979120463157,3.105885325299929,2.022993333333333,0.01,0.11147556530451051,-0.004396201707664873,-0.07672017111180696,0.09947256084476253,0.11156221694379627,0.12562155474455777,0.04044629520648086,0.11685429986330528,87.7416275458109,-142.35808681053425,170.55235584767593,-87.7416275458109,-142.35808681053425,43.763270458777974,45.839231858984185,0.044626116419753926,0.04674300791706056,4.768083241205861,2.553496929421525e-17,0.44644900151240574,0.6474827458902335,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0647333333333333
5,5.486326211925033,19.60521149862499,3.0693228884130344,2.0470916666666668,0.01,0.11187709273612903,-0.001563417854026725,-0.0835213890393281,0.09974337321617348,0.11188801613432381,0.13009443849603897,0.042385387013910134,0.11897536594519749,89.19937663620294,-140.05844706479337,174.50117165573585,-89.19937663620294,-140.05844706479337,43.00576100330447,45.72988537912086,0.043853671746523507,0.04663150553871185,4.773930733313962,1.5716112286182463e-16,0.4567993921017486,0.6545664912027124,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0774166666666667
6,5.45431607723286,19.408927876742364,3.033611260762936,2.07119,0.01,0.11223305749045401,0.0013328494689807703,-0.09045070608181198,0.09995289509972258,0.1122409714915303,0.13480323241493317,0.04443655459698911,0.12162430006487467,90.68039721307241,-137.85700488198015,178.38826137841357,-90.68039721307241,-137.85700488198015,42.28190143102765,45.81666212100466,0.04311554040475356,0.046719993189320165,4.780067405051301,2.613352401488723e-17,0.4668978173131829,0.6614536090511174,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0901
7,5.422859775210269,19.21697677248563,2.998721086364209,2.0952883333333334,0.01,0.11254188087066623,0.004292242447173211,-0.0975080677841015,0.10009829823294872,0.1126237021906692,0.13974080503604264,0.046600134194364505,0.12480131533508616,92.18414902863606,-135.75099186648043,-177.81402389666815,-92.18414902863606,-135.75099186648043,41.59105433452954,46.08815183800948,0.04241107241976571,0.04699683565540678,4.786486307952809,1.0569578678362387e-16,0.47675048348436255,0.668150574290396,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1027833333333334
8,5.391941517387847,19.029213501590554,2.9646243443918934,2.1193866666666663,0.01,0.11280197456600626,0.007314377603806775,-0.10469338315416062,0.10017673063388834,0.11303886758863516,0.14490024788370276,0.048876427854276705,0.1285010002451682,93.71001563709046,-133.73703778780845,-174.1290363362574,-93.71001563709046,-133.73703778780845,40.93261359335592,46.53162139359602,0.04173964972070576,0.047449048751200484,4.793180752566269,1.5108441160385142e-16,0.4863635501052798,0.674663645893364,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1154666666666666
9,5.361546138324173,18.84549979931368,2.931294274128154,2.143485,0.01,0.11301174073747433,0.010398844704289529,-0.11200652283604111,0.1001853159436398,0.11348916034449301,0.150274943648459,0.051265730969011915,0.13271321284377147,95.25730204353897,-131.81134828862682,-170.57523386577057,-95.25730204353897,-131.81134828862682,40.306000180169434,47.13347745771282,0.04110068186401007,0.048062771137659464,4.800144289343145,1.8102833529697094e-16,0.4957431136448284,0.6809988713351671,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.12815
10,5.331659064348433,18.66570346695937,2.8987053049154214,2.1675833333333334,0.01,0.11316957215196098,0.01354520566848615,-0.11944731726482112,0.10012115287136855,0.11397729886981658,0.1558586117417154,0.053768353574066764,0.13742410489340884,96.82523305821866,-129.96985465363656,-167.16603021080482,-96.82523305821866,-129.96985465363656,39.71065812808054,47.87972431433723,0.04049360192122747,0.048823731156243194,4.807370690761709,1.2490956388673227e-16,0.5048951939480966,0.6871620913853129,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1408333333333334
11,5.302266284198574,18.48969804155967,2.866832990730673,2.1916816666666668,0.01,0.11327385236479032,0.016752993489545936,-0.12701555480229085,0.09998131473973333,0.11450601914493876,0.16164533540693146,0.05638463626223749,0.1426171647738038,98.4129524403682,-128.20833673087077,-163.9100224992868,-98.4129524403682,-128.20833673087077,39.14605066365416,48.75637804398167,0.03991786253578354,0.0497176691775292,4.814853934586321,2.7522219448635826e-17,0.5138257228866215,0.6931589452122411,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1535166666666667
12,5.273354321420639,18.317362486954266,2.8356539490290493,2.2157799999999996,0.01,0.11332295595076594,0.0200217111584424,-0.13471097985248934,0.09976284912917675,0.11507806595147198,0.167629574237927,0.059114961575380064,0.14827419092794789,100.01952290879092,-126.52252128975327,-160.81149060027036,-100.01952290879092,-126.52252128975327,38.611656513384766,49.74981185662449,0.03937293215663328,0.050730689742801566,4.822588188175069,1.111204937578698e-16,0.5225405349810418,0.6989948757195875,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1662
13,5.244910208405784,18.14858090466805,2.8051458035352757,2.239878333333333,0.01,0.11331524878391215,0.023350830593656554,-0.14253329095651024,0.09946277761994204,0.11569618358603516,0.17380616549123695,0.061959761689460886,0.1543761378442165,101.64392708559603,-124.90815872033794,-157.8710548882672,-101.64392708559603,-124.90815872033794,38.10696639428324,50.84702117710014,0.038858291459655685,0.051849531875921076,4.8305677937559075,1.284545759281677e-16,0.5310453597484858,0.7046751350455697,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1788833333333333
14,5.216921461951359,17.98324226311955,2.7752871306887377,2.2639766666666667,0.01,0.1132490883661905,0.02673979157565842,-0.15048213886628234,0.09907809563105426,0.11636310613456001,0.18017031706595682,0.06491952312741216,0.16090380607578086,103.28506942573358,-123.36108118652885,-155.0863925025566,-103.28506942573358,-123.36108118652885,37.63147970154099,52.035808542610546,0.03837342997001116,0.05306175762631536,4.838787254598253,6.322481426091991e-17,0.5393458155561256,0.7102047901674983,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1915666666666667
