frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,24.40765469798883,3.2612816916742378,1.9265999999999999,0.01,0.06384506005349795,0.040970178153529824,0.08922175107489545,0.19073037262188264,0.0758600500340379,0.210567319176915,0.0645658177012046,0.32004457025188393,122.68879987591833,154.93027950702879,147.6656275136129,-122.68879987591833,154.93027950702879,45.192381298933505,190.66130651095986,0.04608340391360302,0.19442042543678,6.206384371062371,1.6372388572979669e-16,0.7007407807263686,0.8152249678266597,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.014
1,5.620244580566254,24.140953241113948,3.2209928105300336,1.9506983333333334,0.01,0.06607713140778326,0.044102656229840394,0.08626325124552967,0.19609605643950223,0.0794432601396049,0.21423121123350308,0.06651092499590214,0.3274952220858849,123.7208132258611,156.25516002348388,148.75899172425545,-123.7208132258611,156.25516002348388,46.29838988456578,190.8595071604543,0.047211218800065034,0.19462253385249226,6.224030358385028,2.2725008856328247e-16,0.7073743160690914,0.8194492523327094,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.0266833333333334
2,5.585847557002136,23.88054904506215,3.181687215314785,1.9747966666666668,0.01,0.06832777108237793,0.04731348175252957,0.08326611927385805,0.2015400535812253,0.08310986618105452,0.21806338485965845,0.06853702771599565,0.33519492929592465,124.70061778640581,157.55207044064537,149.8223111167365,-124.70061778640581,157.55207044064537,47.3959462377151,191.15517300262343,0.048330414808028334,0.1949240291053759,6.242034232400823,1.3848332482286037e-16,0.7137989831337298,0.8235342122623872,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.0393666666666668
3,5.552074450332887,23.626218172880904,3.1433293430518296,1.9988949999999999,0.01,0.07059637597978091,0.05060263999060762,0.08023063139387854,0.20706319298445497,0.0868589401011642,0.22206332453329175,0.07064589812205059,0.3431427073140175,125.63250254053952,158.8201796268205,150.85577367169282,-125.63250254053952,158.8201796268205,48.48450272874546,191.54163647102337,0.04944043351067435,0.195318112169827,6.2604024046323,3.077374817299957e-16,0.7200229861469847,0.8274857153807293,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.05205
4,5.518906624083483,23.377747244558073,3.105885325299929,2.022993333333333,0.01,0.07288243735140498,0.05397016492751733,0.07715698303790441,0.2126663449717236,0.09068973688673318,0.22623035674980405,0.07283924970023078,0.3513375976116642,126.52031346649159,160.05883963761153,151.85967127106915,-126.52031346649159,160.05883963761153,49.56367032002194,192.0126957783737,0.050540878200019325,0.1957984589828063,6.279141437377152,1.6732236005795287e-16,0.7260541615917926,0.8313093358205484,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.0647333333333333
5,5.486326211925033,23.13493282029998,3.0693228884130344,2.0470916666666668,0.01,0.07518553528288789,0.05741613875256096,0.07404529448206311,0.2183504213035692,0.09460167918714611,0.2305636834334098,0.07511874501826057,0.35977869070766577,127.36750214988604,161.26757472773738,152.8343852992963,-127.36750214988604,161.26757472773738,50.633194773476504,192.56259168413135,0.051631489625383296,0.19635919675335753,6.298258047739694,2.9788383654505766e-16,0.7318999952432479,0.8350103706168704,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.0774166666666667
6,5.45431607723286,22.897580826619745,3.033611260762936,2.07119,0.01,0.07750533362880983,0.060940691399528055,0.07089561599172357,0.22411637531517004,0.09859434369762614,0.23506241309757733,0.07748600360827394,0.36846514633491734,128.17716952347348,162.4460692701128,153.78037322032037,-128.17716952347348,162.4460692701128,51.692936285509,193.18598429273007,0.05271212522676858,0.19699488030339626,6.317759111823671,1.9765867296984547e-16,0.7375676385551156,0.8385938552499769,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.0901
7,5.422859775210269,22.66550602180447,2.998721086364209,2.0952883333333334,0.01,0.07984157536664574,0.0645440001348476,0.06770793251255496,0.22996520213539248,0.10266744912792457,0.23972558961924909,0.07994260977098865,0.3773962109750485,128.95210496229197,163.5941549599504,154.6981561949459,-128.95210496229197,163.5941549599504,52.74285206108145,193.87793008344752,0.053782741365381095,0.19770046864469268,6.337651669092571,1.6289693864742494e-16,0.7430639243898097,0.8420645782551571,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.1027833333333334
8,5.391941517387847,22.438531497641236,2.9646243443918934,2.1193866666666663,0.01,0.08219407834177006,0.06822628919710418,0.06448216794839426,0.2358979389870503,0.10682084558764703,0.24455221855804748,0.08249012021393566,0.3865712329833742,129.6948210623242,164.7117976430451,155.58830776737136,-129.6948210623242,164.7117976430451,53.78298140519551,194.63385934601348,0.054843378121168296,0.19847130196959564,6.35794292690376,4.808360494860355e-16,0.7483953820919899,0.8454270949546914,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.1154666666666666
9,5.361546138324173,22.216488214561057,2.931294274128154,2.143485,0.01,0.08456273137727754,0.07198782948937277,0.06121818906305208,0.24191566556735083,0.1110545052331359,0.24954129101023326,0.08513007145434198,0.39598967553214104,130.40758447651046,165.79908406378127,156.45144362084898,-130.40758447651046,165.79908406378127,54.81343296916727,195.44955416889215,0.05589414628763877,0.19930307920532714,6.3786402652232885,1.3033303387520244e-16,0.7535682519117097,0.8486857403649178,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.12815
10,5.331659064348433,21.999214567612107,2.8987053049154214,2.1675833333333334,0.01,0.0869474907242493,0.07582893832551105,0.05791580903956384,0.24801950450767785,0.11536851403575231,0.25469180503687444,0.08786398693409293,0.4056511275990417,131.09244319331106,166.8562087826466,157.28821237960165,-131.09244319331106,166.8562087826466,55.83437384110688,196.32112710069674,0.05693521624724742,0.200191836254681,6.3997512415283815,1.6650156553768065e-16,0.7585884987875797,0.8518446413285571,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.1408333333333334
11,5.302266284198574,21.786555980899944,2.866832990730673,2.1916816666666668,0.01,0.08934837682989226,0.07974997923130096,0.05457479072714891,0.2542106219120599,0.11976306454633401,0.2600027847462953,0.0906933838095773,0.415555313221967,131.75125063332916,167.8834614675235,158.09928741683967,-131.75125063332916,167.8834614675235,56.84602021514586,197.24500058019186,0.0579668084566553,0.2011339250204625,6.421283595905138,1.8783705732138875e-16,0.7634618255039184,0.8549077279197906,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.1535166666666667
12,5.273354321420639,21.578364528337673,2.8356539490290493,2.2157799999999996,0.01,0.091765471402685,0.08375136180113443,0.05119484960323668,0.260490227973861,0.12423844954482295,0.2654732971426168,0.0936197793928688,0.4257020992312259,132.385686917763,168.88121471956845,158.88535961623046,-132.385686917763,168.88121471956845,57.8486294128256,198.21788720732854,0.05898918531081012,0.20212599328754322,6.443245256349263,2.961029836908239e-16,0.7681936852385175,0.8578787441669656,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.82,1.1662
