frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,16.74364272255437,3.2612816916742378,1.9265999999999999,0.01,0.04472808888233955,-0.04710418361234611,0.06402867916967854,0.26321516049862254,0.06495695535392713,0.27089092356985545,0.08306271864261706,0.2957667355047282,43.51784315840453,166.328000307401,155.69100209461146,-43.51784315840453,166.328000307401,18.21065460724853,82.91807759835845,0.01856969975195253,0.08455290807600807,6.049018595677575,1.2784771469058823e-16,0.48071431077428584,0.6708386514160075,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.014
1,5.620244580566254,16.571620136368367,3.2209928105300336,1.9506983333333334,0.01,0.04640461174626108,-0.04663411968284568,0.05899626366596961,0.2703883111324035,0.06578851807052052,0.2767497026621312,0.08592062104497228,0.3023562789162562,44.858663061539346,167.69148854837852,157.15696013794854,-44.858663061539346,167.69148854837852,18.06675033019167,83.03265618614924,0.018422958227520787,0.08466974571963846,6.060898893436462,1.2332641702529548e-16,0.4911012595114308,0.6778660321567264,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.0266833333333334
2,5.585847557002136,16.403584089072403,3.181687215314785,1.9747966666666668,0.01,0.04811904750734111,-0.04604122729536485,0.05383819913029472,0.2776774879360399,0.06659757761268198,0.28284861497285585,0.08889893815186727,0.3093381628669329,46.26413193829515,169.02720934746924,158.59679969696288,-46.26413193829515,169.02720934746924,17.919914416324662,83.23596147171185,0.018273227265503168,0.08487705941551074,6.07303515196113,1.7583102139277064e-16,0.5012130374920667,0.6846846018925166,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.0393666666666668
3,5.552074450332887,16.23939421670911,3.1433293430518296,1.9988949999999999,0.01,0.04987077919402372,-0.04532569474446529,0.04855793874717126,0.2850854860298918,0.06739075026654265,0.28919129959297474,0.09200159068034582,0.31671871915786626,47.7334684088471,170.33371042716067,160.00735430211444,-47.7334684088471,170.33371042716067,17.772148792521396,83.52440327474588,0.01812254826319018,0.08517118819856513,6.0854338636078715,1.791544564921102e-16,0.5110574365906801,0.6913018355675419,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.05205
4,5.518906624083483,16.07891673010324,3.105885325299929,2.022993333333333,0.01,0.05165929021046128,-0.04448770177541465,0.04315863992225449,0.2926151932600595,0.06817505316687983,0.2957808640303845,0.09523238402300689,0.3245032185951797,49.265783442978375,171.60977563168348,161.38587609142996,-49.265783442978375,171.60977563168348,17.62540306740332,83.8943243712544,0.017972909268102074,0.08554840273819744,6.0981017071103105,1.2957179965604977e-16,0.520642115093778,0.69772492524215,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.0647333333333333
5,5.486326211925033,15.92202403252935,3.0693228884130344,2.0470916666666668,0.01,0.053484162257385004,-0.04352741332754699,0.03764318221978624,0.3002695940110548,0.0689578952938777,0.3026199568025805,0.09859502170494922,0.332695992157829,50.86001344658757,172.85441504082667,162.73003357546008,-50.86001344658757,172.85441504082667,17.48157460137024,84.34204352812293,0.017826245049400398,0.0860049492213171,6.111045553875448,2.6657767284178e-16,0.5299745848427916,0.7039607885749407,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.0774166666666667
6,5.45431607723286,15.768594363826843,3.033611260762936,2.07119,0.01,0.05534507338187208,-0.04244497394063112,0.03201418426242901,0.3080517731184928,0.06974706417094313,0.309710837581503,0.10209311970433958,0.3413005547050942,52.51485572165009,174.06685284805314,164.03790123907385,-52.51485572165009,174.06685284805314,17.342507643019587,84.8638942570116,0.01768443621728071,0.08653708887031923,6.124272474522665,2.0759253185267583e-17,0.5390622010539686,0.71001607751362,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.0901
7,5.422859775210269,15.618511468848578,2.998721086364209,2.0952883333333334,0.01,0.05724179617725316,-0.04124050275091625,0.026274019654119792,0.3159649198980039,0.0705507072731842,0.3170554442285089,0.10573022135010292,0.3503197283455459,54.22870716944868,175.24651352977276,165.30794229662,-54.22870716944868,175.24651352977276,17.20999141119086,85.45625903723773,0.017549307267202215,0.08714113284071291,6.137789745675899,1.4789226602815997e-16,0.5479121544441086,0.7158971870993636,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.1027833333333334
8,5.391941517387847,15.471664288320284,2.9646243443918934,2.1193866666666663,0.01,0.05917419615038275,-0.03991408901110275,0.02042483198643545,0.32401233230598486,0.07137730725959202,0.324655456211717,0.10950981254197001,0.3597557629912336,55.99960754472016,176.3930068086146,166.5389860051372,-55.99960754472016,176.3930068086146,17.08575704808477,86.1155989082309,0.01742262347293395,0.08781347239702743,6.1516048570197155,1.2152177744331495e-16,0.5565314653384918,0.721610264305957,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.1154666666666666
9,5.361546138324173,15.327946670359896,2.931294274128154,2.143485,0.01,0.061142230270235305,-0.03846578807531046,0.014468548988274684,0.332197421247395,0.07223565030283298,0.3325123540460494,0.11343533707305711,0.3696104520730213,57.82518895949303,177.5061118736205,167.73020093760425,-57.82518895949303,177.5061118736205,16.97147342137831,86.8384784704415,0.017306086605903454,0.08855060440664397,6.165725518630497,1.3233936197040007e-16,0.564926979478888,0.7271612168490507,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.12815
10,5.331659064348433,15.187257101060865,2.8987053049154214,2.1675833333333334,0.01,0.06314594570917442,-0.03689561779627386,0.008406895877610192,0.3405237150454897,0.07313478701736079,0.3406274745329256,0.11751021187124934,0.3798852418590248,59.70263364714043,178.58576126952516,168.8810655429565,-59.70263364714043,178.58576126952516,16.868741812548627,87.62158645237183,0.01720132951879452,0.08934915231233076,6.180159668594352,3.868330149560819e-18,0.5731053652858012,0.7325557219128012,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.1408333333333334
11,5.302266284198574,15.049498452682862,2.866832990730673,2.1916816666666668,0.01,0.0651854787861735,-0.03520355528753363,0.0022414079727365696,0.3489948640882172,0.07408398578279325,0.3490020616982849,0.12173784201127612,0.39058133326855743,61.628642190403156,179.6320248103167,169.9913371918101,-61.628642190403156,179.6320248103167,16.779089594011136,88.46175209681532,0.0171099096980224,0.09020588284155683,6.194915480923986,1.9530560645999913e-17,0.581073112360833,0.7377992347513043,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.1535166666666667
12,5.273354321420639,14.914577748119406,2.8356539490290493,2.2157799999999996,0.01,0.06726105411965447,-0.03338953400839199,-0.0040265573810300695,0.35761464566591794,0.07509267862171819,0.35763731343234134,0.12612163538318885,0.4016997754870519,63.599414450565746,-179.35490618698228,171.06102074601057,-63.599414450565746,-179.35490618698228,16.70396306701423,89.35595769016786,0.01703330196041893,0.09111771878283396,6.210001373787148,4.733716762737652e-17,0.5888365310427499,0.7428969971307765,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.1662
13,5.244910208405784,14.782405940425722,2.8051458035352757,2.239878333333333,0.01,0.06937298399639244,-0.031453441133897975,-0.010395809514818104,0.3663869690150041,0.07617040020721505,0.3665344239215056,0.13066501693408192,0.4132415510490491,65.61064527150737,-178.37473411073702,172.09033751350904,-65.61064527150737,-178.37473411073702,16.644719701859128,90.30134760564647,0.016972890540458904,0.09208174820723333,6.225426018059948,6.424334303693354e-17,0.5964017528550732,0.7478540455856993,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.1788833333333333
14,5.216921461951359,14.652897706293068,2.7752871306887377,2.2639766666666667,0.01,0.0715216679620467,-0.029395115176190808,-0.016865313717029942,0.37531588058242327,0.07732672102381415,0.3756946220324875,0.13537144242774335,0.42520765235920566,67.65753664672013,-177.42706952285803,173.0796952717352,-67.65753664672013,-177.42706952285803,16.602620086918662,91.29523425668545,0.016929960880543986,0.09309523053916012,6.241198346218824,1.3492064443842275e-16,0.6037747317041732,0.7526752194682408,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.1915666666666667
15,5.189376060241433,14.525971252449114,2.7460574094728476,2.288075,0.01,0.07370759263826927,-0.02721434382719252,-0.023434181040291015,0.3844055695259184,0.078571176155596,0.3851192058617368,0.1402444116911842,0.4375991498636375,69.73482742415865,-176.51144475443607,174.02965987314394,-69.73482742415865,-176.51144475443607,16.578819947123836,92.3351013638479,0.016905691492124054,0.09415559988767613,6.257327561585512,2.3010080412474377e-16,0.6109612457053594,0.7573651687754078,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.20425
16,5.162262421150358,14.401548134048436,2.717436974381788,2.3121733333333334,0.01,0.07593133177097934,-0.024910861995953933,-0.030101658584758984,0.39366037346540667,0.07991319158872331,0.39480957370164776,0.14528748133761824,0.45041725226825297,71.83684080409301,-175.62732654094071,174.94092879309653,-71.83684080409301,-175.62732654094071,16.574362629752283,93.41860493085464,0.016901146293333898,0.09526046604177231,6.273823147939968,1.9452368371253708e-16,0.6179668995306261,0.7619283617427012,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.2169333333333334
17,5.135569381780428,14.279553084194001,2.68940697129811,2.3362716666666663,0.01,0.07819354651422825,-0.02248435001695726,-0.03686712020941328,0.40308478450117147,0.08136201025145472,0.40476725170014827,0.15050427697254654,0.4636633593322698,73.95754891024532,-174.77412764708563,175.8143068468588,-73.95754891024532,-174.77412764708563,16.590172469693783,94.54357230636919,0.01691726784344683,0.09640761351365572,6.290694879516902,1.3907076846786323e-16,0.6247971271858436,0.7663690921966436,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.2296166666666666
18,5.109286179151524,14.15991385380024,2.6619493160731524,2.3603699999999996,0.01,0.08049498595410022,-0.01993443200839882,-0.04373005762419917,0.41268345551502383,0.08292662023287979,0.4149939185043998,0.15589850490338766,0.4773391078507818,76.09065266448152,-173.95121746313663,176.65068419095996,-76.09065266448152,-173.95121746313663,16.62704943359152,95.70799968132022,0.01695487188141875,0.09759499898672863,6.307952831402016,1.5200744815571676e-16,0.6314571951375424,0.7706914866615674,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.2423
19,5.08340243196688,14.042561061071728,2.6350466556190733,2.3844683333333334,0.01,0.08283648787726237,-0.01726067436195374,-0.050690071816991374,0.4224612067711167,0.08461568769010415,0.42549142718428534,0.16147396338389353,0.4914464114876137,78.22967417196588,-173.15793158003987,177.4510166343493,-78.22967417196588,-173.15793158003987,16.685665400472715,96.91004833970473,0.017014643533186883,0.09882074749247167,6.32560739034486,2.0386752177256922e-16,0.6379522057202187,0.774899511218528,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.2549833333333333
20,5.057908123384797,13.927428049929185,2.608682331336585,2.4085666666666663,0.01,0.08527282284450348,-0.014341067006324756,-0.058083468634259,0.4323783379282053,0.08647034473592649,0.4362622106464692,0.16723470136854335,0.5060444066567119,80.45341040702243,-172.34898505653797,178.25627928083486,-80.45341040702243,-172.34898505653797,16.77293397742124,98.15907925910953,0.017103632715984807,0.10009440457149948,6.34561116462334,2.1978192917792674e-16,0.6442871007645302,0.7789969781162789,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.2676666666666665
21,5.032793584731381,13.814450756767233,2.582840344716427,2.4326649999999996,0.01,0.08799900586235222,-0.01075136385200656,-0.06707143078105444,0.44232374404489194,0.08865335220644809,0.4473800077930493,0.17321241272548252,0.5214153732373467,83.03435435663869,-171.3776810292208,179.19648562278712,-83.03435435663869,-171.3776810292208,16.918521488786148,99.50641433339814,0.017252090661730717,0.1014683039910654,6.374608726091552,1.429077160866645e-16,0.6504666653949734,0.7829875521359191,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,1.2803499999999999
