frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,20.657180752563452,3.2612816916742378,1.9265999999999999,0.01,0.026589467728426474,0.0022261111012739474,0.08251193594511932,0.13300546891123444,0.026682491726153466,0.15652052368206806,0.04799356157477934,0.20532334920883422,94.78573000498926,148.18598404347233,142.19745802758325,-94.78573000498926,148.18598404347233,11.385929299247126,87.61539820079727,0.011610416706262717,0.0893428420518702,6.373437081252914,2.2427191835639597e-16,0.6025414721396578,0.7518694697881603,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.014
1,5.620244580566254,20.436811509004407,3.2209928105300336,1.9506983333333334,0.01,0.027478796322205276,0.00484546303783717,0.07790190808146327,0.13676500483194162,0.02790273748878931,0.15739559660109226,0.0488655535295007,0.20826821511421634,100.00042435942345,150.33398338813203,144.41452037700117,-100.00042435942345,150.33398338813203,11.653948432367342,86.9859826483849,0.01188372016169369,0.08870101680837483,6.394342937807647,4.707463377078898e-17,0.6109891659460216,0.7573833718940609,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0266833333333334
2,5.585847557002136,20.221608747450148,3.181687215314785,1.9747966666666668,0.01,0.028376446493585793,0.007574622927337563,0.07318863915886172,0.14059063568823338,0.029370012395208235,0.15850016954296178,0.04981638948669577,0.2116102151818238,104.9456872932036,152.49942713803034,146.62106825698277,-104.9456872932036,152.49942713803034,12.00979339860504,86.53026533222344,0.012246581043072857,0.0882363144725502,6.415711911046739,1.1125257786942525e-16,0.619188031365281,0.7627228823688765,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0393666666666668
3,5.552074450332887,20.011389428371302,3.1433293430518296,1.9988949999999999,0.01,0.029280960422768766,0.010413647336317203,0.06837245757055856,0.14448253898046773,0.031077623688514817,0.1598436643238643,0.05085170749835381,0.21535758027453802,109.57771035914413,154.67541162193731,148.8087137143263,-109.57771035914413,154.67541162193731,12.445211761524662,86.24117203519225,0.012690584207170303,0.08794152135050426,6.437553782544179,2.1196173813387385e-16,0.6271468142697088,0.767894906955513,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.05205
4,5.518906624083483,19.805979120463157,3.105885325299929,2.022993333333333,0.01,0.030190950275223154,0.01336267977558431,0.06345348727556155,0.14844090984945105,0.033015976273704326,0.1614343481554118,0.05197691841369656,0.21951658106477062,113.87444341224148,156.85492444092324,150.96963217828193,-113.87444341224148,156.85492444092324,12.951401816034512,86.11126392516556,0.013206754412602174,0.08780905194451272,6.459878614662247,1.0568989811614176e-16,0.6348739444869563,0.7729060369655527,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0647333333333333
5,5.486326211925033,19.60521149862499,3.0693228884130344,2.0470916666666668,0.01,0.031105092419120774,0.01642195081675588,0.0584316569926936,0.15246596196908316,0.03517395688616783,0.16327929476228673,0.053197171069450044,0.2240916283991373,117.83183853291092,159.03097203777077,153.0966899689618,-117.83183853291092,159.03097203777077,13.519613946600531,86.13282589803832,0.013786169534551076,0.08783103903783486,6.482696759751921,1.573613872730326e-16,0.6423775434979919,0.7777625643657532,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0774166666666667
6,5.45431607723286,19.408927876742364,3.033611260762936,2.07119,0.01,0.032022121893503265,0.019591778231128645,0.05330670843988265,0.15655792831586132,0.037540032829235875,0.1653843707345075,0.054517324903690614,0.22908541385141692,121.45913334052443,161.1967065701253,155.1835401031908,-121.45913334052443,161.1967065701253,14.141573675910923,86.29796017475405,0.014420391954348247,0.08799942913712028,6.506018869763028,2.2058265629959363e-16,0.6496654326631937,0.7824704962200847,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.0901
7,5.422859775210269,19.21697677248563,2.998721086364209,2.0952883333333334,0.01,0.03294082711497314,0.02287256716794305,0.048078203684409807,0.16071706182944065,0.04010302257773866,0.16775424773342654,0.05594193087721263,0.23449908164042138,124.77430238652073,163.345546327063,157.22468459053204,-124.77430238652073,163.345546327063,14.809733284969031,86.59868088328639,0.015101725140561795,0.08830607891918892,6.529855906283042,5.438569199527581e-17,0.6567451418291659,0.7870355684940792,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1027833333333334
8,5.391941517387847,19.029213501590554,2.9646243443918934,2.1193866666666663,0.01,0.033860044809533404,0.0262648103868267,0.04274553166376792,0.16494363597659503,0.042852571674983166,0.1703924397571608,0.057475221128602004,0.2403324223088005,127.80028248463998,165.47128446994225,159.2155038604888,-127.80028248463998,165.47128446994225,15.517386145772281,87.0270057209102,0.015823330235883084,0.08874284870053505,6.554219151024462,1.232078515873886e-16,0.6636239181928999,0.79146325923266,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.1154666666666666
9,5.361546138324173,18.84549979931368,2.931294274128154,2.143485,0.01,0.034778655155380936,0.02976908855729516,0.037307913931153645,0.16923794522927577,0.04577940025763757,0.1733013633740996,0.059121107322342825,0.24658407860630285,130.5621561281635,167.56818182897695,161.15225601122074,-130.5621561281635,167.56818182897695,16.258685053545072,87.57504140980132,0.016579244750801827,0.08930168957778785,6.579120216781912,2.0816604789076694e-16,0.6703087353204211,0.7957588011260103,faltinsen_ch9_reduced_order_planing_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=2.26,1.12815
