frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,16.74364272255437,3.2612816916742378,1.9265999999999999,0.01,-0.116453248718373,-0.14295096264211388,0.22442353156900216,-0.09743953056064308,0.1843809557882003,0.24466381759014022,0.07502075586256324,0.30209225246716875,-39.16755992006304,66.53062419833236,30.54510291655589,39.16755992006304,66.53062419833236,51.69112197020914,84.69143356905717,0.052710275140041854,0.08636122791071077,5.801299794685666,2.1454079927831204e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.014
1,5.620244580566254,16.571620136368367,3.2209928105300336,1.9506983333333334,0.01,-0.1189075191630426,-0.14075118531913494,0.21406544419677315,-0.0974973100148785,0.18425497084814513,0.2352227451997343,0.07302802553012436,0.2929138021696065,-40.19134174232377,65.51284087317822,28.243637611463726,40.19134174232377,65.51284087317822,50.59984102152682,80.43957649863454,0.05159747826375656,0.08202554032073597,5.805753337024791,5.001314990749815e-17,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.0266833333333334
2,5.585847557002136,16.403584089072403,3.181687215314785,1.9747966666666668,0.01,-0.12146666044822345,-0.13852549285209378,0.20370373706862527,-0.09766466422734933,0.18423751455759355,0.2259061732984836,0.07100200554319204,0.2842858774887984,-41.246040059922365,64.3848612616622,25.76841353708579,41.246040059922365,64.3848612616622,49.57418289820419,76.49495337498459,0.05055159804643195,0.07800314416746247,5.810296674387687,3.282995612402608e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.0393666666666668
3,5.552074450332887,16.23939421670911,3.1433293430518296,1.9988949999999999,0.01,-0.12413202982419784,-0.1362763874630267,0.19333729720652962,-0.09794542513636852,0.18433668817749907,0.21673167003525334,0.06894971744348957,0.27628103866585874,-42.32989948733686,63.133049492454404,23.112949340786486,42.32989948733686,63.133049492454404,48.61288882010847,72.86026210276086,0.04957135088955808,0.07429679054800656,5.814927220796025,0.0,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.05205
4,5.518906624083483,16.07891673010324,3.105885325299929,2.022993333333333,0.01,-0.1269049802144164,-0.13400644269086234,0.18296524465062625,-0.09834346170814419,0.1845605610250489,0.2077202859876828,0.06687957352952935,0.268977356323038,-43.440913804206986,61.7420571925079,20.27374140537208,43.440913804206986,61.7420571925079,47.714730349383785,69.53913639925487,0.04865548413513665,0.07091018482280378,5.819642175977593,0.0,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.0647333333333333
5,5.486326211925033,15.92202403252935,3.0693228884130344,2.0470916666666668,0.01,-0.12978685592412448,-0.13171830631767392,0.17258693209190715,-0.09886267692970088,0.1849171170818592,0.1988971543753278,0.064801639190905,0.262457230743832,-44.57682692489874,60.194698291836346,17.251312737644554,44.57682692489874,60.194698291836346,46.878495400132095,66.53575546881132,0.04780276179952593,0.06784758859428175,5.82443852003043,8.15005397612838e-17,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.0774166666666667
6,5.45431607723286,15.768594363826843,3.033611260762936,2.07119,0.01,-0.13277898817383774,-0.12941470315667192,0.16220194490862472,-0.09950700445712168,0.18541419873784654,0.1902921828877113,0.06272793925476591,0.25680557383444574,-45.73513879703876,58.47188229468253,14.051296169810087,45.73513879703876,58.47188229468253,46.102975042138965,63.85433824251649,0.04701195111698589,0.06511330397487063,5.829313008206291,3.915160895741458e-17,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.0901
7,5.422859775210269,15.618511468848578,2.998721086364209,2.0952883333333334,0.01,-0.13588269045060405,-0.12709843769096457,0.15181010156394578,-0.10028040490362682,0.18605944863827445,0.1819408325376436,0.060672809273581776,0.25210730107304236,-46.91311656067293,56.55265429082533,10.685418146451383,46.91311656067293,56.55265429082533,45.38695126948355,61.49852572512337,0.04628181006713154,0.0627110437561485,5.834262165838482,8.457251322796753e-17,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.1027833333333334
8,5.391941517387847,15.471664288320284,2.9646243443918934,2.1193866666666663,0.01,-0.1390992536709006,-0.12477239655094424,0.1414114543230623,-0.10118686175220598,0.18686025075672896,0.17388496313661966,0.058653287208395744,0.24844417005836808,-48.10781112793197,54.41441299852306,7.172203091754,48.10781112793197,54.41441299852306,44.72918591286065,59.47067622195694,0.04561107606864796,0.06064321274029046,5.839282283440497,1.282845264723786e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.1154666666666666
9,5.361546138324173,15.327946670359896,2.931294274128154,2.143485,0.01,-0.14242994114999755,-0.12243955081700728,0.13100629024834753,-0.10223037687782749,0.18782367193797025,0.1661736984038597,0.05668953126628143,0.24589112778360941,-49.316079141018264,52.03340700654962,3.5371964630615196,49.316079141018264,52.03340700654962,44.12841087243492,57.77112439961796,0.04499845601957337,0.058910152192255226,5.844369412003911,1.2374430555834084e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.12815
10,5.331659064348433,15.187257101060865,2.8987053049154214,2.1675833333333334,0.01,-0.1458759833736743,-0.12010295813320158,0.12059513243130023,-0.1034149656646928,0.18895640523036544,0.15886422218219065,0.05480523387900103,0.24451247068583115,-50.534610044068415,49.385640995824986,-0.1874707788046237,50.534610044068415,49.385640995824986,43.58331983522024,56.397480681369125,0.044442617851376605,0.0575094254219016,5.849519358525275,5.926906407574539e-17,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.1408333333333334
11,5.302266284198574,15.049498452682862,2.866832990730673,2.1916816666666668,0.01,-0.14943857256932036,-0.11776576461630031,0.11017874141988603,-0.10474465170458248,0.19026471634861225,0.15202235730833938,0.053027978190523496,0.24435824218738542,-51.75995777530619,46.44834901935917,-3.9642682943304806,51.75995777530619,46.44834901935917,43.092561617195855,55.34406384017074,0.04394218373980499,0.05643523918990761,5.854727681793801,1.5633998131208705e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.1535166666666667
12,5.273354321420639,14.914577748119406,2.8356539490290493,2.2157799999999996,0.01,-0.15311885707468537,-0.115431206543759,0.09975811679959604,-0.10622346106308078,0.19175439456764967,0.14572270086579403,0.05138945142290393,0.2454613450022605,-52.98857636536016,43.202191851289854,-7.7521559287716,52.98857636536016,43.202191851289854,42.65473523632317,54.60155792220669,0.04349572508075966,0.055678093867127604,5.859989688473006,1.3988498247169242e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.1662
13,5.244910208405784,14.782405940425722,2.8051458035352757,2.239878333333333,0.01,-0.15691793550387262,-0.11310261180301051,0.08933449888602919,-0.10785541610136219,0.19343070924612776,0.140048004175768,0.049925392113047376,0.24783579313142082,-54.21685853198126,39.634277636860645,-11.50897059803438,54.21685853198126,39.634277636860645,42.26838677983786,54.156959889121055,0.04310175929582259,0.05522473004453208,5.865300429511309,5.3602036583411755e-17,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.1788833333333333
14,5.216921461951359,14.652897706293068,2.7752871306887377,2.2639766666666667,0.01,-0.160836850711609,-0.11078340108360794,0.07890937048614667,-0.10964452884231704,0.19529837301544511,0.13508742152981398,0.0486751154632024,0.251476366310832,-55.441176206057605,35.74194675657799,-15.193978684926407,55.441176206057605,35.74194675657799,41.932008079977784,53.993839586340634,0.042758748481874845,0.05505839362712103,5.870654696918087,1.254091416321329e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.1915666666666667
15,5.189376060241433,14.525971252449114,2.7460574094728476,2.288075,0.01,-0.16487658355836346,-0.10847708879284758,0.06848445868456077,-0.11159479387105481,0.1973615124558214,0.13093326200947,0.04768045327741523,0.25635969494943867,-56.657921821590094,31.536968263680308,-18.770218142393247,56.657921821590094,31.536968263680308,41.64403715959979,54.09288026756401,0.04246509986549923,0.05515938701550888,5.876047020943251,2.2443782008055826e-17,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.20425
16,5.162262421150358,14.401548134048436,2.717436974381788,2.3121733333333334,0.01,-0.16903804648054194,-0.10618728367470873,0.058061736610314524,-0.1137101807613177,0.19962364682614864,0.12767603716820586,0.04698399203803132,0.2624465641479046,-57.863549161836175,27.049383399920714,-22.206310216340114,57.863549161836175,27.049383399920714,41.40286035625029,54.432621681621534,0.04221916796892954,0.055505826843643385,5.8814716676998176,1.294426543248487e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.2169333333333334
17,5.135569381780428,14.279553084194001,2.68940697129811,2.3362716666666663,0.01,-0.17332207687175258,-0.10391768911123336,0.04764342513863124,-0.11599462602102044,0.2020876751347213,0.12539796339931822,0.04662662242553485,0.2696850503020197,-59.05461257864212,22.32982930805565,-25.477553408266516,59.05461257864212,22.32982930805565,41.20681598356317,54.99030177820067,0.04201925834363741,0.05607450227978022,5.886922637270362,1.3796925469966533e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.2296166666666666
18,5.109286179151524,14.15991385380024,2.6619493160731524,2.3603699999999996,0.01,-0.1777294302830182,-0.10167210308486709,0.037231994481073574,-0.11845202455206084,0.2047558715505518,0.12416562943713819,0.04664462568367174,0.27801403359190646,-60.22780348992963,17.44904408566657,-28.566271480985534,60.22780348992963,17.44904408566657,41.05419934549903,55.74269235600649,0.04186363268343321,0.056841727150460646,5.892393662339447,1.3347736625987263e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.2423
19,5.08340243196688,14.042561061071728,2.6350466556190733,2.3844683333333334,0.01,-0.1822607734518081,-0.09945441777979543,0.026830165616497256,-0.12108622062170225,0.20762988887722647,0.12402310515164593,0.047066758718360586,0.2873666636459816,-61.379983203888855,12.493684186446927,-31.461521191346037,61.379983203888855,12.493684186446927,40.94326888449907,56.666844266607576,0.04175051509383844,0.05778409983695511,5.897878207395169,1.3778142526220113e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.2549833333333333
20,5.057908123384797,13.927428049929185,2.608682331336585,2.4085666666666663,0.01,-0.1869114199670237,-0.09727762394749753,0.016452569293625593,-0.12387490162564888,0.21071026324068756,0.12496270759360865,0.047902615850348766,0.29764410780925177,-62.50537925974088,7.565518290922739,-34.15769170101791,62.50537925974088,7.565518290922739,40.87215500868367,57.73499555598294,0.04167799912170178,0.05887331102464445,5.903351073328956,1.4394389898154275e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.2676666666666665
21,5.032793584731381,13.814450756767233,2.582840344716427,2.4326649999999996,0.01,-0.1916631363448023,-0.09517585516928598,0.006141072150924195,-0.12673246031621932,0.21399346074291892,0.12688116197830537,0.04912466317860456,0.30867544200292135,-63.5919784008358,2.774210379934175,-36.65445720045298,63.5919784008358,2.774210379934175,40.83830869257824,58.90732802100571,0.04164348548441949,0.06006875744622854,5.908748709999982,5.051980179971416e-17,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.2803499999999999
22,5.008049480094152,13.703567584976291,2.5575053249653354,2.456763333333333,0.01,-0.19653786691597563,-0.09311475920653488,-0.004150964533464745,-0.12977233879524758,0.21747986461733124,0.1298387092624792,0.05076771805518686,0.3205167222663603,-64.6495681804503,-1.832067517725278,-38.959474426793065,64.6495681804503,-1.832067517725278,40.84005761243297,60.18911877722026,0.04164526888635056,0.061375820261985764,5.914145966900247,1.378314390953348e-16,1.0,1.0,zarnick1978_linearized_momentum_strip_plus_matched_bie_delta_from_high_frequency,heave_pitch_2x2_v1,FnB=1.67,1.2930333333333333
