,,rms_difference,rms_difference,relative_rms,relative_rms,reflection_residual,reflection_residual
,,median,max,median,max,median,max
case,field,,,,,,
free_surface_fn167,elevation_local,0.0012829005750268265,0.0015412745706869832,0.007995678350291295,0.20369313434283787,1.1778964011900898e-14,2.7638658804976574e-14
free_surface_fn167,normal_derivative_local,0.030034497698311118,0.07930997606901019,0.018027385476344814,0.04882794764129793,6.830768488478279e-13,1.7024740664165987e-12
free_surface_fn167,phi_local,0.00040413276233481797,0.0005163588601279618,0.003521735109900969,0.11337603790554568,1.0086698486528353e-14,2.5757177909931543e-14
free_surface_fn226,elevation_local,0.0009620093963414312,0.0012591069232028697,0.00856483709530443,0.20625072525121688,8.60351213810972e-15,2.611405958606531e-14
free_surface_fn226,normal_derivative_local,0.007293709397481373,0.0203373216680558,0.004488633562363835,0.013226781687196069,4.580461059909642e-13,1.397575343340765e-12
free_surface_fn226,phi_local,0.0002466221815494266,0.0003533190353625971,0.005211732789500735,0.1121532258366302,5.132305394595624e-15,1.8696712815732392e-14
free_surface_fn282,elevation_local,0.0006583845192686747,0.0009259531695848096,0.009948559841430173,0.2970395165637332,7.81367519039734e-15,2.7344821585972762e-14
free_surface_fn282,normal_derivative_local,0.006389406178253362,0.016081372784368025,0.004088916124008232,0.011085148336541879,4.454628737026693e-13,1.07681747693654e-12
free_surface_fn282,phi_local,0.00012415166153371498,0.000212520164721322,0.006379796750137152,0.19568541418238727,9.047210765559601e-16,1.6084158498156708e-14
