frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,reference_heave_rao_m_per_m,reference_pitch_rao_rad_per_wave_slope,configuration,heave_digitization_uncertainty_abs,pitch_digitization_uncertainty_abs,case_code,linear_gate_eligible
0,5.653325360619511,16.733999999999998,3.2590219527589674,1.9279358648874625,0.02,-0.0597904092818149,0.044589912868659,-0.0662461966364617,-0.1753296196737417,0.0745865495362371,0.1874274102252274,0.0575103245519896,0.2170763847269755,-126.7144832229048,-20.698471302140348,-39.98297202987558,126.7144832229048,-20.698471302140348,20.886229507865785,60.78719581930288,0.0425960537142975,0.1239713782368145,4.693743790235748,1.4897030345204667e-16,0.2695978042152577,0.5219269295465796,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.09615384615,0.1192307692,fn167,0.01538461538,0.01538461538,C1,False
1,5.026988740904382,13.7884,2.576885664439888,2.438286414444119,0.02,-0.1365859623677761,0.1286073017939693,-0.2384067781189481,-0.271568801209596,0.187604805883689,0.3613687945070443,0.1402347024913856,0.4674378546221648,-133.27670691059723,-41.27948332996684,-64.9266489573838,133.27670691059723,-41.27948332996684,35.66742092194069,88.86927302914695,0.0727412947784221,0.1812428770867665,4.533144162035776,3.152654617662686e-16,0.4894940428178088,0.6767802090148093,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.25,0.2769230769,fn167,0.01538461538,0.01538461538,C2,True
2,4.398177939300755,11.1048,1.97253590020566,3.185333816497073,0.02,-0.2427086275007032,0.3797290279382237,-0.7365675901604151,-0.3220806923990486,0.4506679626090403,0.8039078226332741,0.4075504139364242,1.1288259333166752,-147.4148038130945,-66.38156772318794,-89.60744026873407,147.4148038130945,-66.38156772318794,55.57483323454533,139.20295694355127,0.1133411169656209,0.2838950241796154,5.12802205108418,2.1173605074602052e-16,0.6769998714695242,0.8000512716987782,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.6,0.625,fn167,0.01538461538,0.01538461538,C3,True
3,4.082254547334213,9.86,1.6993368978428782,3.697433578447805,0.032,-0.2102259365319986,0.7308518956487124,-1.37881538609939,-0.1319285203965292,0.760486316618565,1.3851126320405958,0.8150900706027417,1.954555249450433,-163.95238025971892,-84.53443467937095,-107.02100595729058,163.95238025971892,-84.53443467937095,73.93417550713023,190.02107952947128,0.2412540078648843,0.6200562419320647,6.12296581625409,4.251491206815389e-16,0.7534797623934294,0.8486300281869192,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.8076923077,0.8115384615,fn167,0.01538461538,0.01538461538,C4,True
4,3.7697060489612224,8.6966,1.4490864561878756,4.335963034054446,0.032,0.4132695444311028,1.3403063680465908,-2.37405924321849,1.1624070044378882,1.4025736617306537,2.643359100515368,1.8241555493309043,3.6697790483670527,162.86339702827877,-116.08768604147792,-138.26914260605918,-162.86339702827877,-116.08768604147792,106.07784041231672,277.5485144650466,0.3461417398595989,0.9056663042814308,7.848017254248487,3.004160951498356e-16,0.8167652470796708,0.8882008069702735,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.9576923077,0.9884615385,fn167,0.01538461538,0.01538461538,C5,True
5,3.456234193356796,7.5978,1.2181075901891778,5.158152988935713,0.035,1.7722772914415228,0.3639256753036213,-0.4366701780721076,3.4456036247608246,1.809256392804651,3.4731635699146763,2.851278161213393,4.678234621868596,101.60401396057296,-172.7772632505629,164.5411844442146,-101.60401396057296,-172.7772632505629,104.4421564714222,270.05841423603044,0.372754760953004,0.9638403020665636,6.797677141973402,3.4714024048759336e-16,0.8682858361332099,0.920031763281077,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,1.057692308,1.092307692,fn167,0.01538461538,0.01538461538,C6,True
6,3.140642654793528,6.560399999999999,1.0058109838842562,6.24688476050946,0.035,1.1459745325171806,-0.6780336957446725,1.2139344978242486,2.204693484808868,1.3315357005139403,2.516805579890207,2.5022649585419807,3.269634786668453,59.388657366024944,151.16221594112824,127.1426958325792,-59.388657366024944,151.16221594112824,57.30776283403869,140.72131512207747,0.2045317921197712,0.5022353228954548,3.338499395434835,1.7065690856845038e-16,0.909010075698777,0.944964928769037,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.9653846154,1.057692308,fn167,0.01538461538,0.01538461538,C7,True
7,2.828070765899892,5.601,0.8155674217941496,7.704066076299785,0.045,0.6703041121197488,-0.813110958905569,1.2901102902514665,1.39844518787291,1.053782251803938,1.9026385638101688,2.332901625256921,2.386249872261919,39.50113960758961,137.30747562201117,111.36213205128172,-39.50113960758961,137.30747562201117,33.058414831573955,74.85952437895298,0.1516959071059768,0.3435096181726568,1.9919207776897443,1.0996486320317208e-16,0.9395966526422848,0.9635659368031276,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,1.030769231,1.146153846,fn167,0.01538461538,0.01538461538,C8,True
0,5.653511546225572,20.646,3.259236620385745,1.927808882570773,0.02,-0.0278660386292856,0.0309660131291748,-0.0795137261348203,-0.0878438987868171,0.0416582534200015,0.1184862152231717,0.0363539776406747,0.1443574162779007,-138.0162359444048,-42.15047246373408,-58.83286678168472,138.0162359444048,-42.15047246373408,17.757135292057665,61.53340480731266,0.0362144775067075,0.1254932210435014,5.388215817781621,3.1798330926294235e-16,0.4029827806719668,0.6174479899180991,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.1298076923,0.1254807692,fn226,0.01730769231,0.01730769231,C1,False
1,5.026802804762901,16.879600000000003,2.5766950424428487,2.438466797073037,0.02,-0.0517973527512632,0.0959618489584906,-0.2031183540260056,-0.1035389037228701,0.1090488065389574,0.2279854607784618,0.0884797995195888,0.2975260858053379,-151.64114575150717,-62.98993850245793,-84.48474692967034,151.64114575150717,-62.98993850245793,31.070283684258243,84.77139899863396,0.0633657440293234,0.1728855399114559,5.51527375193224,2.536925082641898e-16,0.5938382894184451,0.7461755176855023,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.2639423077,0.2769230769,fn226,0.01730769231,0.01730769231,C2,True
