frequency_index,term,F3_real,F3_imag,M5_real,M5_imag
0,rigid_inertia,-1014.9014082386065,625.7766084854409,-64.69286283663804,-360.267230121393
0,added_inertia,-2482.231718102639,1326.6570115989352,-461.93118241296065,-358.07082556605496
0,radiation_damping,688.1622367843869,139.99100752628334,310.4759718026864,564.9239411231748
0,restoring,565.450293060061,-407.98037837710984,142.1653815053568,25.932020930696353
1,rigid_inertia,-805.1345171766042,-114.45050313048147,349.94342771499254,-166.41952385455414
1,added_inertia,-1746.2098708327708,-378.3950487129011,360.07825681382883,-325.099951055039
1,radiation_damping,178.09248392103274,916.7588077484914,-69.6047242425579,479.0603103586499
1,restoring,748.3392154225955,59.170489727173376,-1.6536585678894369,90.14333549790479
2,rigid_inertia,-680.1271159066284,-837.237635333408,739.5844181094362,-318.8823148195439
2,added_inertia,-993.5891579608641,-2522.971606149015,1236.7197001906463,-747.2616850546503
2,radiation_damping,-199.27937274569052,1671.2533280490575,-594.2373221630771,495.10262910377793
2,restoring,1124.0796539991616,969.8525143120137,-288.337251557974,437.46493200675445
3,rigid_inertia,-1091.6974994915456,-1221.5865324822657,956.1033827913577,-711.7753893027483
3,added_inertia,-1642.7670067755232,-4411.638404883618,1752.0157466725013,-1502.764882130886
3,radiation_damping,135.43712882001478,2683.862533443267,-1068.2758595735345,843.5313433270628
3,restoring,2189.9723530723704,1689.6625399861332,-398.1603204304406,1011.1780773482496
4,rigid_inertia,-2527.3498275142742,-1069.8705022924812,796.0376992311002,-1650.696770710579
4,added_inertia,-5957.441368873733,-6255.148520913856,1699.0606281381463,-3509.1197661705687
4,radiation_damping,2563.753647387106,4218.949479007908,-1449.4863407322866,2353.5813290969554
4,restoring,5739.023424327483,1338.258522600774,304.82994166740036,2218.1170842677006
5,rigid_inertia,-2678.6011221442295,1663.582817038428,-833.4243211837852,-1602.8836469725488
5,added_inertia,-10354.667720379399,1474.3818228461191,-1768.8939775547224,-4122.305593995934
5,radiation_damping,6215.32756621729,325.5870239222413,1288.1016499658158,3708.951952730865
5,restoring,6762.774282368709,-5725.246541721528,2732.638800884878,1222.7683585573081
6,rigid_inertia,-757.1691517391922,1810.6076487117593,-793.0016479618823,-446.58857091453746
6,added_inertia,-4736.875230402058,4776.565572389923,-2258.8343802484146,-1736.0717344145435
6,radiation_damping,3461.5780904362546,-2228.590913838187,2426.731132708864,1837.3576912919334
6,restoring,2026.3109436314971,-7105.629345523846,2065.5535689797407,-612.2147637314573
7,rigid_inertia,-200.38242426076195,1211.396117552489,-423.4558127146498,-136.53831297653605
7,added_inertia,-2066.311365181229,3804.089187417384,-1637.3902726233564,-911.8149910562076
7,radiation_damping,1808.0304589118814,-1919.1138363658135,2183.148896004642,950.1443176504538
7,restoring,453.02171270482677,-6307.4577806410125,1291.1523620438293,-973.0706839245029
