benchmark,candidate_name,candidate_order,known_potential_rhs_scale,unknown_normal_column_scale,row_count,pass_count,fail_count,pass_fraction,median_gate_error_ratio,max_gate_error_ratio,median_gate_ratio_delta_vs_current,max_gate_ratio_delta_vs_current,improved_row_count,worsened_row_count,median_heave_free_surface_potential_norm_max,median_heave_inner_free_surface_normal_derivative_norm_max,median_selected_body_pressure_to_body_potential_gain_max,max_abs_selected_pressure_gradient_component_value,candidate_gate_status,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,known_phi_free_rhs_removed,1,0.0,1.0,8,1,7,0.125,5.5495580953404975,21.47065846547713,-32.91495501566134,7.266984834912728,6,2,13.494628361811298,2.392772949568818,80120.81789072894,0.5167540944818769,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,unknown_phi_n_free_column_2pi,10,1.0,6.283185307179586,8,0,8,0.0,25.453417074589936,118.45271044888271,-16.018480808980804,115.58732253812968,6,2,1.4771875421531782,0.8958937470096171,80278.76226949124,7.037271296521513,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,known_phi_free_rhs_one_over_2pi,6,0.15915494309189535,1.0,8,0,8,0.0,25.453417074589936,118.45271044888274,-16.018480808980808,115.58732253812971,6,2,9.281443060805575,5.629066428004892,80278.76226949124,7.037271296521514,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,current_default,0,1.0,1.0,8,1,7,0.125,36.16747385232085,163.9044915108257,0.0,0.0,0,0,3.74726417819196,11.179229420568307,81108.57914258397,9.045074513727819,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,both_free_blocks_one_over_2pi,8,0.15915494309189535,0.15915494309189535,8,1,7,0.125,36.16747385232085,163.90449151082578,0.0,8.526512829121202e-14,3,3,23.54475522653611,70.24117004090454,81108.57914258397,9.04507451372782,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,both_free_blocks_2pi,11,6.283185307179586,6.283185307179586,8,1,7,0.125,36.16747385232085,163.90449151082578,-3.552713678800501e-15,8.526512829121202e-14,4,3,0.5963956170304393,1.7792296222417905,81108.57914258397,9.04507451372782,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,known_phi_free_rhs_2pi,9,6.283185307179586,1.0,8,0,8,0.0,47.47602744153272,340.7535596742459,-8.059991166657777,337.88817176349283,5,3,0.9468559790533637,13.332057371762167,86141.54416748014,8.586051968970777,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,unknown_phi_n_free_column_one_over_2pi,7,1.0,0.15915494309189535,8,0,8,0.0,47.476027441532736,340.7535596742459,-8.059991166657788,337.88817176349283,5,3,5.949271575603236,83.76778699273129,86141.54416748014,8.586051968970782,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,known_phi_free_rhs_flipped,2,-1.0,1.0,8,0,8,0.0,4718.998004178187,17177.49996235697,4615.264205435965,17174.63457444622,0,8,388.43694521812915,2409.5019760846862,79122.07228872998,697.466538223158,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,unknown_phi_n_free_column_flipped,4,1.0,-1.0,8,0,8,0.0,4718.998004178187,17177.49996235697,4615.264205435965,17174.63457444622,0,8,388.43694521812915,2409.5019760846862,79122.07228872998,697.466538223158,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,unknown_phi_n_free_column_removed,3,1.0,0.0,8,0,8,0.0,,,,,0,0,,,,,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,both_free_blocks_removed,5,0.0,0.0,8,0,8,0.0,,,,,0,0,,,,,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
