a1_inner_candidate_name,potential_name,pass_rows,fail_rows,max_relative_residual,min_relative_residual,finest_panel_count,finest_panel_relative_residual,inner_a_scale,inner_b_scale,inner_diagonal_sign,diagnostic_conclusion,gate_role
normalize_a_and_b_by_2pi,cross_yz,4,0,0.022991745530636203,0.003031533604864982,256,0.003031533604864982,0.15915494309189535,0.15915494309189535,-1.0,closed_boundary_identity_within_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
normalize_a_and_b_by_2pi,linear_y,4,0,0.02281829764841903,0.0030064169570863607,256,0.0030064169570863607,0.15915494309189535,0.15915494309189535,-1.0,closed_boundary_identity_within_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
normalize_a_and_b_by_2pi,linear_z,4,0,0.0166861072541632,0.0022351856577155407,256,0.0022351856577155407,0.15915494309189535,0.15915494309189535,-1.0,closed_boundary_identity_within_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
normalize_a_and_b_by_2pi,quadratic_y2_minus_z2,4,0,0.02159922951116397,0.002863522952321377,256,0.002863522952321377,0.15915494309189535,0.15915494309189535,-1.0,closed_boundary_identity_within_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
normalize_a_only_by_2pi,cross_yz,0,4,0.839621946519415,0.8315512586082092,256,0.839621946519415,0.15915494309189535,1.0,-1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
normalize_a_only_by_2pi,linear_y,0,4,0.8394776012209574,0.8305067282676014,256,0.8394776012209574,0.15915494309189535,1.0,-1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
normalize_a_only_by_2pi,linear_z,0,4,0.8402697320350186,0.8365210425960761,256,0.8402697320350186,0.15915494309189535,1.0,-1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
normalize_a_only_by_2pi,quadratic_y2_minus_z2,0,4,0.8401134843087665,0.8353174918708048,256,0.8401134843087665,0.15915494309189535,1.0,-1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
normalize_b_only_by_2pi,cross_yz,0,4,0.8497013642787561,0.8420602323657015,256,0.8420602323657015,1.0,0.15915494309189535,-1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
normalize_b_only_by_2pi,linear_y,0,4,0.8506303737793379,0.8422022734234889,256,0.8422022734234889,1.0,0.15915494309189535,-1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
normalize_b_only_by_2pi,linear_z,0,4,0.8453877251835841,0.8414245702406216,256,0.8414245702406216,1.0,0.15915494309189535,-1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
normalize_b_only_by_2pi,quadratic_y2_minus_z2,0,4,0.8462344811891801,0.8415741255764966,256,0.8415741255764966,1.0,0.15915494309189535,-1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
positive_eq23_self_term,cross_yz,0,4,1.5745157563851964,1.562553442854827,256,1.562553442854827,1.0,1.0,1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
positive_eq23_self_term,linear_y,0,4,1.5138011946893322,1.501553168811036,256,1.501553168811036,1.0,1.0,1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
positive_eq23_self_term,linear_z,0,4,1.1289447744217098,1.1275140557793113,256,1.1289447744217098,1.0,1.0,1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
positive_eq23_self_term,quadratic_y2_minus_z2,0,4,1.7639043341007337,1.7484754180781863,256,1.7639043341007337,1.0,1.0,1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
raw_eq25_default,cross_yz,4,0,0.05888938778407524,0.008098683511701054,256,0.008098683511701054,1.0,1.0,-1.0,closed_boundary_identity_within_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
raw_eq25_default,linear_y,4,0,0.06449973591529719,0.008949520000781426,256,0.008949520000781426,1.0,1.0,-1.0,closed_boundary_identity_within_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
raw_eq25_default,linear_z,4,0,0.05014825675965277,0.0067964404768970695,256,0.0067964404768970695,1.0,1.0,-1.0,closed_boundary_identity_within_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
raw_eq25_default,quadratic_y2_minus_z2,4,0,0.03724266793915751,0.005041443628686217,256,0.005041443628686217,1.0,1.0,-1.0,closed_boundary_identity_within_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
reverse_a_operator,cross_yz,0,4,1.9923673504440642,1.9444858740735034,256,1.9923673504440642,-1.0,1.0,-1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
reverse_a_operator,linear_y,0,4,1.9914749091154742,1.9386521748681698,256,1.9914749091154742,-1.0,1.0,-1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
reverse_a_operator,linear_z,0,4,1.9963701811556918,1.9720519160925842,256,1.9963701811556918,-1.0,1.0,-1.0,closed_boundary_identity_outside_tolerance,diagnostic_a1_inner_kernel_green_identity_not_hard_gate
