case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,1.7902623815836317e-05,0,-1.1301915588381785e-14,-1.6699334540270167e-14,3.8426513000498066e-11,5.6777737436918566e-11
fn167,1.7902623815836317e-05,1,-6.317026550312947e-15,-1.2902858001341638e-14,2.147789027106402e-11,4.386971720456157e-11
fn167,1.7902623815836317e-05,2,-4.036708980715481e-15,-1.2682274053217734e-14,1.3724810534432637e-11,4.3119731780940294e-11
fn167,1.7902623815836317e-05,3,-1.728856966836635e-15,-8.146784169580205e-15,5.878113687244559e-12,2.7699066176572697e-11
fn167,1.7902623815836317e-05,4,-1.3787954339850258e-16,-5.458192139102975e-15,4.687904475549088e-13,1.8557853272950115e-11
fn167,1.7902623815836317e-05,5,8.047983377432242e-16,-3.4230928450891528e-15,-2.7363143483269624e-12,1.163851567330312e-11
fn167,1.7902623815836317e-05,6,1.2431889086273724e-15,-4.2718087236568165e-15,-4.226842289333066e-12,1.4524149660433176e-11
fn167,1.7902623815836317e-05,7,1.864328362280605e-15,-3.95628585808017e-15,-6.338716431754057e-12,1.3451371917472578e-11
fn167,1.7902623815836317e-05,8,2.7127349092474797e-15,-2.207806416150581e-15,-9.223298691441431e-12,7.506541814911975e-12
fn167,1.7902623815836317e-05,9,2.70215711139572e-15,-2.765342079611063e-15,-9.187334178745447e-12,9.402163070677613e-12
fn167,1.7902623815836317e-05,10,3.3977417091311608e-15,-9.055838453098201e-16,-1.1552321811045946e-11,3.0789850740533883e-12
fn167,1.7902623815836317e-05,11,3.690044887534279e-15,1.7200458123885852e-16,-1.2546152617616548e-11,-5.84815576212119e-13
fn167,1.7902623815836317e-05,12,4.709021978899605e-15,6.854771722252007e-16,-1.6010674728258658e-11,-2.3306223855656823e-12
fn167,1.7902623815836317e-05,13,4.0284943144885406e-15,-2.6677592463255383e-16,-1.3696880669261039e-11,9.07038143750683e-13
fn167,1.7902623815836317e-05,14,3.582866053418681e-15,4.5890493047341675e-16,-1.2181744581623515e-11,-1.560276763609617e-12
fn167,1.7902623815836317e-05,15,5.876385084102277e-15,1.6053771281324211e-15,-1.997970928594774e-11,-5.458282235650232e-12
fn167,1.7902623815836317e-05,16,5.819178265924017e-15,2.205885607228458e-15,-1.9785206104141657e-11,-7.500011064576758e-12
fn167,1.7902623815836317e-05,17,5.657761592883996e-15,2.1907188850902102e-15,-1.9236389415805586e-11,-7.448444209306715e-12
fn167,1.7902623815836317e-05,18,5.121027389826679e-15,2.362869185015648e-15,-1.741149312541071e-11,-8.033755229053204e-12
fn167,1.7902623815836317e-05,19,5.646264885067842e-15,2.8812607162724445e-15,-1.9197300609230665e-11,-9.796286435326312e-12
fn167,1.7902623815836317e-05,20,5.412224095616662e-15,2.489715333864615e-15,-1.8401561925096653e-11,-8.465032135139691e-12
fn167,1.7902623815836317e-05,21,6.493820198788241e-15,3.6359447735291645e-15,-2.207898867588002e-11,-1.236221222999916e-11
fn167,1.7902623815836317e-05,22,6.40842078273813e-15,3.4598019918375718e-15,-2.1788630661309642e-11,-1.1763326772247744e-11
fn167,1.7902623815836317e-05,23,5.785454509226246e-15,3.319941098344893e-15,-1.9670545331369235e-11,-1.1287799734372636e-11
fn167,1.7902623815836317e-05,24,5.208058119877963e-15,3.1355866340298864e-15,-1.7707397607585075e-11,-1.0660994555701615e-11
