benchmark,matrix_cell,front_rank,station_index,x_m,x_over_l,trapz_weight_m,direct_minus_transport_station_force_real,direct_minus_transport_station_force_imag,station_abs_direct_transport_residual_share,cumulative_front_direct_transport_residual_share,diagnostic_flags,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,55,1,0,0.075,0.024999999999999998,0.0375,400.8317700111423,361.8479471580149,0.12230955040226349,0.12230955040226349,first_active_station;near_aft_startup_region;first_front_window_station,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,2,1,0.15,0.049999999999999996,0.07499999999999998,-331.5679440236724,-469.77346281357416,0.13023689465278304,0.25254644505504653,peak_abs_direct_transport_residual;near_aft_startup_region,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,3,2,0.22499999999999998,0.075,0.075,-68.09608374791378,-1.3051271275053296,0.015426537657453566,0.2679729827125001,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,4,3,0.3,0.09999999999999999,0.07500000000000001,-275.2377099397461,-172.18542477689897,0.07353504029653449,0.3415080230090346,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,5,4,0.375,0.125,0.07499999999999998,-161.4918091995833,-56.91811231179443,0.03878316046607713,0.3802911834751117,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,6,5,0.44999999999999996,0.15,0.07500000000000001,-112.0614871257551,-21.565323551820768,0.02584755275001662,0.4061387362251283,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,7,6,0.525,0.17500000000000002,0.07500000000000001,-66.90452059953074,-5.5201311186337705,0.01520530939493933,0.42134404562006766,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,8,7,0.6,0.19999999999999998,0.07499999999999996,-20.13346383596081,-0.7364867242877722,0.004563262466541445,0.4259073080866091,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,9,8,0.6749999999999999,0.22499999999999998,0.07500000000000001,28.558929066333235,-4.091866842673738,0.006534631209832934,0.432441939296442,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,10,9,0.75,0.25,0.07500000000000001,77.23492827415934,-13.38399811511266,0.017754363177468167,0.4501963024739102,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,11,10,0.825,0.27499999999999997,0.07499999999999996,122.15788151034037,-26.28203399941782,0.028301785561813248,0.4784980880357234,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,12,11,0.8999999999999999,0.3,0.07500000000000001,158.47200764864237,-40.06192918928694,0.037022971704879164,0.5155210597406026,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,13,12,0.975,0.325,0.07500000000000007,181.8476681889091,-51.97658129275546,0.04283777378654743,0.55835883352715,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,14,13,1.05,0.35000000000000003,0.07500000000000001,190.40694361394674,-60.00949895484473,0.04521818511012555,0.6035770186372755,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,15,14,1.125,0.375,0.07499999999999996,185.65105894418602,-63.47502342472063,0.04443968406376353,0.6480167027010391,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,16,15,1.2,0.39999999999999997,0.07499999999999996,171.7290662402852,-63.038741303990136,0.04143433778034717,0.6894510404813863,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,17,16,1.275,0.425,0.07499999999999996,153.50735300169129,-60.129402059946344,0.03734149674365027,0.7267925372250366,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,18,17,1.3499999999999999,0.44999999999999996,0.07500000000000007,134.79757802536443,-56.17755620817319,0.033076868237924106,0.7598694054629606,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,19,18,1.425,0.47500000000000003,0.07500000000000007,117.72569979872749,-52.16944878790537,0.029165661339862963,0.7890350668028235,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,20,19,1.5,0.5,0.07499999999999996,103.0475355011029,-48.597453812187624,0.025805507590233034,0.8148405743930566,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,21,20,1.575,0.525,0.07499999999999996,90.72068225409012,-45.593953964709975,0.022997250563977896,0.8378378249570345,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,22,21,1.65,0.5499999999999999,0.07499999999999996,80.32035568662889,-43.0601255891237,0.020641932598337784,0.8584797575553723,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,23,22,1.7249999999999999,0.575,0.07499999999999996,71.24691199800424,-40.732921304385385,0.01858852091601548,0.8770682784713878,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,24,23,1.7999999999999998,0.6,0.07500000000000007,62.83108256526778,-38.22453298318291,0.01665786895408815,0.893726147425476,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,25,24,1.875,0.625,0.07500000000000007,54.453740614242605,-35.102142145794346,0.01467422644664255,0.9084003738721185,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,26,25,1.95,0.65,0.07499999999999996,45.7202061504662,-31.043119851462578,0.012517049931091893,0.9209174238032104,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,27,26,2.025,0.6749999999999999,0.07500000000000007,36.60578738973534,-26.00094674556853,0.010169869601991396,0.9310872934052017,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,28,27,2.1,0.7000000000000001,0.07499999999999996,27.444256514611595,-20.252655856401816,0.007725438391617283,0.938812731796819,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,29,28,2.175,0.725,0.07499999999999996,18.740598780409723,-14.275329653947114,0.005335942524257803,0.9441486743210769,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,30,29,2.25,0.75,0.07499999999999996,10.919486679259037,-8.526163560091991,0.0031378974673421625,0.947286571788419,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,31,30,2.3249999999999997,0.7749999999999999,0.07499999999999996,4.156747876087305,-3.2597323506608653,0.001196473220081129,0.9484830450085,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,32,31,2.4,0.7999999999999999,0.07500000000000018,-1.6314261091276023,1.5233392878405922,0.0005055608035918408,0.9489886058120919,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,33,32,2.475,0.8250000000000001,0.07499999999999996,-6.709574036732729,6.03088775133676,0.0020433938238342535,0.9510319996359262,none,false,diagnostic-only startup-window sensitivity; no station is removed from the default model.,diagnostic_pitch_complex_startup_window_not_hard_gate,INFO
