outer_iteration,coefficient_index,unscaled_step,trust_scaled_step,trust_region_step_scale
1,0,0.00012167681865721997,0.00012167681865721997,1.0
1,1,0.00014509228473886051,0.00014509228473886051,1.0
1,2,0.00010178762339926375,0.00010178762339926375,1.0
1,3,5.6041171839567214e-05,5.6041171839567214e-05,1.0
1,4,2.1742274407862274e-05,2.1742274407862274e-05,1.0
1,5,5.733974526487923e-06,5.733974526487923e-06,1.0
1,6,-7.765466718377699e-07,-7.765466718377699e-07,1.0
1,7,-1.6221152230523131e-06,-1.6221152230523131e-06,1.0
1,8,-2.0109574195614194e-07,-2.0109574195614194e-07,1.0
1,9,-3.8394394434232084e-07,-3.8394394434232084e-07,1.0
1,10,-4.119568977008423e-06,-4.119568977008423e-06,1.0
1,11,-1.2309895975668334e-05,-1.2309895975668334e-05,1.0
1,12,-1.9675331674475947e-05,-1.9675331674475947e-05,1.0
1,13,-1.2346754712004824e-05,-1.2346754712004824e-05,1.0
1,14,8.620406963793745e-06,8.620406963793745e-06,1.0
1,15,-9.724130896298382e-07,-9.724130896298382e-07,1.0
1,16,-2.0749847131429702e-05,-2.0749847131429702e-05,1.0
1,17,-1.072840324393072e-05,-1.072840324393072e-05,1.0
1,18,-4.150371084861708e-06,-4.150371084861708e-06,1.0
1,19,-1.5126140201237085e-06,-1.5126140201237085e-06,1.0
1,20,-2.274578858651302e-06,-2.274578858651302e-06,1.0
1,21,-5.4651656009799455e-06,-5.4651656009799455e-06,1.0
1,22,-8.333443684808553e-06,-8.333443684808553e-06,1.0
1,23,-4.90757045501654e-06,-4.90757045501654e-06,1.0
