reuse_step,step_factor,source_curvature_energy,source_maximum_turning_angle_deg,normalized_objective,normalized_relative_decrease,maximum_root_relative_mismatch,maximum_leading_panel_objective_ratio,maximum_condition_number,maximum_condition_number_ratio,maximum_displacement_ratio,curvature_energy,curvature_energy_ratio,maximum_turning_angle_deg,dipole_coefficient,accepted,rejection_reason,outer_shape_dipole_coefficient
1,1.0,21.158313065275742,5.718729547159258,0.7841430065362976,0.21585699346370235,9.962319235814728e-07,1.0,253347.1570638584,1.0000602127575724,0.26921832583447347,21.23900805559158,1.0038138669215682,5.736891418002939,7.819653111378032,False,displacement_limit,
1,0.75,21.158313065275742,5.718729547159258,0.8338790193411474,0.1661209806588526,5.58422371298836e-07,1.0,253345.0864313883,1.000052039162208,0.20184447633039626,21.218307451064945,1.002835499484487,5.7336512082714135,7.817199621685908,False,displacement_limit,
1,0.5,21.158313065275742,5.718729547159258,0.8864307420701432,0.11356925792985684,2.4704314254063353e-07,1.0,253338.92848769456,1.0000277313525137,0.13452077007872454,21.198007096218777,1.0018760489468406,5.729561658021703,7.814738673639488,True,,7.809154733272948
1,0.25,21.158313065275742,5.718729547159258,0.9417757209253604,0.05822427907463956,6.142908316766427e-08,1.0,253334.75620142795,1.000011261708489,0.06724876435603812,21.178030052018666,1.0009318789585018,5.724601433630331,7.812270112723778,True,,
1,0.125,21.158313065275742,5.718729547159258,0.970488390080725,0.02951160991927504,1.53126844479236e-08,1.0,253335.5379566505,1.0000143476017878,0.033632631881334966,21.16814246187825,1.0004645642860177,5.7217884393370255,7.811032921992105,True,,
2,1.0,21.198007096218777,5.729561658021703,0.7818328563444983,0.21816714365550172,4.3437131888617627e-13,1.0,253357.87570231452,1.000074789984836,0.26920444496946133,21.284337458605968,1.004072569746549,5.745129656379602,7.825184413283972,False,displacement_limit,
2,0.75,21.198007096218777,5.729561658021703,0.8316333383610723,0.16836666163892766,5.640016492679143e-07,1.0,253351.21547444948,1.0000485001923245,0.20183654454723,21.262208052473245,1.003028631699341,5.74255729907594,7.8227472613321325,False,displacement_limit,
2,0.5,21.198007096218777,5.729561658021703,0.884572465954838,0.11542753404516204,2.4965278461524895e-07,1.0,253347.15927879806,1.0000324892473202,0.1345170919312625,21.240490313915597,1.0020041137595617,5.739123870678272,7.82030246812227,True,,7.814738673639488
2,0.25,21.198007096218777,5.729561658021703,0.9406572183445974,0.05934278165540263,6.216267984332968e-08,1.0,253345.09042620676,1.0000243229042967,0.06724760992074723,21.219110321278013,1.0009955287288774,5.734805755605798,7.81785005517197,True,,
2,0.125,21.198007096218777,5.729561658021703,0.9698957352048522,0.030104264795147828,1.5463017041015545e-08,1.0,253341.52274371797,1.0000102402581352,0.033632080118586705,21.208527415008295,1.0004962881058472,5.73230788377011,7.816621079744259,True,,
3,1.0,21.240490313915597,5.739123870678272,0.7820190241011286,0.21798097589887144,7.575872342684238e-13,1.0,253363.38924143065,1.0000640621457086,0.2691778356356549,21.33248058317745,1.004330891985181,5.7521382629789075,7.8306810274630925,False,displacement_limit,
3,0.75,21.240490313915597,5.739123870678272,0.8311559953717862,0.1688440046282138,5.69658289853126e-07,1.0,253359.2152314815,1.0000475866898124,0.20181907414722755,21.308917075692182,1.0032215245865466,5.750215554967095,7.828260044559444,False,displacement_limit,
3,0.5,21.240490313915597,5.739123870678272,0.883834243089704,0.11616575691029596,2.5232405522900183e-07,1.0,253357.86879717195,1.000042272107587,0.1345070641148638,21.285776168333427,1.0021320531564266,5.747425405395694,7.825831408572276,True,,7.82030246812227
3,0.25,21.240490313915597,5.739123870678272,0.9401033181886548,0.05989668181134522,6.273551616493038e-08,1.0,253351.21805881168,1.0000160206257105,0.06724328966778685,21.26298683925485,1.001059133993932,5.743741988203356,7.82339534193599,True,,
3,0.125,21.240490313915597,5.739123870678272,0.9695669843048832,0.030433015695116805,1.5614538277395276e-08,1.0,253349.19492613926,1.0000080350115115,0.03362995126726238,21.251705169043994,1.0005279941735172,5.741557591003984,7.8221744356585745,True,,
4,1.0,21.285776168333427,5.747425405395694,0.7857563818686988,0.21424361813130122,7.656120643692738e-13,1.0,253370.93574681706,1.0000515750693166,0.26913852813562955,21.383452086181762,1.004588788168958,5.757962432901903,7.836141005414452,False,displacement_limit,
4,0.75,21.285776168333427,5.747425405395694,0.8332490652133386,0.16675093478666136,5.753385427469692e-07,1.0,253370.25172392037,1.0000488752404146,0.20179205968296837,21.358448871569912,1.0034141439175988,5.756661416312412,7.833736183196101,False,displacement_limit,
4,0.5,21.285776168333427,5.747425405395694,0.8848024853481778,0.11519751465182215,2.54538589059955e-07,1.0,253363.3822256571,1.0000217614258886,0.134490663410894,21.333878704832504,1.0022598441381074,5.754492414906051,7.831323945855978,True,,7.825831408572276
4,0.25,21.285776168333427,5.747425405395694,0.9403604180159431,0.059639581984056944,6.327621388119225e-08,1.0,253359.2177491554,1.0000053242948002,0.06723578215909938,21.30967334901082,1.0011226830766426,5.751427532428115,7.8289040567551975,True,,
4,0.125,21.285776168333427,5.747425405395694,0.969621931429312,0.030378068570688033,1.579016872641983e-08,1.0,253361.36085235066,1.0000137830934372,0.03362623259200274,21.29768931868728,1.000559676577431,5.749550808093181,7.827691158070611,True,,
5,1.0,21.333878704832504,5.754492414906051,0.7943621031311408,0.20563789686885925,1.6742101455892685e-13,1.0,253382.25135616172,1.0000744745761558,0.2690866307142252,21.437267161519696,1.0048462100172986,5.762662582614749,7.841564077873355,False,displacement_limit,
5,0.75,21.333878704832504,5.754492414906051,0.8389632171179187,0.16103678288208134,5.80796453046123e-07,1.0,253375.5112336892,1.0000478719849948,0.20175555831636183,21.41081834591629,1.0036064534793834,5.761946148482886,7.839175695302735,False,displacement_limit,
5,0.5,21.333878704832504,5.754492414906051,0.8880828252363941,0.11191717476360585,2.570549592227786e-07,1.0,253370.9311623516,1.0000297949002266,0.13446791250791704,21.3848125419551,1.0023874625813383,5.760367364528639,7.8367796657239746,True,,7.831323945855978
5,0.25,21.333878704832504,5.754492414906051,0.9417127068012137,0.05828729319878634,6.404170103925339e-08,1.0,253370.25532549515,1.00002712743956,0.06722509382782359,21.359184182155,1.0011861639260546,5.757896475010333,7.834375945909821,True,,
5,0.125,21.333878704832504,5.754492414906051,0.9702552720160791,0.029744727983920916,1.59417808476371e-08,1.0,253366.82827793065,1.0000136012246257,0.03362092972221568,21.346494052971018,1.000591329327079,5.756317611281155,7.833171326634219,True,,
6,1.0,21.3848125419551,5.760367364528639,0.8095826092960783,0.19041739070392172,4.111123170782892e-13,1.0,253387.26057477214,1.0000644486419403,0.26902231252600756,21.493941486319162,1.0051031050260535,5.7663128701651045,7.846950430491232,False,displacement_limit,
6,0.75,21.3848125419551,5.760367364528639,0.8495246951567417,0.15047530484325833,5.860809488353168e-07,1.0,253382.30728829675,1.0000448990967234,0.20170967555516076,21.46604090806156,1.0037984137549534,5.766135597875485,7.844578295517917,False,displacement_limit,
6,0.5,21.3848125419551,5.760367364528639,0.8945235378927742,0.10547646210722583,2.597047196304458e-07,1.0,253382.24405656717,1.000044649534829,0.1344388680642059,21.43859282618187,1.0025148821913337,5.765108010152095,7.8421984325081215,True,,7.8367796657239746
6,0.25,21.3848125419551,5.760367364528639,0.9446888201270113,0.055311179872988725,6.458203263317133e-08,1.0,253375.51464224939,1.0000180899990254,0.06721124886897006,21.411534223458197,1.001249563513857,5.763198771196295,7.839811159646614,True,,
6,0.125,21.3848125419551,5.760367364528639,0.9716810726065277,0.028318927393472304,1.606134172817061e-08,1.0,253372.8523980422,1.0000075826997272,0.03361405725285559,21.39813412572471,1.000622946015705,5.761904184879798,7.838614660330767,True,,
7,1.0,21.43859282618187,5.765108010152095,0.8331075256784396,0.1668924743215604,1.2509723274857262e-12,1.0,253393.3581323602,1.0000438628832673,0.26894579488506515,21.553491168273002,1.0053594162183448,5.769625428598145,7.852299807615996,False,displacement_limit,
7,0.75,21.43859282618187,5.765108010152095,0.8662351747787609,0.13376482522123911,4.086615689452887e-08,1.0,253393.85222514838,1.0000458128730545,0.20165455918692632,21.524132414356416,1.003989981472575,5.76930855701932,7.849943838357919,False,displacement_limit,
7,0.5,21.43859282618187,5.765108010152095,0.9051356369966611,0.09486436300333889,2.6172408881459095e-07,1.0,253387.2530785023,1.000019768638303,0.13440361695017658,21.495235175128993,1.0026420740114037,5.768785981607981,7.8475804624841725,True,,7.8421984325081215
7,0.25,21.43859282618187,5.765108010152095,0.9497191960064566,0.0502808039935434,6.504886398459616e-08,1.0,253382.30943616616,1.0000002580275473,0.06719428736559295,21.46673885740781,1.0013128674747518,5.767399032951462,7.845209446087477,True,,
7,0.125,21.43859282618187,5.765108010152095,0.9741442174850932,0.025855782514906833,1.617255111702078e-08,1.0,253380.43697346718,0.9999928681541727,0.03360563763861461,21.452624805372974,1.0006545195995311,5.766371705893202,7.844021074337988,True,,
8,1.0,21.495235175128993,5.768785981607981,0.8662963143481707,0.13370368565182933,2.340121859535899e-12,1.0,253400.53931484904,1.0000524345095712,0.2688573414144215,21.615932707097286,1.005615083109579,5.797716674669884,7.857612192675553,False,displacement_limit,
8,0.75,21.495235175128993,5.768785981607981,0.8902634588792289,0.10973654112077114,5.966649783733917e-07,1.0,253398.61020844916,1.0000448212363047,0.20159039226016073,21.585109120522013,1.0041811101232803,5.783206447640121,7.855272625463251,False,displacement_limit,
8,0.5,21.495235175128993,5.768785981607981,0.9205584534133563,0.07944154658664371,2.640697119897354e-07,1.0,253393.3532017062,1.000024074309697,0.13436227176367244,21.554755622863915,1.002769006584482,5.771484984262165,7.852925541624158,True,,7.8475804624841725
8,0.25,21.495235175128993,5.768785981607981,0.9570771113812562,0.042922888618743826,5.663873664621339e-07,1.0,253393.85513755158,1.0000260552137847,0.06717426299837512,21.52481390995229,1.0013760600701647,5.770574927364177,7.850570700410835,True,,
8,0.125,21.495235175128993,5.768785981607981,0.9777399627638025,0.022260037236197516,1.6373259855162664e-08,1.0,253390.56080889952,1.0000130540520764,0.03359569985985857,21.509981816245027,1.000686042325003,5.769794836475242,7.849390527417796,True,,
