reuse_step,step_factor,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number
1,1.0,320,0.004936281201472607,-6.643940310083795e-13,6.643940310083795e-13,253420.8358174094
1,0.75,320,0.004981245617897126,6.927744438078596e-07,6.927744438078596e-07,253420.80896149154
1,0.5,320,0.005028010839976044,3.069275078670868e-07,3.069275078670868e-07,253420.93006410424
1,0.25,320,0.0050763821914367084,7.648931151815845e-08,7.648931151815845e-08,253423.29065510075
1,0.125,320,0.00510140183533551,1.904820955200359e-08,1.904820955200359e-08,253422.28903636633
2,1.0,320,0.004815065923874108,-3.3897567481247735e-12,3.3897567481247735e-12,253420.0143028863
2,0.75,320,0.004853881777779661,6.99921053185733e-07,6.99921053185733e-07,253420.25814185283
2,0.5,320,0.004894393712202447,3.1027505320707155e-07,3.1027505320707155e-07,253422.6941599664
2,0.25,320,0.004937128378609053,7.723392807340163e-08,7.723392807340163e-08,253420.83213833894
2,0.125,320,0.0049591089837215385,1.9223174065489876e-08,1.9223174065489876e-08,253420.73101578146
3,1.0,320,0.00471261881419056,1.8904004862823703e-15,1.8904004862823703e-15,253419.08767619004
3,0.75,320,0.004744883649360623,7.06982940654808e-07,7.06982940654808e-07,253421.5405260333
3,0.5,320,0.004779499304637829,3.13199498300504e-07,3.13199498300504e-07,253419.82747986433
3,0.25,320,0.004815872267081545,7.79818816774257e-08,7.79818816774257e-08,253420.00827192908
3,0.125,320,0.004834769806242378,1.9410430358592528e-08,1.9410430358592528e-08,253420.1319238278
4,1.0,320,0.00462948774289656,-4.251852802269909e-12,4.251852802269909e-12,253419.85083717032
4,0.75,320,0.004655534082080172,7.074100650186851e-07,7.074100650186851e-07,253418.31277551994
4,0.5,320,0.004683446104846251,3.1595524751787594e-07,3.1595524751787594e-07,253418.71424210456
4,0.25,320,0.004713383746749347,7.865158242774219e-08,7.865158242774219e-08,253419.08067788067
4,0.125,320,0.004728809427128521,1.961424089580218e-08,1.961424089580218e-08,253422.37679509242
5,1.0,320,0.004567074079221921,-2.886740356824132e-13,2.886740356824132e-13,253416.41171629092
5,0.75,320,0.004586035261842873,7.194611460771206e-07,7.194611460771206e-07,253416.92868497293
5,0.5,320,0.00460676021703436,3.1947904999963603e-07,3.1947904999963603e-07,253421.38458559255
5,0.25,320,0.004630211542155564,7.946976641575174e-08,7.946976641575174e-08,253419.84369674878
5,0.125,320,0.004642719915607819,1.978814724617929e-08,1.978814724617929e-08,253419.05793565814
6,1.0,320,0.00452570338030802,-1.1914281796572525e-12,1.1914281796572525e-12,253414.67288975298
6,0.75,320,0.004537062089750872,7.25695209501981e-07,7.25695209501981e-07,253419.02520709365
6,0.5,320,0.00455130584082123,3.2159331747828464e-07,3.2159331747828464e-07,253417.62631260385
6,0.25,320,0.0045677570273538245,8.007479698373477e-08,8.007479698373477e-08,253416.4027138427
6,0.125,320,0.0045767148863585395,1.994151848001668e-08,1.994151848001668e-08,253416.6627787836
7,1.0,320,0.004506172430066517,-2.3326656411480984e-13,2.3326656411480984e-13,253416.15791838354
7,0.75,320,0.00451060780851588,7.307583678390072e-07,7.307583678390072e-07,253414.8888301143
7,0.5,320,0.0045173839421997035,3.2376028729685484e-07,3.2376028729685484e-07,253414.03017584703
7,0.25,320,0.004526345230045126,8.060496601404063e-08,8.060496601404063e-08,253414.6628626063
7,0.125,320,0.0045316949261626814,2.0045915392675507e-08,2.0045915392675507e-08,253414.96662548874
8,1.0,320,0.004510590662977588,4.652499610989353e-13,4.652499610989353e-13,253411.6528311866
8,0.75,320,0.004507033695894807,7.360529808533039e-07,7.360529808533039e-07,253411.19420091255
8,0.5,320,0.00450585746419209,3.2623586869949265e-07,3.2623586869949265e-07,253411.94488790285
8,0.25,320,0.0045067727111991526,8.134816739236292e-08,8.134816739236292e-08,253416.14709808785
8,0.125,320,0.004508454650908873,2.025589627675867e-08,2.025589627675867e-08,253415.51470593357
