stage,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number,dipole_coefficient
source,320,0.015192560988965993,-0.0009477122301300977,0.0009477122301300977,253026.2800293211,7.732165924158551
source,640,0.014801730552466317,-0.0008693597846478389,0.0008693597846478389,570177.5739393099,7.731327184565244
source,1280,0.014766314492010152,-0.0008349934214187632,0.0008349934214187632,1375666.1362674797,7.729995151314599
candidate_factor_1,320,0.015626269760106573,-0.0009184676162938305,0.0009184676162938305,253071.59022699448,7.743656726652374
candidate_factor_1,640,0.015248185586304424,-0.0008383189411951609,0.0008383189411951609,570298.5074598655,7.741798641566703
candidate_factor_1,1280,0.015219625575877313,-0.0008027794587788091,0.0008027794587788091,1375986.5655243308,7.74046236946533
candidate_factor_0.5,320,0.01533123908404512,-0.0009378271585837781,0.0009378271585837781,253049.01847533113,7.7384249676068055
candidate_factor_0.5,640,0.014945352995566026,-0.0008590400855195995,0.0008590400855195995,570238.2726341692,7.736569758547784
candidate_factor_0.5,1280,0.014913360912340329,-0.0008240597005693546,0.0008240597005693546,1375826.3757137319,7.735235606770228
candidate_factor_0.25,320,0.015243452954076059,-0.0009437476845583177,0.0009437476845583177,253039.24474836417,7.73580389560206
candidate_factor_0.25,640,0.014853735688775634,-0.0008654846709561108,0.0008654846709561108,570207.9807881804,7.733950160339548
candidate_factor_0.25,1280,0.014820030523602808,-0.0008308050170553245,0.0008308050170553245,1375746.264915442,7.7326170779138375
