stage,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number,dipole_coefficient
source,320,0.012196608332896475,1.858614701997442e-07,1.858614701997442e-07,253197.08999387332,7.7736417674086065
source,640,0.011953678132380192,2.0839846684595014e-09,2.0839846684595014e-09,570753.0093819615,7.772114882926782
source,1280,0.012002748564916992,4.360485785729692e-09,4.360485785729692e-09,1377349.7210509207,7.770777938892523
candidate_factor_1,320,0.011521773249070444,8.547415656180199e-07,8.547415656180199e-07,253218.8751899315,7.7788650020625125
candidate_factor_1,640,0.011285086907079855,2.2503145859912688e-09,2.2503145859912688e-09,570830.7406624466,7.777006446921893
candidate_factor_1,1280,0.01134169630201869,4.709546994227016e-09,4.709546994227016e-09,1377582.0458122436,7.775667756212965
candidate_factor_0.5,320,0.011855385667475385,2.114207071862491e-07,2.114207071862491e-07,253210.54439503103,7.776420590207632
candidate_factor_0.5,640,0.01161552763777735,2.1530753001923306e-09,2.1530753001923306e-09,570792.6370969443,7.7745630122849025
candidate_factor_0.5,1280,0.011668432565030534,4.529211546114349e-09,4.529211546114349e-09,1377466.3205233952,7.7732252027328945
candidate_factor_0.25,320,0.012025312493375595,5.2493343596243636e-08,5.2493343596243636e-08,253202.53409513403,7.775196700452193
candidate_factor_0.25,640,0.011783625120476045,2.0922124064022114e-09,2.0922124064022114e-09,570774.5692293401,7.77333949900954
candidate_factor_0.25,1280,0.01183466105310715,3.357342589979285e-09,3.357342589979285e-09,1377408.8455714944,7.772002147097169
candidate_factor_0.125,320,0.012110937494904495,1.3067566153456253e-08,1.3067566153456253e-08,253199.825539768,7.774584286053115
candidate_factor_0.125,640,0.01186846241906319,2.0741892880862695e-09,2.0741892880862695e-09,570762.8246803387,7.772727354951782
candidate_factor_0.125,1280,0.011918440542633467,4.376245751711751e-09,4.376245751711751e-09,1377380.6108741148,7.7713901680948405
