reuse_step,step_factor,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number
1,1.0,320,0.0023989594884566414,-0.00041685715308521884,0.00041685715308521884,190757.2601582193
1,1.0,640,0.0018761534126319275,-0.00033909544603510813,0.00033909544603510813,426922.8493490191
1,1.0,1280,0.001798776571534169,-0.00030454589477232864,0.00030454589477232864,1025783.5317521374
1,0.5,320,0.00256989794710241,-0.00029784770643611757,0.00029784770643611757,190780.96707631898
1,0.5,640,0.0020474724081810565,-0.0002198002079918072,0.0002198002079918072,426979.3362561012
1,0.5,1280,0.0019709252207745836,-0.00018503894073587044,0.00018503894073587044,1025924.1267586736
1,0.25,320,0.002665682580725006,-0.00023833345074040146,0.00023833345074040146,190792.8199149198
1,0.25,640,0.002143541609348684,-0.00016014301731466981,0.00016014301731466981,427007.577459099
1,0.25,1280,0.002067436422836118,-0.00012531342202634217,0.00012531342202634217,1025995.3224689224
2,1.0,320,0.002139262043614213,-0.0006549214414799636,0.0006549214414799636,190715.3786882537
2,1.0,640,0.001616494773902661,-0.000577306526172262,0.000577306526172262,426810.6857137675
2,1.0,1280,0.0015377113709043769,-0.0005430088041268175,0.0005430088041268175,1025499.2985155297
2,0.5,320,0.0022552487516054316,-0.0005354972328046013,0.0005354972328046013,190733.5513448041
2,0.5,640,0.0017323467215113269,-0.00045811035431064985,0.00045811035431064985,426868.96022960206
2,0.5,1280,0.001654247845685038,-0.000423483297664945,0.000423483297664945,1025639.5129345601
2,0.25,320,0.0023235415308166685,-0.00047598085184732513,0.00047598085184732513,190745.40652231226
2,0.25,640,0.0018006745473765806,-0.00039850153685223004,0.00039850153685223004,426898.0944208839
2,0.25,1280,0.0017229440176776232,-0.0003637736661224484,0.0003637736661224484,1025711.1642213953
3,1.0,320,0.0019895775807440216,-0.0008923565860742489,0.0008923565860742489,190665.22138489256
3,1.0,640,0.0014677965737889937,-0.0008154588629904232,0.0008154588629904232,426696.82409016637
3,1.0,1280,0.001387902110952635,-0.0007815063491741511,0.0007815063491741511,1025214.9654101343
3,0.5,320,0.002050600553521021,-0.0007734520198251879,0.0007734520198251879,190690.29945114354
3,0.5,640,0.0015282162463155218,-0.0006961667770374032,0.0006961667770374032,426753.3430466544
3,0.5,1280,0.0014488520697605975,-0.0006619692794492813,0.0006619692794492813,1025354.8139129874
3,0.25,320,0.0020914120610360633,-0.0007139877301283029,0.0007139877301283029,190702.83727056006
3,0.25,640,0.0015688200056366748,-0.0006365085048850281,0.0006365085048850281,426781.60025662696
3,0.25,1280,0.0014897458808417934,-0.0006022778114136821,0.0006022778114136821,1025426.9062310575
4,1.0,320,0.0019498244153073447,-0.001129773422649332,0.001129773422649332,190615.04702796272
4,1.0,640,0.0014300082688989346,-0.0010537228088081272,0.0010537228088081272,426585.1923477674
4,1.0,1280,0.0013493099246336896,-0.0010198685465358816,0.0010198685465358816,1024927.6030359182
4,0.5,320,0.001955935485473995,-0.00101087869300161,0.00101087869300161,190640.1336286077
4,0.5,640,0.0014350170321193014,-0.0009345415486695012,0.0009345415486695012,426643.5097964375
4,0.5,1280,0.0013547005913563137,-0.0009004503685512656,0.0009004503685512656,1025070.1299015419
4,0.25,320,0.0019692828943094144,-0.0009514180058131519,0.0009514180058131519,190652.67570260572
4,0.25,640,0.0014479177882651408,-0.0008747076588369409,0.0008747076588369409,426668.5641568326
4,0.25,1280,0.0013678080839495909,-0.0008407751973177357,0.0008407751973177357,1025142.5475976999
5,1.0,320,0.0019570511841033125,-0.0011891463197807911,0.0011891463197807911,190603.10940225283
5,1.0,640,0.0014379160457879494,-0.0011135963884994814,0.0011135963884994814,426556.0292064491
5,1.0,1280,0.0013570665555381319,-0.0010799325811162459,0.0010799325811162459,1024858.0948541076
5,0.5,320,0.0019494357251040903,-0.0010702099687424263,0.0010702099687424263,190627.58894001116
5,0.5,640,0.0014290451644383463,-0.0009944179320579877,0.0009944179320579877,426614.3519129759
5,0.5,1280,0.001348543796276586,-0.0009604439214125167,0.0009604439214125167,1024998.826113999
5,0.25,320,0.001955916952808978,-0.001010750567449943,0.001010750567449943,190640.13208360245
5,0.25,640,0.0014349932269911371,-0.0009348149916073476,0.0009348149916073476,426643.5101975087
5,0.25,1280,0.0013546928983472878,-0.0009007241026291012,0.0009007241026291012,1025070.1298086306
