stage,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number,dipole_coefficient
source,320,0.0019507216503597221,-0.000501624366778857,0.000501624366778857,190617.20658345587,7.616374546804146
source,640,0.001432253419430945,-0.00042479534078114153,0.00042479534078114153,426592.8491779277,7.613604897092261
source,1280,0.0013547042052124293,-0.0003899673250952831,0.0003899673250952831,1024948.8970464296,7.611949394591045
candidate_factor_1,320,0.0019456029094720255,-0.0010245520088524277,0.0010245520088524277,190606.1920486524,7.614383986062954
candidate_factor_1,640,0.0014249760211890736,-0.000948772326740406,0.000948772326740406,426565.21016939403,7.612045868640513
candidate_factor_1,1280,0.001345269133237403,-0.0009147617169621478,0.0009147617169621478,1024879.5660969057,7.610391156919851
candidate_factor_0.75,320,0.0019458302249541009,-0.000893899002313954,0.000893899002313954,190608.91005546311,7.614774148109367
candidate_factor_0.75,640,0.001425728408915142,-0.0008177693066917032,0.0008177693066917032,426572.12429079966,7.61243613555424
candidate_factor_0.75,1280,0.0013465567610154111,-0.000783553309178973,0.000783553309178973,1024896.8712552084,7.610781233077708
candidate_factor_0.5,320,0.0019467602352164015,-0.0007631542029023274,0.0007631542029023274,190611.67733724887,7.615163975670948
candidate_factor_0.5,640,0.0014271924726051394,-0.0006866702260380506,0.0006866702260380506,426579.03484060947,7.612826062939009
candidate_factor_0.5,1280,0.0013485591703368649,-0.0006522484784474058,0.0006522484784474058,1024914.1703945094,7.611170964078659
candidate_factor_0.25,320,0.0019483931253478739,-0.0006323138787510165,0.0006323138787510165,190614.44257441844,7.6155534689659605
candidate_factor_0.25,640,0.0014293682377798382,-0.0005554751326058696,0.0005554751326058696,426585.9417954135,7.613215650531257
candidate_factor_0.25,1280,0.0013512763324756768,-0.0005208472554112284,0.0005208472554112284,1024931.4643864379,7.611560354905624
candidate_factor_0.125,320,0.0019494731551862638,-0.0005668579155107035,0.0005668579155107035,190615.8244260322,7.615748091132314
candidate_factor_0.125,640,0.0014307230202410053,-0.0004898416048315286,0.0004898416048315286,426589.3939255932,7.613410315990177
candidate_factor_0.125,1280,0.0013529029755879594,-0.000455110538041198,0.000455110538041198,1024940.1094841281,7.611754919414167
