panel_index,mid_xi,mid_eta,panel_length,kinematic_residual_midpoint,kinematic_residual_left,kinematic_residual_right,kinematic_integral_panel_linear_exact
0,4.439738058904217,0.37655459310597583,0.008286648478990615,-0.02809082638181737,-0.06271311472873964,0.006531461965105123,9.850025344345387e-06
1,4.431721780442022,0.3733511365346902,0.00897876986797304,-0.004830270164458472,-0.021627085902623966,0.011966545573706577,1.0538907407987163e-06
2,4.423084429512865,0.36978106811577727,0.009714028824056926,0.0013826645443990593,-0.05804347505822105,0.06080880414701939,1.1453491962616795e-05
3,4.413835404360033,0.36571583641978195,0.010493861111727254,0.004746554845106887,-0.05409302654770243,0.0635861362379162,1.2346677123084669e-05
4,4.403974000570118,0.3610587722759059,0.011319611456897761,0.024624242971366783,-0.04753633602852747,0.09678482197126104,2.6511319338519814e-05
5,4.3935308454978355,0.35566601390461045,0.012192654792635541,0.01967546452071156,-0.08051366121891745,0.1198645902603408,4.551612579507976e-05
6,4.382590884977793,0.3493171837911273,0.013114165723370805,0.02835098375394063,-0.09644068441443565,0.1531426519223178,7.861634292280382e-05
7,4.371329194441165,0.34171280352241995,0.014085379103673157,0.02408978772283188,-0.1558724677569434,0.20405204320260717,0.00016023230073863975
8,4.360117011199603,0.3324053021856209,0.015107482910259287,0.017072206477452667,-0.21042850603101249,0.24457291898591738,0.0002650404172033343
9,4.349614403879408,0.32087870268173113,0.01618098863217216,0.0099820209809387,-0.2663948355035983,0.2863588774654757,0.0004136027306186426
10,4.340937574375248,0.3066744023104081,0.017308235588695764,-0.014579178674324123,-0.2691551194965971,0.2399967621479493,0.0003775882000242433
11,4.335518448827264,0.28977069816484946,0.01848776584878272,-0.02355798781270213,-0.17595892501671617,0.1288429493913119,0.00015339288250570737
12,4.334714219247528,0.27086664477648925,0.019723578782969382,-0.009653892071195713,-0.005489452475013756,-0.01381833166737767,1.952209936967315e-06
13,4.339015320530365,0.25110393262799213,0.021012067365122438,0.005514567631730749,0.13994329931256821,-0.12891416404910583,0.0001272092639853029
14,4.348028122499805,0.2314976022606155,0.022356816463698668,0.008210839149784821,0.18339695014732227,-0.16697527184775351,0.00023021877445114454
15,4.361149793465017,0.21262488595761958,0.023757093556895714,0.011149791693562783,0.1928207522565346,-0.17052116886940905,0.0002643158120927646
16,4.377757346508545,0.1946961099780667,0.0252134068071779,0.008785235941574765,0.1762946191332957,-0.15872414725014572,0.00023777028074712845
17,4.397386363434881,0.1777419794211547,0.026725766168814037,0.011742090607518296,0.16010044947398772,-0.136616268258952,0.00019976470330386332
18,4.419710894121776,0.16170400859176476,0.028294234150998677,0.010651732253729396,0.14035224541346336,-0.1190487809060059,0.0001618675534053722
19,4.444506341079064,0.14649081311727227,0.029918440194406024,0.01224435085449782,0.12498510693575637,-0.10049640522675984,0.00013124472216333914
20,4.471628925319379,0.13200803378944154,0.03159823439151509,0.009974323085927939,0.10830836402544719,-0.08835971785359042,0.00010499087380166473
21,4.500986444607815,0.11816623729468609,0.0333329760684057,0.00958612406119741,0.09561934443322495,-0.07644709631082947,8.530348939109422e-05
22,4.532528486775041,0.10489271491185806,0.035122162840539914,0.007438630338932661,0.0831831225877524,-0.06830586190988663,6.911137567412117e-05
23,4.566230008911409,0.09212663465792764,0.03696492642003635,0.0074204911169637455,0.07444631571891702,-0.059605333484989975,5.738992397618237e-05
24,4.602086403796677,0.07982302070767489,0.03886040147576715,0.007283888344812084,0.06696249439647861,-0.052394717706854665,4.819597961625738e-05
25,4.640103616345325,0.0679416776452815,0.04080747242646392,0.008236929438323548,0.06163732827848878,-0.04516346940184168,4.155756295633007e-05
26,4.6802966156259735,0.056450328205037315,0.04280493209906138,0.009277493594756159,0.057308724147344,-0.03875373695783191,3.660128135832e-05
27,4.722684037826614,0.045313981880540005,0.044851397669802166,0.009531538531445838,0.05292028233676649,-0.03385720527387459,3.222025390665889e-05
28,4.767288321294339,0.03449969730492658,0.04694534967887229,0.009446342988500778,0.048794869890465886,-0.02990218391346433,2.841769074099523e-05
29,4.814135178589147,0.023978878678096553,0.04908512077867524,0.008869072562147196,0.04468985783696522,-0.02695171271267105,2.485523264211687e-05
30,4.863251409246065,0.013722037153918346,0.051268911546715076,0.007312353672219829,0.040024692826402086,-0.025399985481962206,2.1028946918499455e-05
31,4.91466620865113,0.003708997600710945,0.053494769879447006,0.006662471063068942,0.036630671402518855,-0.023305729276381082,1.8388980383327865e-05
32,4.968409151347572,-0.00607787221857685,0.05576063309179452,0.005189361756139932,0.0327208814437151,-0.022342157931435347,1.559017121538382e-05
33,5.0245095709160355,-0.015652788336204294,0.05806428904936471,0.004862387895756548,0.030216410897079604,-0.020491635105566508,1.3814557531615376e-05
34,5.082997464081059,-0.02501925932085578,0.06040342048935375,0.005298069332781985,0.028702291720083983,-0.01810615305451979,1.2724307540519866e-05
35,5.143900869871346,-0.03418242676109883,0.06277558401497788,0.006239181150249462,0.02788735646019258,-0.015408994159693878,1.2250145451956162e-05
36,5.207245552565784,-0.043150425778606644,0.06517822957230963,0.00719329535582236,0.02725518296121565,-0.012868592249570932,1.2116846412663908e-05
37,5.273054267419854,-0.05193930493225224,0.06760870473447865,0.007243974928966224,0.025865376940133245,-0.011377427082200797,1.1362366946358753e-05
38,5.341347893562839,-0.060564048115415985,0.0700642573371073,0.007419003098944166,0.024730085219440978,-0.009892079021552647,1.0855251221850375e-05
39,5.412145598670363,-0.06903609088181165,0.0725420487605657,0.0072131958065922985,0.023330516257591305,-0.008904124644406708,1.0055744940258797e-05
40,5.485463160012078,-0.07737560728739296,0.07503915914832392,0.005791863638252015,0.020816484814836778,-0.00923275753833308,8.163667573716251e-06
41,5.56131444956498,-0.0855978209745013,0.07755259158268797,0.004726774271023193,0.018751561359839797,-0.009298012817793189,6.817437329066747e-06
42,5.639711593664221,-0.09370994018234632,0.0800792884019654,0.003594964587489813,0.016701941488991512,-0.009512012314011942,5.620609222508972e-06
43,5.720664291481004,-0.10171481281668143,0.08261613013903933,0.003335153417498904,0.015597785839450429,-0.008927479004452787,5.060014876364243e-06
44,5.80417976732385,-0.10961025056407701,0.08515995120877995,0.00360493964189601,0.01508882981305959,-0.007878950529267625,4.850327684201617e-06
45,5.890261742529061,-0.11739858465747953,0.0877075444277024,0.004008790008443008,0.014772357601291586,-0.006754777584405514,4.796596362456892e-06
46,5.97891092677156,-0.12508113789447028,0.09025566992040092,0.004992480636988095,0.015089210598206282,-0.005104249324230037,5.31661687800325e-06
47,6.0701246346114015,-0.1326625625630926,0.09280106556748738,0.00560903146832914,0.015086898973324492,-0.003868836036666101,5.698408427960114e-06
48,6.163896439193867,-0.14015495747022058,0.09534045298545973,0.005792813114857909,0.014695715430676715,-0.003110089200960897,5.718257262071341e-06
49,6.2602168277325845,-0.14757032504200226,0.09787054733570075,0.005628684521152172,0.013997316183425479,-0.0027399471411213017,5.385498604340742e-06
50,6.359072894679077,-0.15492445579788805,0.1003880660052618,0.0045592891105502575,0.012430446660912864,-0.003311868439812571,4.159963424437022e-06
51,6.4604488729564995,-0.16222953599706513,0.10288973498148615,0.003606890417165942,0.011015539246446215,-0.003801758412114331,3.221033561724482e-06
52,6.564326350723764,-0.16949086237641953,0.10537229917239813,0.00260695929901833,0.009584639574831022,-0.004370720976794473,2.4262580371425905e-06
53,6.670683878077676,-0.17671168142714422,0.10783252843169044,0.0019343169787280345,0.008510076109952136,-0.0046414421524960114,1.9577123021587393e-06
54,6.7794973370811835,-0.18388774259723464,0.11026722590257537,0.0020861807654100617,0.008286563940739955,-0.004114202409919998,1.8929648946262829e-06
