panel_index,mid_xi,mid_eta,panel_length,kinematic_residual_midpoint,kinematic_residual_left,kinematic_residual_right,kinematic_integral_panel_linear_exact
0,4.430316601878418,0.4167141841499077,0.0020659728777454676,-0.1322203911494122,-0.27340982714079676,0.00896904484197214,4.984583253331049e-05
1,4.4283853945043194,0.4159231144776703,0.0021079237330585278,0.008626973338844657,0.007805746397580693,0.00944820028010862,1.5735539696091407e-07
2,4.42641540485055,0.41511519501113725,0.002150523616660348,0.009209327276265,0.007059868443005879,0.0113587861095239,1.857015134996235e-07
3,4.424406288789246,0.4142895490310594,0.00219377817701749,0.007510952148181982,0.007673554204382871,0.007348350091980649,1.2378001843557854e-07
4,4.422357749460171,0.41344517412139703,0.002237693026874828,0.0027967139843387834,0.002081826977653467,0.0035116009910240997,1.7883561191096452e-08
5,4.420269607708359,0.4125807755639995,0.0022822737415181802,-0.0017830511757974676,-0.004050378673724486,0.000484276322129773,1.116685234208278e-08
6,4.418141808710567,0.4116947580882593,0.002327525856919333,-0.0055233135046046655,-0.009615628070959392,-0.0014309989382499388,8.399886791305204e-08
7,4.41597437416462,0.4107853517718588,0.0023734548680333207,-0.008000461741197729,-0.01420662612522916,-0.0017942973571660747,1.8239101958378397e-07
8,4.413767438877053,0.40985053771053903,0.0024200662267737905,-0.00860369634066327,-0.017731217110784403,0.0005238244294580863,2.4634855027519546e-07
9,4.411521358019627,0.40888781559942733,0.0024673653405135935,-0.006840700993884674,-0.01952782370050743,0.005846421712738303,2.478457404727565e-07
10,4.409236714194927,0.4078942201321557,0.002515357569743274,-0.002019368812915312,-0.01863727613190913,0.014598538506078063,2.417999773544481e-07
11,4.40691425651547,0.4068665024800704,0.0025640482269171675,0.005166866180215335,-0.014504208738312263,0.024837941098742933,3.991716320759568e-07
12,4.404554572487781,0.4058018898136694,0.0026134425756211867,0.012062344704863559,-0.0064819464761627366,0.030606635885889855,6.798358754171675e-07
13,4.40215741538163,0.4046995259478121,0.00266354582445074,0.016280868653775205,0.0017460218684210993,0.03081571543912931,8.935857290959286e-07
14,4.3997218261185225,0.4035600910979874,0.0027143631315846416,0.015195388596453974,0.005062677788361114,0.025328099404547055,7.196422066015593e-07
15,4.397246670180909,0.40238456250500954,0.0027658995965668455,0.010006586879220736,0.00278164155100713,0.017231532207433675,3.2508095344407e-07
