iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,accepted_time_step,maximum_displacement_ratio
0,0.0,1.534321212778016,5.671502656482796,0.002996479125312762,3.205942934111482,,
1,3.204040619765228e-05,1.5270471508005738,5.672104936193792,0.0026137411699605115,2.5854205846705423,3.204040619765228e-05,0.02000938240996334
2,6.394511217304617e-05,1.519068841936655,5.672770593902,0.002232173654771347,2.5731119998789436,3.1904705975393885e-05,0.019998738142399258
3,9.57619357778639e-05,1.5114611665311017,5.67344345420611,0.0018514703301658736,2.5607387170813416,3.181682360481772e-05,0.019997122220372546
4,0.00012749747119413809,1.504162155378783,5.674123446628437,0.001471677620614739,2.54831026308512,3.173553541627419e-05,0.019994920585895033
5,0.0001591601125848551,1.4971104662826114,5.674810500006264,0.001092844827155935,2.5358385253470925,3.1662641390717037e-05,0.019992057233262812
6,0.00019076039309619649,1.490247093862336,5.675504571403259,0.000715022159018044,2.5233373696258847,3.1600280511341364e-05,0.019988477138975284
7,0.00022231116309122804,1.4835163398658004,5.676205661238468,0.0003382603251717274,2.5108228339678007,3.1550769995031556e-05,0.01998413074295749
8,0.00025382775859529377,1.4926420118510995,5.675444935930451,0.0004976860663533931,2.5225962173095,3.15165955040657e-05,0.018191357439307002
9,0.0002853292679628901,1.4857042219028995,5.676151233808401,0.00012117441714116473,2.510120011170617,3.150150936759636e-05,0.01998124389384487
10,0.0003168064851742751,1.4947457041163128,5.675395750402843,0.0002776341021380296,2.5216596159423044,3.1477217211385e-05,0.018035673606568523
11,0.0003482645179626575,1.5042751411904576,5.674636404298555,0.0004373099706305312,2.5332891929570502,3.145803278838241e-05,0.0180866069592649
12,0.0003797059262671001,1.4968113696337468,5.675345159305329,6.023619335955097e-05,2.5208923569920296,3.1441408304442624e-05,0.019980240760561426
13,0.0004111266201822441,1.5062473413771653,5.674590545700116,0.000216918130902401,2.5322903579392757,3.142069391514398e-05,0.017931797197901955
14,0.0004425269171170716,1.5161916242874294,5.673832097639157,0.0003768034763924903,2.54377800931764,3.140029693482748e-05,0.017982508824481887
15,0.0004739094522727974,1.526681377434814,5.673069202158245,0.0005399669082423991,2.5553561732010124,3.1382535155725803e-05,0.01803618436818909
16,0.0005052772901025587,1.5183249231743916,5.673777871045143,0.00016151540830243024,2.5430764356221425,3.136783782976126e-05,0.019981483454207468
17,0.000536620250500698,1.528712639156541,5.673019703248371,0.00032167774943973805,2.554427490555042,3.134296039813936e-05,0.01788108539642038
18,0.0005679448214949248,1.5396724650811953,5.67225757940147,0.00048511065487923794,2.565867246122299,3.132457099422682e-05,0.017934790211484274
19,0.0005992536942906315,1.5307144463035551,5.672968626293296,0.00010611502086966362,2.55366733598029,3.130887279570668e-05,0.019980563830678
20,0.000630540951179197,1.5415640493996543,5.672211194378401,0.00026652281869271995,2.564880822655294,3.128725688856546e-05,0.017780627532124733
