iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,root_measured_s_lambda,root_relative_mismatch,root_body_eta,root_resolution_ratio,bem_condition_number,accepted_time_step,maximum_displacement_ratio,kinematic_integral,kinematic_convergence_integral,provisional_matching_surface_shift_panels,final_matching_surface_shift_panels,provisional_matching_surface_root_displacement_ratio,final_matching_surface_root_displacement_ratio,provisional_matching_surface_trigger_code,final_matching_surface_trigger_code,rk2_rejected_attempt_count,jet_point_count,shallow_jet_panel_count_per_side,boundary_panel_count,jet_tip_thickness,jet_tip_s_lambda
0,0.0,0.011185707700860355,8.210744313009895,0.15235219111164,2.0019133361734327,2.0019208581877908,3.7574125823200335e-06,0.5539875895316047,9.25924344819682,48600.27493618865,,,0.002213914404835617,0.0051138385451918195,,,,,,,,514.0,256.0,680.0,7.211562789171243e-05,0.0042987228383469175
1,0.0006814279023586766,0.011153542043903572,8.21085008632514,0.15234911856739988,2.0019069842081705,2.0018644983152463,2.1222710774956576e-05,0.5539961318712312,9.259003889796904,48602.3873587383,0.0006814279023586766,0.0031336850920433883,0.0022048527462724997,0.005107851428893383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.224862726414724e-05,0.004306816260249616
2,0.0013580752645950874,0.011123089762504635,8.210957476430732,0.1523452502756119,2.001895202559041,2.001848165694614,2.3496167215370263e-05,0.5540067166212623,9.25878700921044,48604.42429051864,0.0006766473622364108,0.0031225848393811886,0.0021960565550799283,0.005101819670978146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.291635405744992e-05,0.004346821077964869
3,0.002034589527885839,0.01109496352497011,8.211068605968805,0.1523406044294286,2.001886242532093,2.0018668710508436,9.676614403826635e-06,0.5540192533955857,9.258522820778884,48606.19692049893,0.0006765142632907514,0.0031127962889502033,0.002187442911230074,0.005095669168596776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.358186524392433e-05,0.004386712927745768
4,0.0027039407457633948,0.011070789282060341,8.21118150420037,0.1523352907684996,2.0018858926124103,2.00191591514407,1.4997124346916224e-05,0.554033423875006,9.25821745292832,48607.70207405406,0.0006693512178775558,0.003220936645292722,0.002179217705963668,0.005089577026670089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.423726830783591e-05,0.004426004835240459
5,0.003336732810251742,0.011053022115635306,8.211290152298728,0.1523296666048418,2.001897591375876,2.001986598973694,4.446161392140066e-05,0.554048280684251,9.257891641244203,48608.909247595635,0.0006327920644883469,0.0031966698358301157,0.002171951667248012,0.005084046424131448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.485341069622724e-05,0.0044629375368939695
6,0.003943447880503417,0.011042622346589358,8.211395334542972,0.15232378047216813,2.0019225597682584,2.0020734922801915,7.539378144106205e-05,0.5540637153402708,9.257549090277877,48609.88268476039,0.0006067150702516753,0.003178730735969154,0.002165772080441841,0.005079274991311026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.544482214090706e-05,0.004498373390188613
7,0.004531334142080463,0.011040905826568333,8.211497468626115,0.1523176694842045,2.0019609503058327,2.0021730001933884,0.00010592109078019176,0.5540796500974376,9.25719223383592,48610.663554812,0.0005878862615770468,0.0031647365725681084,0.0021609034123341803,0.005075535373103072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.601857465233071e-05,0.004532732600136865
8,0.005105738565406039,0.011049480971950482,8.211596751197023,0.1523113634749698,2.0020123198017257,2.002282621049918,0.00013501477764079484,0.5540960262845924,9.256823018447001,48611.280275996694,0.0005744044233255755,0.003153358426074967,0.002157644942907097,0.005073161814305125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.657960829688171e-05,0.0045663097085356106
9,0.005670817036246509,0.011070222451056544,8.211693226314525,0.15230488736303316,2.002075907278382,2.0024005358015144,0.00016214596157542357,0.5541127977584643,9.256443063344605,48611.75330626613,0.0005650784708404697,0.003143794276423088,0.0021563621279898377,0.005072546352350398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.713154063081055e-05,0.0045993212290771765
10,0.006229946119599857,0.011105261066235285,8.211786821481969,0.15229826260892715,2.0021507988348897,2.002525365215005,0.00018708200218140304,0.5541299269258866,9.25605375819737,48612.097969425085,0.0005591290833533481,0.003135530632299825,0.0021574849767622356,0.005074140038009942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.767713579155638e-05,0.0046319332456275985
11,0.006785978053403749,0.011156980473402373,8.211877367414896,0.1522915081696598,2.0022360245917876,2.0026560188749642,0.00020976262439502137,0.5541473821652989,9.255656327009797,48612.32621457917,0.0005560319338038924,0.0031282236141875865,0.0021615106341828375,0.005078457310950687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.821859443905924e-05,0.004664278464710493
12,0.007341407321677559,0.011228015647825369,8.211964608526245,0.1522846411560582,2.0023306139774117,2.0027915974444706,0.00023022345253120461,0.5541651360580573,9.25525187202638,48612.44775822486,0.0005554292682738096,0.003121635111874501,0.002169008902212145,0.005086082723119573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.875773992630528e-05,0.0046964671801704985
13,0.007898484399571868,0.011321249918329997,8.212048205622164,0.152277677305564,2.002433625211571,2.002931327130962,0.00024854852272002836,0.5541831641094934,9.25484140522051,48612.47085804472,0.0005570770778943082,0.0031155965914812954,0.0021806301295291316,0.005097679681553877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.929614169489785e-05,0.004728594552469398
14,0.008459296290562527,0.011439808306132167,8.212127736324957,0.15227063133566612,2.0025441587702053,2.0030745143214914,0.00026484087702306156,0.554201443775169,9.254425871755355,48612.402857320114,0.00056081189099066,0.0031099878100917383,0.0021971152303319657,0.005114001106757535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,7.983519914299476e-05,0.004760745567264193
15,0.009025825091488361,0.011587045383963792,8.212202690346206,0.15226351721734196,2.0026613609719557,2.0032205131102536,0.0002792045371198261,0.5542199536806394,9.254006168060696,48612.25058675214,0.000566528800925835,0.0031047241002420322,0.002219307733861597,0.005135901990146172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,8.037619949862558e-05,0.004792998475974528
16,0.009599991099729345,0.011766526326271376,8.212272464449587,0.15225634839285743,2.0027844215687947,2.0033687013063086,0.0002917337139342683,0.5542386729648132,9.253583156159097,48612.02067641563,0.000574166008240983,0.0030997489048450256,0.0022481678360124976,0.005164353869499471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,256.0,680.0,8.09203584416655e-05,0.004825427201226342
