outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,tau_mid,s_tau_element,s_tau_element_identity_residual,s_tau_recovered,s_tau_recovered_identity_residual,node_pseudo_tangential_residual_left,node_pseudo_tangential_residual_right,node_pseudo_normal_residual_left,node_pseudo_normal_residual_right,s_nu_left,s_nu_right,k_contribution_linear_exact,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected,k_contribution_weak_projection_error,s_nu_endpoint_jump_to_next,s_nu_continuous_normal_left,s_nu_continuous_normal_right,k_contribution_continuous_normal_exact
0,4.322823004205357,0.40835550594285436,0.005462028540049337,0.0027310142700246683,0.00017350532656838818,-0.13625804541133046,0.00010140941436037703,0.04243313546421372,0.04243313546421372,4.262459900361332,-4.262459900361316,1.5987211554602254e-14,-4.262459900361315,1.687538997430238e-14,0.01650704597112096,-0.0007826093497316222,0.11801685920628358,-0.04262996983425382,-0.3624423301995745,0.08992623937691313,0.00019455398912444964,-0.3675897048450977,0.1002209886679594,0.00019722699397649993,1.4471899006128633e-07,0.0326772156477686,-0.36244233019957495,0.1355072892389504,0.0001831838572467797
1,4.3252802021091785,0.4033147351739858,0.005754170770944202,0.008339113925521438,0.0005297960910784701,0.05362403994599241,1.6546334754665818e-05,0.006923547172709969,0.049356682636923686,4.268068000016829,-4.268068000017079,-2.504663143554353e-13,-4.26806800001708,-2.5135449277513544e-13,-0.0007826093497316222,0.0014961726568731848,-0.04262996983425382,0.04163281328001389,0.12260345502468173,-0.01535537513269869,2.5672755919893152e-05,0.1002209886679594,0.01475143827597588,2.2518477827543544e-05,1.4069528238330566e-06,0.07692566486261443,0.07701026591990678,0.0829802875100103,3.6839434930583286e-05
2,4.328046321755421,0.3980986270953527,0.006057294342184189,0.014244846482085634,0.0009049959086330585,0.023990680086471095,3.486292301184016e-06,0.0014587828400061055,0.05081546547692979,4.273973732573394,-4.273973732572984,4.0945025148175773e-13,-4.273973732572983,4.1033842990145786e-13,0.0014961726568731848,0.001566254564916214,0.04163281328001389,0.04973020008506013,0.06157028972991574,-0.013588929556974882,6.337717296581964e-06,0.01475143827597588,0.04411078760082762,5.681871465819374e-06,5.693508841547738e-06,0.1235227810075461,-0.03677762324571576,0.12567126538335227,2.5287124335926632e-05
3,4.331262098892122,0.3927757181702728,0.006387076917650466,0.020467032112002962,0.001300300452273611,0.06954784465763542,3.089366956588071e-05,0.012926958250809872,0.06374242372773967,4.280195918203311,-4.280195918203555,-2.4424906541753444e-13,-4.280195918203554,-2.433608869978343e-13,0.001566254564916214,0.001495323204363963,0.04973020008506013,0.08999085789009853,0.10993385145057122,0.0291618378647005,3.436617328482288e-05,0.04411078760082762,0.09576838925915218,3.266301112428254e-05,9.33548178716686e-06,0.12965254950187832,-0.029377422685552546,0.15859851167325068,4.547025068301711e-05
4,4.334999356960539,0.3873849258867561,0.006738020526181043,0.027029580833918716,0.0017172287604170417,0.10472936839675251,7.390423033111824e-05,0.030924034388705578,0.09466645811644525,4.286758466925226,-4.286758466925443,-2.1671553440683056e-13,-4.286758466925443,-2.1671553440683056e-13,0.001495323204363963,0.0014090986895149982,0.08999085789009853,0.10826332419689644,0.15881438736657882,0.05064434942692575,8.047422546150624e-05,0.09576838925915218,0.11285625496597508,7.348076507422811e-05,8.810876837107544e-06,0.11888245923064966,0.02929185154436187,0.1587661287008335,6.898666179422758e-05
5,4.339246380968478,0.3819292547356484,0.00709410594283248,0.03394564406842548,0.0021566163620277356,0.10651695031894315,8.04887378556508e-05,0.03367921546844952,0.12834567358489476,4.293674530159734,-4.293674530159954,-2.2026824808563106e-13,-4.293674530159954,-2.2026824808563106e-13,0.0014090986895149982,0.0012369211195428775,0.10826332419689644,0.09897096641545522,0.1695268086575754,0.043507091980311774,8.987717756398109e-05,0.11285625496597508,0.09855121775918009,7.938540586399383e-05,7.382661901768246e-06,0.10790677107632396,0.06133507504408087,0.13503192232259797,7.159798443539262e-05
6,4.34397370892791,0.3764053930534174,0.007450261820367878,0.041217827950025654,0.0026186288286381755,0.08665442780825616,5.59439404543705e-05,0.0234088404777312,0.15175451406262597,4.300946714041334,-4.300946714040933,4.014566457044566e-13,-4.300946714040933,4.014566457044566e-13,0.0012369211195428775,0.0011282839055590799,0.09897096641545522,0.08001779697409317,0.15141386305663573,0.021894992559877036,6.63588711870947e-05,0.09855121775918009,0.07675619045289231,5.753656245540076e-05,7.212107389975314e-06,0.1102494164912966,0.05984480710247331,0.11022098615744325,5.5445395768100036e-05
7,4.349176206405266,0.37081703813110617,0.007823275073846003,0.0488545963971326,0.0031038038853508907,0.06882060920405308,3.705319193899472e-05,0.015504311141581758,0.16725882520420773,4.308583482488441,-4.308583482488262,1.7852386235972517e-13,-4.308583482488262,1.7852386235972517e-13,0.0011282839055590799,0.0010138551541247764,0.08001779697409317,0.06468390627040854,0.13214440905117364,0.005496809356931642,4.751005163707621e-05,0.07675619045289231,0.06212456531935518,3.786313717925309e-05,8.18326823674195e-06,0.11292847091956748,0.04378598225009167,0.09150516627812344,3.728325497892762e-05
8,4.354872087413089,0.3651745615581248,0.008214950055125412,0.05687370896161831,0.0036132698224428965,0.05622340322049624,2.5968040958242233e-05,0.01086590832489693,0.17812473352910466,4.316602595052926,-4.316602595053139,-2.1316282072803006e-13,-4.316602595053139,-2.1316282072803006e-13,0.0010138551541247764,0.0009117234139033314,0.06468390627040854,0.05402449146521393,0.11842528027649912,-0.005978473835507092,3.656278950438442e-05,0.06212456531935518,0.0515146778257433,2.6598777720326092e-05,8.867566085119328e-06,0.11460682918411624,0.03239227448401172,0.07745273456469404,2.6170245289525293e-05
9,4.361080086166915,0.35948956990417047,0.008623671328028451,0.06529301965319523,0.004148160931235815,0.047751674373119,1.966388857928986e-05,0.008228037338555335,0.18635277086765997,4.325021905744503,-4.325021905744405,9.769962616701378e-14,-4.325021905744405,9.769962616701378e-14,0.0009117234139033314,0.0008202736458464699,0.05402449146521393,0.04749412517799234,0.10862835534860915,-0.013125006602370703,3.0316911813625105e-05,0.0515146778257433,0.04519817966896111,2.019378421986961e-05,9.579503432565635e-06,0.11597432299303057,0.025178008613193636,0.06795735394391844,2.0016015211994705e-05
