panel_index,mid_xi,mid_eta,panel_length,kinematic_residual_midpoint,kinematic_residual_left,kinematic_residual_right,kinematic_integral_panel_linear_exact
0,4.313993117111163,0.4233973942266177,0.005467688476507456,0.4756856389691686,0.5462966299702563,0.40507464796808,0.0012462983381067657
1,4.316080706538642,0.41818600193609257,0.0057607633540556,0.3336086227648707,0.42832325712619035,0.23889398840355014,0.0006583688428205534
2,4.318445118831527,0.412768450232467,0.006063821011475552,0.234348298185572,0.2943784673101968,0.17431812906094812,0.0003403036479332766
3,4.321215452306165,0.40719404188611363,0.006391055168017316,0.20544992093186387,0.26381628739218055,0.14708355447154808,0.0002770216555764478
4,4.324449850249783,0.40148158288901226,0.006742249886345304,0.16335762573811685,0.23662847839470658,0.09008677308152668,0.00019198727244775461
5,4.32812059204633,0.39561305358861126,0.007104160303230374,0.0807859644782547,0.16326210532115848,-0.0016901763646499646,6.247263586496209e-05
6,4.332192339304889,0.38957305530831365,0.00746616197630424,-0.013900610077838937,0.06352111957184947,-0.09132233972752646,1.6360364567939055e-05
7,4.336697243438898,0.3833929395180893,0.00783270987694435,-0.05992103788551706,0.002872021369300093,-0.12271409714033377,3.841829480535071e-05
8,4.341737360841073,0.37715356289057117,0.008215270982835903,-0.03756682410382606,0.015106279139680101,-0.09023992734733177,1.9191570287150938e-05
9,4.347410488604108,0.37093439091877867,0.0086290830937068,0.021599140705253816,0.07692700280604248,-0.033728721395533956,1.2830701474280915e-05
10,4.353739873269889,0.3647562555772557,0.00906674000960955,0.05390406598434527,0.11771596313230237,-0.009907831163612268,3.8651220127299784e-05
11,4.360677991104877,0.35858541365885277,0.00950757666402866,0.04342229490455951,0.11074862095882132,-0.0239040311497023,3.229191769158442e-05
12,4.368174832925581,0.3523884435277611,0.009948023530313944,0.013092072184951231,0.07811110875193839,-0.05192696438203592,1.572345529462183e-05
13,4.376229224687144,0.34616999524494274,0.010406069339814342,-0.0020115727851064413,0.05849755775140597,-0.06252070332162019,1.2742211626887502e-05
14,4.384877758326998,0.3399651816618604,0.010885614071539648,0.0017644907451384029,0.059022354775534414,-0.05549337328525805,1.1929919202228446e-05
15,4.394153067980078,0.3338051605246356,0.011387002581756256,0.013882937029677578,0.06934651487110033,-0.04158064081174473,1.387094923800958e-05
16,4.404068086346797,0.3276987964170396,0.01190516134524749,0.020485755506601144,0.07473623676127916,-0.03376472574807554,1.6675612086913376e-05
17,4.414618640483308,0.32163645369898786,0.0124337958797276,0.0179543465780454,0.07048876785401736,-0.034580074697926566,1.544667497240898e-05
18,4.425800500777102,0.3156088304876561,0.012974328404301847,0.011893348472426624,0.06207884843098066,-0.03829215148612741,1.2727555033554799e-05
19,4.437622343214894,0.30961916744628604,0.013532995591504745,0.009414656425039247,0.057161522218133864,-0.038332209368054926,1.1483515703607542e-05
20,4.450100097649978,0.30367791586900483,0.014109046922531168,0.009759087834975588,0.05530059127005016,-0.03578241560009898,1.1097931382036488e-05
21,4.463247923063303,0.2977930449285635,0.014702365012992475,0.011301866612978273,0.05479039866996027,-0.03218666544400417,1.1146593071492574e-05
