iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,root_measured_s_lambda,root_relative_mismatch,root_body_eta,root_resolution_ratio,bem_condition_number,accepted_time_step,maximum_displacement_ratio
0,0.0,0.3515028157745688,6.732439993362734,0.06005010207466507,2.785644593773047,2.8043200603236262,0.006704181356202323,0.3572450744540412,5.385674507399291,59686.39385279049,,
1,0.0002554877799999966,0.35555612467271686,6.736980082435765,0.07015424427705258,2.769112442795362,2.606738672488698,0.058637478130989476,0.357447777211652,6.327909875475432,115193.14408225306,0.0002554877799999966,0.0993944924468601
2,0.0005121651313812839,0.35449757870835663,6.738284827528763,0.06943943797122122,2.7398535637347514,2.6245164735655258,0.042096078307195105,0.3576857270893439,6.266142058430102,60277.66264350643,0.0002566773513812872,0.09955272975344892
3,0.0007692499035428185,0.3534731991639237,6.739600749644298,0.06872610227897324,2.719493376060481,2.64133206309022,0.028741130115745014,0.3579269624166832,6.201912765995141,60258.53670078557,0.00025708477216153467,0.09953981617268566
4,0.0010265863003022417,0.3524837286138496,6.7409269263076865,0.06801626264349608,2.7061587731067425,2.657283407876778,0.018060789971260278,0.35817140210503107,6.13798320205334,60243.405877834935,0.0002573363967594233,0.09952787491054554
5,0.0012841673751413916,0.3515273277059614,6.742262075970877,0.06731119546479761,2.6983566264437697,2.672516506239965,0.00957624353674114,0.35841909857255483,6.074490614330146,60232.13157198478,0.00025758107483914985,0.09951637848557696
6,0.0015419872298373153,0.35060175142427397,6.743605027651403,0.06661192013643236,2.694904923901651,2.6871638326618097,0.0028724914082066304,0.3586700898838253,6.01152751493514,60223.9519295081,0.00025781985469592374,0.09950503479059224
7,0.0018000408498753972,0.34970471686009996,6.744954757370372,0.06591925622957097,2.6948707158375718,2.7013395561901308,0.002400426972077762,0.35892439931366593,5.949167901116716,60218.26009679224,0.00025805362003808186,0.09949366203747945
8,0.002058324375695649,0.34883407243589387,6.746310394228822,0.06523386627882086,2.697519206586923,2.715138865057453,0.006531800933059332,0.35918203688967854,5.887471381323864,60214.578056297636,0.0002582835258202517,0.09948214293906413
9,0.002316835174597935,0.34798786417725397,6.747671209643519,0.0645562891589122,2.7022725125717515,2.728639224354831,0.009757236422460697,0.3594430013032155,5.826486240824049,60212.529224941165,0.000258510798902286,0.09947039930474456
10,0.002575571811455006,0.35142560442409654,6.75222320618337,0.07456223713901919,2.6885946802474314,2.544702704322217,0.05351940066770199,0.35963596502199535,6.73032289420977,115378.8633585186,0.0002587366368570712,0.09903334024165066
11,0.0028358619595172728,0.3502971462069093,6.753473288222829,0.07378779148334372,2.6628558268186406,2.5624535593858853,0.037704732799112024,0.35985353835240597,6.660013730237344,115283.99319020192,0.00026029014806226665,0.0997113524205411
12,0.0030962034416665007,0.349209882336311,6.754737018547101,0.07301600477008797,2.6453342081326694,2.579163502540106,0.025014119346104546,0.36007425210691135,6.590324044865019,115230.55655908161,0.00026034148214922813,0.09969765495029008
13,0.0033566643371705607,0.3481620376532673,6.756012356189477,0.07224811379294907,2.6342787611601532,2.5950120211794734,0.014906068620993832,0.3602982801304715,6.520997043339849,115187.2199807456,0.0002604608955040601,0.09968453269923548
