outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,tau_mid,s_tau_element,s_tau_element_identity_residual,s_tau_recovered,s_tau_recovered_identity_residual,node_pseudo_tangential_residual_left,node_pseudo_tangential_residual_right,node_pseudo_normal_residual_left,node_pseudo_normal_residual_right,s_nu_left,s_nu_right,k_contribution_linear_exact,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected,s_nu_continuous_normal_left,s_nu_continuous_normal_right,k_contribution_continuous_normal_exact
0,4.3187318012815155,0.41899804033900134,0.005698881327770525,0.0028494406638852627,0.00014426372881885374,0.021668848577027333,2.6758470320901453e-06,0.0008549729679392791,0.0008549729679392791,4.251217414326154,-4.251217414326432,-2.779998453661392e-13,-4.251217414326431,-2.7711166694643907e-13,0.026233556779561518,-7.703817912130262e-05,0.26391782930604224,0.051340118768744114,-0.09659915481157633,0.139936851965631,2.9246540478208156e-05,-0.09924454374494505,0.14522762983236845,3.1396075779647926e-05,-0.09659915481157633,0.1803425287279654,4.6415277029696744e-05
1,4.32078581047711,0.41354327241448063,0.005958993519769191,0.008678378087655121,0.00043937576903878067,0.0805824203022274,3.869488210610639e-05,0.012363590968231315,0.013218563936170593,4.257046351749924,-4.2570463517500645,-1.4033219031261979e-13,-4.257046351750065,-1.412203687323199e-13,-7.703817912130262e-05,0.0021500507281508874,0.051340118768744114,0.06023960044267196,0.16143925019429073,-0.00027440958983504515,5.1681171562769635e-05,0.14522762983236845,0.02455908084461019,5.017645358546355e-05,0.12101997463502134,0.11275340468035067,8.14486729222275e-05
2,4.323138425360826,0.4079246934587283,0.006227778158424804,0.01477176392675212,0.0007478765121570902,0.03408789222816111,7.236581045318864e-06,0.0023121953907868104,0.015530759326957404,4.263139737589022,-4.263139737588803,2.184918912462308e-13,-4.263139737588803,2.184918912462308e-13,0.0021500507281508874,0.002245634968075727,0.06023960044267196,0.0540444371954556,0.0680677526668374,0.0001080317894839311,9.633509444041717e-06,0.02455908084461019,0.05511391462220807,1.0367671106869616e-05,-0.04498392756584102,0.15538120384824183,3.9810481130571913e-05
3,4.32596146264179,0.4022223197948372,0.0065064718314629885,0.021138888921696016,0.0010702363371109039,0.06825116903574502,3.0308590714032887e-05,0.009684046003404204,0.025214805330361606,4.269506862583965,-4.269506862583842,1.2256862191861728e-13,-4.269506862583842,1.2256862191861728e-13,0.002245634968075727,0.001768207770874497,0.0540444371954556,0.0674742326161375,0.11310585406028517,0.023396484011204866,3.4672140364280043e-05,0.05511391462220807,0.0757258161479534,2.8076486468920966e-05,-0.042242327020720394,0.14170211859281068,3.443675438773257e-05
4,4.329285151165223,0.3964653966132426,0.006793597722521117,0.02778892369868807,0.0014069195415949115,0.0616809682405024,2.584652680042443e-05,0.008258350146502898,0.033473155476864504,4.276156897360957,-4.276156897361089,-1.3145040611561853e-13,-4.276156897361089,-1.3145040611561853e-13,0.001768207770874497,0.001725969534685845,0.0674742326161375,0.05548561674894348,0.12394044899168222,-0.0005785125106787525,3.462440521117911e-05,0.0757258161479534,0.05115635957120426,2.7684430283526635e-05,0.0055783175113293115,0.11154476253373291,2.965537604107061e-05
5,4.333073509537387,0.3906508257060765,0.007090776281529951,0.03473111070071361,0.0017583940593005767,0.04433764970377574,1.3939240750427886e-05,0.004453794963721972,0.03792695044058648,4.283099084362982,-4.283099084363112,-1.2967404927621828e-13,-4.283099084363113,-1.305622276959184e-13,0.001725969534685845,0.0015417270498785385,0.05548561674894348,0.041828544846914006,0.10591616722780062,-0.01724086782024825,2.2901778276994558e-05,0.05115635957120426,0.039339410032919395,1.459996346202625e-05,-0.006243267219248949,0.09220586222339544,1.8826563107949744e-05
6,4.337335027974966,0.38479577244034935,0.007397339931101744,0.04197516880702945,0.002125151945310604,0.034694613907234384,8.904298164756409e-06,0.0028450558413989323,0.040772006281985414,4.290343142469299,-4.29034314246912,1.7852386235972517e-13,-4.29034314246912,1.7852386235972517e-13,0.0015417270498785385,0.0013746078497431924,0.041828544846914006,0.03377542271278999,0.09691000206372591,-0.027520774249256696,1.844872716472474e-05,0.039339410032919395,0.03163992994369372,9.353617088599315e-06,-0.012562697082306062,0.07745431843621331,1.2782499005169075e-05
7,4.342079299641474,0.3789183433150235,0.007713766394918538,0.0495307219700396,0.00250768044867614,0.028534778980332742,6.28080786966584e-06,0.002006811630480258,0.04277881791246567,4.297898695632309,-4.297898695632595,-2.859934511434403e-13,-4.297898695632594,-2.851052727237402e-13,0.0013746078497431924,0.001221235003869836,0.03377542271278999,0.02876050534569563,0.09112103277358008,-0.03405147481291548,1.6352516226286306e-05,0.03163992994369372,0.02665197414317904,6.568733593030341e-06,-0.013873064817893077,0.06613937684636051,9.383342311604875e-06
8,4.347312110591892,0.37303359960509636,0.008040110036128723,0.05740766018556323,0.0029064802879041397,0.024959510820112385,5.0088050802468415e-06,0.0016003878001736662,0.04437920571263933,4.305775633847833,-4.305775633847906,-7.37188088351104e-14,-4.305775633847906,-7.37188088351104e-14,0.001221235003869836,0.0010838631965084389,0.02876050534569563,0.026465292067492374,0.08725022181927189,-0.03733120017904712,1.5407702972278976e-05,0.02665197414317904,0.02445303403019541,5.252872505890264e-06,-0.01295505813167841,0.058461014906208586,7.579567035196879e-06
9,4.353038433536566,0.3671554480772957,0.008376552852500737,0.06561599162987795,0.0033220581648349965,0.024224562338304167,4.915607656073074e-06,0.001570609835516284,0.045949815548155616,4.313983965292147,-4.313983965291456,6.910028105266974e-13,-4.313983965291456,6.910028105266974e-13,0.0010838631965084389,0.0009584998578144877,0.026465292067492374,0.02654218090330218,0.0857397221249312,-0.03729059744832375,1.5481553763471188e-05,0.02445303403019541,0.02484174617284001,5.0888097211719116e-06,-0.010064449593892633,0.053771931565785636,6.845120397328995e-06
10,4.359262549925937,0.36129639435090855,0.008723227835157669,0.07416588197370716,0.0037549287550620964,0.025382507419191125,5.620128677548857e-06,0.0017957147916229344,0.047745530339778554,4.322533855635976,-4.3225338556362125,-2.362554596402333e-13,-4.322533855636212,-2.353672812205332e-13,0.0009584998578144877,0.0008465641192580975,0.02654218090330218,0.02787016669072706,0.08588497595770406,-0.03511996111932181,1.6264062112642353e-05,0.02484174617284001,0.026491345402312873,5.748592640716923e-06,-0.005188357557667889,0.05082408426593066,6.822474505424396e-06
11,4.3659871143810305,0.3554662826831907,0.009080279066901833,0.08306763542473691,0.004205613748137412,0.02713305709958247,6.684926760959408e-06,0.0021359336332502405,0.0498814639730288,4.331435609087006,-4.331435609087181,-1.7497114868092467e-13,-4.331435609087181,-1.7497114868092467e-13,0.0008465641192580975,0.0007464785548680908,0.02787016669072706,0.02892535423544773,0.08643680964225053,-0.032170695443085595,1.7329844046360127e-05,0.026491345402312873,0.027985843507974822,6.738721669988167e-06,0.00048264190166236176,0.048042587096470246,7.056921946540976e-06
