stage,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number,dipole_coefficient
source,80,0.07074129123517399,-0.0006203766637671112,0.0006203766637671112,26948.19049408465,2.8354182284098486
source,160,0.07155892280985365,0.00044560416976397295,0.00044560416976397295,49185.224919565946,2.8313946951936844
source,320,0.07186288365024524,0.000853856784680348,0.000853856784680348,115231.00469206777,2.828634229047048
candidate_factor_1,80,0.06314394673877752,-0.0025108016045752857,0.0025108016045752857,39734.06341981861,2.838835684418017
candidate_factor_1,160,0.0636007064967867,-0.0014116405695188219,0.0014116405695188219,49309.59984414807,2.8348356247157684
candidate_factor_1,320,0.06373567232587121,-0.0009543021460183373,0.0009543021460183373,115473.30861718702,2.8320851184573996
candidate_factor_0.5,80,0.06656739235459104,-0.0011680389244992215,0.0011680389244992215,27109.55216200837,2.837180926525093
candidate_factor_0.5,160,0.06712436307471506,-1.8812246020256747e-05,1.8812246020256747e-05,49193.52218353263,2.8331732724701895
candidate_factor_0.5,320,0.06731903252339136,0.00039678738416328686,0.00039678738416328686,115259.97023130524,2.8304172460093944
candidate_factor_0.25,80,0.06856502396211765,-0.0007925769465697736,0.0007925769465697736,27028.775252699394,2.836312093362076
candidate_factor_0.25,160,0.06923808160743396,0.0003188399069893703,0.0003188399069893703,49189.171501429926,2.8322972461794884
candidate_factor_0.25,320,0.06948365728512629,0.0007190159755457374,0.0007190159755457374,115245.76431701575,2.8295383299046284
candidate_factor_0.125,80,0.0696313895613894,-0.0006793554940538625,0.0006793554940538625,26987.148695448213,2.8358679015506674
candidate_factor_0.125,160,0.07037495936013667,0.0003964972459855292,0.0003964972459855292,49187.88185948519,2.831848272761148
candidate_factor_0.125,320,0.07064857733472653,0.0008167630848671946,0.0008167630848671946,115238.33573214061,2.8290894226375993
