stage,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number,dipole_coefficient
source,80,0.00914512154424536,-0.00022892248073828965,0.00022892248073828965,44580.26661808752,2.6137257709236916
source,160,0.008594509427444484,0.0006210932619371396,0.0006210932619371396,47980.58248342978,2.60933895551135
source,320,0.008479552283808244,0.0009864795730143865,0.0009864795730143865,112415.56152165834,2.606785481949173
candidate_factor_1,80,0.006166707044518776,-0.000333817103073106,0.000333817103073106,32974.596419602254,2.57521292553299
candidate_factor_1,160,0.0055007219853108,0.00046951440466894633,0.00046951440466894633,47702.1992183078,2.5715476536473516
candidate_factor_1,320,0.005384277054738053,0.0007895061670758361,0.0007895061670758361,111800.70558322658,2.5690369303586484
candidate_factor_0.5,80,0.007455010939077247,-0.0003092224134063139,0.0003092224134063139,26301.372984532423,2.5940723454574726
candidate_factor_0.5,160,0.006837286337716949,0.0005490358448596999,0.0005490358448596999,47789.50874682509,2.590370455721305
candidate_factor_0.5,320,0.006717130978885003,0.0009094576347057916,0.0009094576347057916,112016.82881778039,2.5878394926273716
candidate_factor_0.25,80,0.008248726935823314,-0.0002755662551531736,0.0002755662551531736,26421.657475508622,2.6035554925017945
candidate_factor_0.25,160,0.007661183655947848,0.0006405546185002635,0.0006405546185002635,47831.56688781526,2.5998377889785864
candidate_factor_0.25,320,0.00754275128166443,0.000988521552408725,0.000988521552408725,112124.90437278767,2.597294680875233
candidate_factor_0.125,80,0.008683794890067575,-0.0002536358768809611,0.0002536358768809611,26480.105372584367,2.608310522804726
candidate_factor_0.125,160,0.008113235586332248,0.0006808971664063267,0.0006808971664063267,47853.17691604944,2.6045842256510996
candidate_factor_0.125,320,0.007996257202466106,0.0010291754951581998,0.0010291754951581998,112179.02304733444,2.6020354396394203
