node_index,normal_displacement
0,-2.3400398131921338e-05
1,2.0605308900017907e-05
2,4.6048872360579095e-05
3,4.004631295441473e-05
4,2.5115818980706202e-05
5,-8.901849350387899e-05
6,-0.00030544787815546103
7,-0.0005260686435427995
8,-0.0007220776329486464
9,-0.0008361265790205329
10,-0.0008905670074939422
11,-0.0009408259334974904
12,-0.0009345180207922521
13,-0.0008872118922555242
14,-0.0008648175656517923
15,-0.0008830870719317536
16,-0.0008877660526710265
17,-0.0008621414653724004
18,-0.0008785267469920747
19,-0.0008983548663558361
20,-0.0008994669306419476
21,-0.0009255346526157134
22,-0.0009426979519740128
23,-0.0009677455552602838
24,-0.0009978744311306088
25,-0.001019755479396478
26,-0.0010599969247200858
27,-0.0010850448713319596
28,-0.001121280111554492
29,-0.0011645406875020966
30,-0.0011908831684207546
31,-0.0012439054826542148
32,-0.0012794878277879967
33,-0.0013201644774660513
34,-0.0013803308702305954
35,-0.0014091994928794424
36,-0.0014730410820691393
37,-0.0015318632901340275
38,-0.0015639778850283625
39,-0.001629698082713332
40,-0.001674235746891361
41,-0.00173149783838655
42,-0.0018026877152803411
43,-0.0018501008387274702
44,-0.0019248572511489153
45,-0.0019882162331919637
46,-0.0020618037437081112
47,-0.002155852206494305
48,-0.0022190032339643225
49,-0.0023055254083977333
50,-0.0023919957881943926
51,-0.0024721201296289373
52,-0.002568424271063759
53,-0.002655200738828714
54,-0.0027729642350536408
55,-0.002881107496368345
56,-0.0029875567067993696
57,-0.003123016944445435
58,-0.0032307212650460075
59,-0.003376380938000261
60,-0.0035296352741118744
61,-0.0036622308117061036
62,-0.0038314436142471084
63,-0.003966643479983115
64,-0.004126940775410855
65,-0.004308188413817696
66,-0.0044592926483353525
67,-0.0046680701575644796
68,-0.0048458821904245695
69,-0.00503799812083776
70,-0.005279588806304544
71,-0.005443767826675825
72,-0.005680727052565591
73,-0.005958506962215315
74,-0.0061897995865169714
75,-0.00648551474535123
76,-0.006765435027812359
77,-0.007066069701127874
78,-0.007392778181507541
79,-0.0077189173545375725
80,-0.008071296147935635
