iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,root_measured_s_lambda,root_relative_mismatch,root_body_eta,root_resolution_ratio,bem_condition_number,accepted_time_step,maximum_displacement_ratio,kinematic_integral,kinematic_convergence_integral,provisional_matching_surface_shift_panels,final_matching_surface_shift_panels,provisional_matching_surface_root_displacement_ratio,final_matching_surface_root_displacement_ratio,provisional_matching_surface_trigger_code,final_matching_surface_trigger_code,rk2_rejected_attempt_count,jet_point_count,shallow_jet_panel_count_per_side,boundary_panel_count,jet_tip_thickness,jet_tip_s_lambda
0,0.0,0.3501584675989812,2.6192936312440835,0.012274684399459758,2.1258775764753457,2.4565624148023786,0.15555215501887013,0.33862331759091413,0.67125707846268,25805.636790437227,,,0.5872497583982996,0.5905523360850229,,,,,,,,245.0,122.0,412.0,4.6945175064871886e-05,0.009027544835083542
1,0.0012631272842806047,0.34742418616297266,2.621954185618243,0.012453792827831486,2.134375988991871,2.4517232009220837,0.14868383713410552,0.3402368967454221,0.6809962554835416,44823.46017126744,0.0012631272842806047,0.19863808905748934,0.5813522080554248,0.5848164185855391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,123.0,414.0,4.952534315196233e-06,0.0009357976225489428
2,0.0025301764231218504,0.3447371086687501,2.624598424407341,0.012641998345068002,2.1428718282333756,2.44685736924529,0.14185894695462295,0.3418514983645413,0.6913987575524511,39003.67819961761,0.0012670491388412457,0.1986404567338077,0.5754555228311232,0.5790999039423237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,123.0,414.0,1.3523883285588889e-05,0.002510320050131735
3,0.0038024112014120887,0.34209377339753,2.6272320106536253,0.012839277322671786,2.1513912932036363,2.4419116230454554,0.13503834972261383,0.3434686570751113,0.702302731720424,34657.10191322917,0.0012722347782902384,0.1986439715521746,0.5695425173377451,0.5733853343476815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,123.0,414.0,2.234191758881308e-05,0.0040716320404628505
4,0.00507996483224208,0.33949270401963405,2.629855158931964,0.013045418106248414,2.1599495541945943,2.4368884353131226,0.12821543937483007,0.3450884408903443,0.7136972587347483,31290.3635934282,0.0012775536308299916,0.19864793312568615,0.5636128690440667,0.5676713977527867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,123.0,414.0,3.142628974931507e-05,0.00562022879145954
5,0.006362969110585448,0.33693239650991946,2.6324680756406025,0.013260223995317934,2.1685604325625025,2.4317912275997084,0.12138504008678072,0.34671091607063054,0.7255715215942842,28613.208101073054,0.0012830042783433682,0.19865235419506747,0.5576663358784191,0.5619568456200634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,123.0,414.0,4.07835135362632e-05,0.007154333672426696
6,0.007651559170390803,0.334311748728649,2.6350709694468772,0.013483515675632636,2.177236637044372,2.4266244912608608,0.11454329307770424,0.3483361538262044,0.7379156212656829,26441.36046819902,0.0012885900598053543,0.19865724393850268,0.5517027733332218,0.556240516487813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,123.0,414.0,5.0418950801293686e-05,0.008672158295168379
7,0.008945873556772338,0.33170848450059254,2.637663492426182,0.013715133218493686,2.185989775439775,2.421393713094354,0.10768757489143371,0.3499642309697679,0.7507206885329645,25864.98523021005,0.001294314386381535,0.19866259567257571,0.5457220542288211,0.550521263285169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,123.0,414.0,6.153640705158708e-06,0.0010372730941314912
8,0.010246054346318072,0.32913929464285585,2.640246181609834,0.013954938196843762,2.194830372758223,2.416105345048317,0.1008164343980805,0.35159523054919073,0.7639790019189181,25880.33079591071,0.0013001807895457347,0.19866839281699947,0.539724277827359,0.5447981691130573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,123.0,414.0,1.5249560125624618e-05,0.0025187779150750962
9,0.011552247248955155,0.3266025432408645,2.6428195074003265,0.014202815874922064,2.2037678965210152,2.4107667115919718,0.09392949928971006,0.3532292423577015,0.7776841091628203,25895.977309419595,0.0013061929026370823,0.1986745992990889,0.5337096270382347,0.539070408778068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,123.0,414.0,2.45925479414334e-05,0.003978704143021382
10,0.012864601810506828,0.3240967673997164,2.6453836942052966,0.014458677357662219,2.2128107960782812,2.4053859470324706,0.08702739126882708,0.35486636343486455,0.791830945736692,25911.909176658188,0.0013123545615516723,0.1986811613731465,0.5276783409872393,0.5333372235960969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,123.0,414.0,3.4183476492732845e-05,0.005415329642572964
