iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,root_measured_s_lambda,root_relative_mismatch,root_body_eta,root_resolution_ratio,bem_condition_number,accepted_time_step,maximum_displacement_ratio,kinematic_integral,kinematic_convergence_integral,provisional_matching_surface_shift_panels,final_matching_surface_shift_panels,provisional_matching_surface_root_displacement_ratio,final_matching_surface_root_displacement_ratio,provisional_matching_surface_trigger_code,final_matching_surface_trigger_code,rk2_rejected_attempt_count,jet_point_count,shallow_jet_panel_count_per_side,boundary_panel_count,jet_tip_thickness,jet_tip_s_lambda
0,0.0,0.8555924737300066,2.3513254683613503,0.019672534970314307,1.1622815734867624,2.8078694222268403,1.4158254645674464,0.20508817148162373,1.0667604155062937,25031.88678266327,,,1.2246290678365215,1.2861331753782324,,,,,,,,227.0,113.0,394.0,1.926403530804297e-05,0.003692194358444734
1,0.0009402444688538611,0.8544798915803201,2.3552575187416855,0.0180758508385391,1.4734546180255432,2.771072452744307,0.8806635907508276,0.20631641041367899,0.9817189887520528,25121.15616806277,0.0009402444688538611,0.18776951733186034,1.222082418229437,1.2982369342638038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,113.0,394.0,5.4889765104061564e-05,0.009023375663477756
2,0.0019394382953722205,0.8522296428511156,2.358976442615098,0.016664071655510024,1.7209300919944546,2.7724645584699408,0.6110268344815918,0.20745951155388576,0.908686241640562,25247.241120204573,0.0009991938265183594,0.19720213875122905,1.2149597569158717,1.3099781806865232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,114.0,396.0,1.3440528946725581e-06,0.00020499863578688635
3,0.002959769589488866,0.8469823277623085,2.3623044842049765,0.015409998350829422,1.9229200586083213,2.793880320199362,0.45293628182410367,0.20844079268256044,0.8456393213362058,32612.704867654025,0.0010203312941166455,0.1983396236428688,1.210034939016268,1.328752808031945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,115.0,398.0,3.2082718335106284e-05,0.004736730580968812
4,0.003999039180968838,0.8488712992115416,2.365226168628139,0.014257353760935874,2.0914021859722607,2.8278885015719486,0.3521495389741628,0.20923995708986576,0.7889163815121075,35367.6683223613,0.001039269591479972,0.19875870180717967,1.2115890860328664,1.3594376926298497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,116.0,400.0,2.5230062092863187e-05,0.003699237258883864
5,0.005056805264571555,0.8734047524689144,2.368051126417951,0.012940936129620027,1.559767511014813,2.8467195034751067,0.8250921905810048,0.20998355417842318,0.7238627929735012,28575.2963130521,0.0010577660836027162,0.19917971053256156,1.2636353082591343,1.4534899878987788,0.00390625,0.0,0.003906250000007672,0.0,1.0,0.0,0.0,234.0,117.0,402.0,3.3089186102970865e-05,0.007172761440681822
6,0.006113146956424253,0.8630860362159615,2.376465598725123,0.01291358606306938,1.8048420688218427,2.864286444103012,0.587001152944506,0.21451623538917652,0.802551203336676,29985.21601539361,0.0010563416918526983,0.20007669483401422,1.20661370150175,1.3059595042125753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,130.0,428.0,3.633643640276992e-05,0.006871096067479157
7,0.007019069399930368,0.8306788745925341,2.3793082734448423,0.011945901867851477,1.9989519308463077,2.793920872576631,0.39769287568298484,0.2154377226917299,0.6674268921304096,26073.71291411767,0.0009059224435061145,0.178140716500268,1.1805851172762396,1.2908967342617497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,117.0,402.0,2.7660979530121622e-05,0.0051051820169618995
8,0.008045902459562812,0.8344173623098071,2.3823386842961027,0.01097014863405252,1.6014753686104526,2.7699260965406403,0.7296089286368568,0.21635608601396306,0.5960584298289666,25105.106822833233,0.001026833059632445,0.19821252792652316,1.2000683002459935,1.336339302017275,0.0,0.00390625,0.0,0.003906250000000322,0.0,1.0,0.0,229.0,114.0,396.0,3.939037924507851e-06,0.0009892150156153232
9,0.009086031019694766,0.8412862666150059,2.3854399287446806,0.009751037772909643,1.8239067369498716,2.778633929079886,0.523451760327729,0.2172842602903884,0.54280841685707,29894.800074259125,0.0010401285601319545,0.1997134951122044,1.2057012308002697,1.365054731140449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,117.0,402.0,2.551407157934692e-05,0.0063249547446905105
10,0.010136411960736768,0.7062618543755417,2.3982284366411064,0.019878014370884378,1.9896392715527051,2.6127207226936573,0.31316302409667574,0.22711651895643858,1.099513044238323,25893.503046194743,0.0010503809410420013,0.20211393089735322,1.1186678993667536,1.140708278983806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,117.0,402.0,5.0081510479111114e-05,0.005697790594020743
11,0.011112522635584314,0.7042603667763102,2.4024257517990883,0.019280359880109166,2.109675349589912,2.6296422827347374,0.2464677483414209,0.22852347724903188,1.0632462797175166,25786.501064642012,0.0009761106748475464,0.18989378165508833,1.0783036865021207,1.0976135278365897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,117.0,402.0,1.6319150709121483e-05,0.0018088678181362003
12,0.012126148875555829,0.7151572618499552,2.406471723182038,0.01832740605292282,1.4152323888001594,2.7096567792044652,0.914637341999871,0.2299981702822811,1.0012641248319711,25402.821244361574,0.0010136262399715143,0.19628771450132554,1.0826180859306773,1.1072426112458131,0.00390625,0.0,0.003906250000005863,0.0,1.0,0.0,0.0,233.0,116.0,400.0,4.8856889624800534e-06,0.0008525240161088069
13,0.013093441932489912,0.7156125283295498,2.4103277930060636,0.017291222523439176,1.6602502554802514,2.6871786452162723,0.6185383115263952,0.2314392298128507,0.9407459564082371,35575.538112416034,0.0009672930569340831,0.18636430775739668,1.0627623278648777,1.090371487393393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,116.0,400.0,2.1810288691539098e-05,0.0034406499271248917
14,0.014113311052709292,0.7170744829294381,2.4141161094775336,0.016352467410314913,1.8558977708211661,2.687322316536112,0.44799048675351943,0.23283174789468397,0.8888446672447965,36087.420314264426,0.0010198691202193786,0.1941470047679038,1.0432970729902185,1.0760949636617514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,116.0,400.0,2.1715482734224628e-05,0.0032429642578429316
15,0.015166549793584344,0.7359818097495694,2.4177636242763056,0.015481889203626786,2.0152313999724325,2.700235389063943,0.3399133167044147,0.23414396991982,0.8426383233122212,27630.706012644707,0.0010532387408750514,0.19790941393297415,1.026564947374545,1.0669898449316721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,116.0,400.0,5.129746670348611e-05,0.007457775032644224
16,0.016235991379879758,0.758876423982306,2.421215719410538,0.014712197320766583,1.4267685117309847,2.7535814926399595,0.9299427132010771,0.23538001889034588,0.799685837940452,32026.0271818609,0.0010694415862954158,0.19830700320402045,1.0428596217349768,1.0987951482459337,0.0,0.00390625,0.0,0.00390625000000202,0.0,1.0,0.0,232.0,116.0,400.0,2.272559843927257e-05,0.004924974615884728
17,0.01729391765598424,0.758801173135347,2.4247422219343227,0.013547073933564425,1.6783273803228786,2.7409393362823673,0.633137472711112,0.23671560337485675,0.7422477651284981,32425.479586692945,0.0010579262761044844,0.19666640174614394,1.0348464983650159,1.098686426459086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,117.0,402.0,2.4304839584446213e-05,0.004861723744983427
18,0.01837644179260569,0.7602825705678985,2.428131605307497,0.01251457091024641,1.88060485638101,2.7437777143133744,0.45898682809605895,0.23796588461615165,0.6895184062822037,25711.075931698128,0.0010825241366214475,0.19908837030082988,1.0268830982383421,1.1005415556280442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,117.0,402.0,4.439708491182356e-05,0.008580247375029743
19,0.019469486431953363,0.7598201951732338,2.4313627328057397,0.01156953007145344,2.045531227555019,2.7553218287327796,0.34699572982132315,0.2391165679509819,0.6415397481570616,25924.234964488158,0.001093044639347672,0.1992431066492198,1.0213732813381053,1.1068330129470645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,118.0,404.0,2.4634835375928197e-05,0.004735140910669861
20,0.020572674500832732,0.7639606474179043,2.4344439739790715,0.010717322770096816,1.6143352119734784,2.742951322468114,0.6991212866595006,0.2401999259203338,0.5837407330990961,25290.988891882516,0.0011031880688793685,0.19944721017367945,1.038397520923192,1.140874283175471,0.0,0.00390625,0.0,0.003906250000004916,0.0,1.0,0.0,233.0,116.0,400.0,1.2283438396983745e-05,0.0032348137950093973
