iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,root_measured_s_lambda,root_relative_mismatch,root_body_eta,root_resolution_ratio,bem_condition_number,accepted_time_step,maximum_displacement_ratio,kinematic_integral,kinematic_convergence_integral,provisional_matching_surface_shift_panels,final_matching_surface_shift_panels,provisional_matching_surface_root_displacement_ratio,final_matching_surface_root_displacement_ratio,provisional_matching_surface_trigger_code,final_matching_surface_trigger_code,rk2_rejected_attempt_count,jet_point_count,shallow_jet_panel_count_per_side,boundary_panel_count,jet_tip_thickness,jet_tip_s_lambda
0,0.0,0.8555924737300066,2.3513254683613503,0.0196725349703143,1.1622815734867624,2.8078694222268403,1.4158254645674464,0.2050881714816237,1.0667604155062935,25031.88678266327,,,1.2246290678365217,1.2861331753782324,,,,,,,,227.0,113.0,394.0,1.926403530804297e-05,0.0036921943584447
1,0.0009402444688538,0.8549072598304659,2.355236068206936,0.0180401112016436,1.2386503537227154,2.809730154576751,1.2683803755694385,0.206326194860553,0.9797351389703064,25088.767246390988,0.0009402444688538,0.1877620791063676,1.223120328103544,1.2988516248719746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,113.0,394.0,4.1720868243779695e-05,0.0081844591265094
2,0.0019096553264281,0.8555419346968888,2.359003347085085,0.0164642581898177,1.3126283125866816,2.8131442233942754,1.1431384622891902,0.2075178149673757,0.8970457629021272,28619.799493939263,0.0009694108575742,0.1916946681727129,1.2239784335153616,1.3167067029335793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,114.0,396.0,3.314240611329816e-05,0.006723093902038
3,0.0029088534822669,0.8529204344411536,2.362613366998212,0.014937753680924,1.3843416168157807,2.817202186673989,1.0350483958966932,0.2086507013902709,0.8181063281229386,25361.38624326689,0.0009991981558388,0.195630643816856,1.227745128422148,1.3404514094389524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,114.0,396.0,4.269903564775232e-05,0.0090518301711265
4,0.0039354151536323,0.8553400317475889,2.366060598404208,0.0134563311061726,1.4536175642186095,2.820547924376497,0.9403645042585048,0.2097078594944614,0.742307898142152,25593.0154508018,0.0010265616713653,0.1990594959714048,1.2350648051938202,1.3709435395303389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,115.0,398.0,2.780066069258816e-05,0.0062287551795267
5,0.0049729980403939,0.8620697438898316,2.369278020540555,0.0120332673659059,1.5192590786956617,2.8209580588843925,0.8567985529540403,0.2106589477817502,0.66968696293064,25881.67712077782,0.0010375828867616,0.199409511408043,1.246502773383746,1.4085928271344914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,116.0,400.0,2.7323189352406028e-05,0.0065465875968491
6,0.0060201776036484,0.8723127397844456,2.3722625307707483,0.0106600985675555,1.5809356170562143,2.815864087613885,0.7811377371946192,0.211489257218735,0.5995138744227175,44355.53469187929,0.0010471795632544,0.1997369646125655,1.2629593586981054,1.4543695720207837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,118.0,404.0,4.592652749352765e-06,0.0011925400480791
7,0.0070749519899344,0.8859518017570097,2.374996614468165,0.0093321705483713,1.6377671360823278,2.801551648348548,0.7105921755458392,0.2121802108175465,0.5311450997835342,28264.972592214173,0.001054774386286,0.2000325567486977,1.285672275292284,1.5093381667404235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,119.0,406.0,2.6708073726772167e-05,0.0076397575284317
8,0.0081345949825536,0.8715863720377971,2.38475873530114,0.0090103181830347,1.8123523033797664,2.8572492625284163,0.5765418551349388,0.2177339945428,0.5985194372467496,56645.83797828392,0.0010596429926191,0.206507562769501,1.2172410228730406,1.294898611388006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,140.0,448.0,2.959139322828829e-06,0.0007999671050257
9,0.0089473623124231,0.7416490860863832,2.393288898675096,0.0190706507887148,1.266482995727443,2.7338291822067355,1.158599200644204,0.2242303328710393,1.039391230003725,25297.756097772337,0.0008127673298694,0.1915904684282342,1.1186472882807,1.140587719382471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,115.0,398.0,3.1735100657574324e-05,0.0059094404021607
10,0.00988582847529,0.7463174207090489,2.397242430825874,0.0179057956511391,1.316548062597892,2.735157371176017,1.0775218534588396,0.2256943360646375,0.974191688565526,25239.713123470952,0.0009384661628669,0.1874362291416569,1.105757659323113,1.1312726225355114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,115.0,398.0,2.111405402639985e-05,0.0040327914089542
11,0.010845976763281,0.7521548271991048,2.401115667801579,0.0167591858857876,1.366605315568523,2.736491327314517,1.0024006171643685,0.227137134905943,0.91063344668872,25197.71443286669,0.0009601482879909,0.1873505643724791,1.0946797477920671,1.1249324879805829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,115.0,398.0,1.5122865108470627e-05,0.0029761249586728
12,0.0118293173728765,0.7542574045762535,2.404912845734466,0.0156300140960048,1.4169096748297074,2.7378851382194105,0.9322933471736408,0.2285574284482969,0.8491864729932733,25196.577737882257,0.0009833406095955,0.190325904315887,1.0853590188482325,1.1216007547639912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,115.0,398.0,2.091093244863603e-05,0.00425998901437
13,0.0128358052566461,0.76588486231021,2.408636577628516,0.0145181443908896,1.4674143572463874,2.739053407786721,0.8665848499169468,0.2299518945652974,0.7896280421706217,25235.19621064648,0.0010064878837695,0.1931880665492805,1.077775666912122,1.1212216890241111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,115.0,398.0,3.7245378146923496e-05,0.0078945274432919
14,0.0138649670972714,0.7763260177139036,2.412294448230416,0.0134225431004823,1.5180578771723003,2.739569907473518,0.8046544526856504,0.231316962737226,0.7316746645929348,32680.71996220061,0.0010291618406253,0.1959089432202383,1.0718740060787184,1.1236896663916789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,116.0,400.0,2.096366900491501e-05,0.0046491635759284
15,0.0149159685051558,0.7749862225876709,2.41587809600378,0.0123413218294489,1.5687687083295256,2.7388361166587782,0.7458508077810765,0.2326488640765573,0.6750005823280584,25413.198203938944,0.0010510014078843,0.1984646134318137,1.0675971430226605,1.1288930708973646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,116.0,400.0,1.5686195449743628e-05,0.0036635396170164
16,0.0159770760301233,0.775129958553914,2.419360295043093,0.0112822569991658,1.618945067551541,2.736000399214336,0.6899896445233971,0.2339311356186628,0.6197193251492421,33269.90220196765,0.0010611075249675,0.1988510906447537,1.0649100981757922,1.1366369405174344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,117.0,402.0,1.8155808123221025e-05,0.0044970163728904
17,0.0170469978360253,0.7738274419885681,2.4227382882108097,0.0102413337649347,1.6685224918816368,2.730085573512869,0.6362294106290887,0.2351616545511659,0.5654446597208076,25721.228215109964,0.0010699218059019,0.1990926926107364,1.0637462321160849,1.1467721751662778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,117.0,402.0,2.6655143497657145e-05,0.007060252987237
18,0.018124961461875,0.7742752329302607,2.426026187223569,0.0092137647119339,1.717428793481967,2.7198244276422923,0.5836606664361543,0.2363389591000531,0.5117549923810061,25917.46725393471,0.0010779636258496,0.1993035830426776,1.064050489161957,1.1591641867900264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,118.0,404.0,7.85729832007714e-06,0.0022479295047916
19,0.0192101588380491,0.6505918073768434,2.4351367318987918,0.019374178069193,1.3246523403729469,2.6675175472457204,1.0137491671925778,0.2440615239388444,1.0679225023367245,25762.518851348686,0.0010851973761741,0.2034254655235419,1.0071701857906246,1.0175835648879747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,118.0,404.0,1.3933618245919334e-05,0.0025041346029039
