component,sigma,motion_dof,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_matrix_is_zero,response_calibration_used
bem,1.4,heave,A33,29.10705487922665,0.9051423906991904,0.03186180868606067,False,False
bem,1.4,heave,A53,-2.1381705480143265,-0.20909028913633504,0.048336031259545956,False,False
bem,1.4,heave,B33,327.76594414056797,1.8354209702147481,0.03186180868606067,False,False
bem,1.4,heave,B53,6.176116724894595,0.10875775584244034,0.048336031259545956,False,False
front,1.4,heave,A33,0.7903431356255887,0.02457730877346141,0.1162572714325338,False,False
front,1.4,heave,A53,-0.46258257869654096,-0.04523564559380655,0.09028970655144537,False,False
front,1.4,heave,B33,92.75787488385937,0.5194247656229255,0.1162572714325338,False,False
front,1.4,heave,B53,48.57567661474656,0.855388881471975,0.09028970655144537,False,False
longitudinal_bin_aft_post_chine,1.4,heave,A33,0.7963614845433766,0.024764461432846274,0.00407982733996452,True,False
longitudinal_bin_aft_post_chine,1.4,heave,A53,-0.24959444864518,-0.024407676685337606,0.0049183421655879175,True,False
longitudinal_bin_aft_post_chine,1.4,heave,B33,62.19015587876416,0.3482519104909041,0.00407982733996452,True,False
longitudinal_bin_aft_post_chine,1.4,heave,B53,-21.464454144501776,-0.3779763186355292,0.0049183421655879175,True,False
longitudinal_bin_forward_post_chine,1.4,heave,A33,-3.5574492296683844,-0.11062603598659197,0.029298146851377695,True,False
longitudinal_bin_forward_post_chine,1.4,heave,A53,-0.5530443922498973,-0.05408184673956369,0.02856161711924855,True,False
longitudinal_bin_forward_post_chine,1.4,heave,B33,106.92296073517683,0.5987462939304857,0.029298146851377695,True,False
longitudinal_bin_forward_post_chine,1.4,heave,B53,12.451688618280835,0.21926685826945605,0.02856161711924855,True,False
longitudinal_bin_middle_post_chine,1.4,heave,A33,1.4489254818026902,0.04505725089623731,0.014149036607604805,True,False
longitudinal_bin_middle_post_chine,1.4,heave,A53,-0.20292494671096042,-0.019843896839835153,0.008002581884131933,True,False
longitudinal_bin_middle_post_chine,1.4,heave,B33,85.73497602097704,0.48009799578895074,0.014149036607604805,True,False
longitudinal_bin_middle_post_chine,1.4,heave,B53,-9.55427072623363,-0.16824504606719945,0.008002581884131933,True,False
longitudinal_bin_pre_chine,1.4,heave,A33,-21.48755965110463,-0.6681988677175662,0.04986019351838621,True,False
longitudinal_bin_pre_chine,1.4,heave,A53,-8.798375327598967,-0.8603873263927018,0.0515564439517701,True,False
longitudinal_bin_pre_chine,1.4,heave,B33,72.91785150564992,0.4083247700044076,0.04986019351838621,True,False
longitudinal_bin_pre_chine,1.4,heave,B53,24.74315297734916,0.4357122622757128,0.0515564439517701,True,False
post_chine_bem,1.4,heave,A33,-1.3121622633223105,-0.040804323657508176,0.014673403108751058,True,False
post_chine_bem,1.4,heave,A53,-1.00556378760604,-0.09833342026473667,0.020454847006672532,True,False
post_chine_bem,1.4,heave,B33,254.84809263491798,1.4270962002103402,0.014673403108751058,True,False
post_chine_bem,1.4,heave,B53,-18.567036252454585,-0.3269545064332729,0.020454847006672532,True,False
pre_chine_bem,1.4,heave,A33,-21.48755965110463,-0.6681988677175662,0.04986019351838621,True,False
pre_chine_bem,1.4,heave,A53,-8.798375327598967,-0.8603873263927018,0.0515564439517701,True,False
pre_chine_bem,1.4,heave,B33,72.91785150564992,0.4083247700044076,0.04986019351838621,True,False
pre_chine_bem,1.4,heave,B53,24.74315297734916,0.4357122622757128,0.0515564439517701,True,False
raw_bem,1.4,heave,A33,29.10705487922665,0.9051423906991904,0.03186180868606067,False,False
raw_bem,1.4,heave,A53,-2.1381705480143265,-0.20909028913633504,0.048336031259545956,False,False
raw_bem,1.4,heave,B33,327.76594414056797,1.8354209702147481,0.03186180868606067,False,False
raw_bem,1.4,heave,B53,6.176116724894595,0.10875775584244034,0.048336031259545956,False,False
resolved_station_bem,1.4,heave,A33,-18.912290764873536,-0.5881157041667238,0.07898739001014916,True,False
resolved_station_bem,1.4,heave,A53,-11.366363275197248,-1.1115091758450732,0.09217333872906903,True,False
resolved_station_bem,1.4,heave,B33,318.24621200396393,1.7821124544683509,0.07898739001014916,True,False
resolved_station_bem,1.4,heave,B53,10.332724812259283,0.18195316124599295,0.09217333872906903,True,False
total,1.4,heave,A33,29.897398014852293,0.9297196994726535,0.01248335937955616,False,False
total,1.4,heave,A53,-2.6007531267108694,-0.25432593473014176,0.018777051420245355,False,False
total,1.4,heave,B33,420.5238190244274,2.354845735837674,0.01248335937955616,False,False
total,1.4,heave,B53,54.75179333964114,0.964146637314415,0.018777051420245355,False,False
transom,1.4,heave,A33,-0.0,-0.0,0.0,True,False
transom,1.4,heave,A53,-0.0,-0.0,0.0,True,False
transom,1.4,heave,B33,0.0,0.0,0.0,True,False
transom,1.4,heave,B53,0.0,0.0,0.0,True,False
transom_extrapolation,1.4,heave,A33,-3.8874311495534126,-0.12088748720835087,0.22925571215675666,True,False
transom_extrapolation,1.4,heave,A53,1.5624241599922406,0.1527884291876347,0.23318739467407773,True,False
transom_extrapolation,1.4,heave,B33,9.519732136603945,0.05330851574639695,0.22925571215675666,True,False
transom_extrapolation,1.4,heave,B53,-4.156608087364682,-0.07319540540355253,0.23318739467407773,True,False
