component,row,column,value,units
raw_bem,heave_force,heave,3135.889290188772,N/m
raw_bem,heave_force,pitch,-1002.8562672752697,N/rad
raw_bem,pitch_moment,heave,463.06474341613585,N
raw_bem,pitch_moment,pitch,342.5104091474282,N m/rad
bem,heave_force,heave,3135.889290188772,N/m
bem,heave_force,pitch,-1002.8562672752697,N/rad
bem,pitch_moment,heave,463.06474341613585,N
bem,pitch_moment,pitch,342.5104091474282,N m/rad
front,heave_force,heave,0.0,N/m
front,heave_force,pitch,-128.24610569537847,N/rad
front,pitch_moment,heave,129.19180803956615,N
front,pitch_moment,pitch,2.276726415784117,N m/rad
transom,heave_force,heave,0.0,N/m
transom,heave_force,pitch,0.0,N/rad
transom,pitch_moment,heave,0.0,N
transom,pitch_moment,pitch,0.0,N m/rad
total,heave_force,heave,3135.889290188772,N/m
total,heave_force,pitch,-1131.1023729706737,N/rad
total,pitch_moment,heave,592.256551455702,N
total,pitch_moment,pitch,344.78713556321236,N m/rad
resolved_station_bem,heave_force,heave,0.0,N/m
resolved_station_bem,heave_force,pitch,0.0,N/rad
resolved_station_bem,pitch_moment,heave,0.0,N
resolved_station_bem,pitch_moment,pitch,0.0,N m/rad
transom_extrapolation,heave_force,heave,0.0,N/m
transom_extrapolation,heave_force,pitch,0.0,N/rad
transom_extrapolation,pitch_moment,heave,0.0,N
transom_extrapolation,pitch_moment,pitch,0.0,N m/rad
pre_chine_bem,heave_force,heave,0.0,N/m
pre_chine_bem,heave_force,pitch,0.0,N/rad
pre_chine_bem,pitch_moment,heave,0.0,N
pre_chine_bem,pitch_moment,pitch,0.0,N m/rad
post_chine_bem,heave_force,heave,0.0,N/m
post_chine_bem,heave_force,pitch,0.0,N/rad
post_chine_bem,pitch_moment,heave,0.0,N
post_chine_bem,pitch_moment,pitch,0.0,N m/rad
longitudinal_bin_aft_post_chine,heave_force,heave,0.0,N/m
longitudinal_bin_aft_post_chine,heave_force,pitch,0.0,N/rad
longitudinal_bin_aft_post_chine,pitch_moment,heave,0.0,N
longitudinal_bin_aft_post_chine,pitch_moment,pitch,0.0,N m/rad
longitudinal_bin_middle_post_chine,heave_force,heave,0.0,N/m
longitudinal_bin_middle_post_chine,heave_force,pitch,0.0,N/rad
longitudinal_bin_middle_post_chine,pitch_moment,heave,0.0,N
longitudinal_bin_middle_post_chine,pitch_moment,pitch,0.0,N m/rad
longitudinal_bin_forward_post_chine,heave_force,heave,0.0,N/m
longitudinal_bin_forward_post_chine,heave_force,pitch,0.0,N/rad
longitudinal_bin_forward_post_chine,pitch_moment,heave,0.0,N
longitudinal_bin_forward_post_chine,pitch_moment,pitch,0.0,N m/rad
longitudinal_bin_pre_chine,heave_force,heave,0.0,N/m
longitudinal_bin_pre_chine,heave_force,pitch,0.0,N/rad
longitudinal_bin_pre_chine,pitch_moment,heave,0.0,N
longitudinal_bin_pre_chine,pitch_moment,pitch,0.0,N m/rad
