component,row,column,value,units
raw_bem,heave_force,heave,2863.312075623426,N/m
raw_bem,heave_force,pitch,-371.9649915094724,N/rad
raw_bem,pitch_moment,heave,226.25217787027353,N
raw_bem,pitch_moment,pitch,286.1303948043386,N m/rad
bem,heave_force,heave,2863.312075623426,N/m
bem,heave_force,pitch,-371.9649915094724,N/rad
bem,pitch_moment,heave,226.25217787027353,N
bem,pitch_moment,pitch,286.1303948043386,N m/rad
front,heave_force,heave,-0.0,N/m
front,heave_force,pitch,-128.2460402663076,N/rad
front,pitch_moment,heave,129.19180803956948,N
front,pitch_moment,pitch,2.276724736647337,N m/rad
transom,heave_force,heave,-0.0,N/m
transom,heave_force,pitch,-0.0,N/rad
transom,pitch_moment,heave,-0.0,N
transom,pitch_moment,pitch,-0.0,N m/rad
total,heave_force,heave,2863.312075623426,N/m
total,heave_force,pitch,-500.211031775777,N/rad
total,pitch_moment,heave,355.44398590984326,N
total,pitch_moment,pitch,288.40711954098646,N m/rad
longitudinal_bin_aft_post_chine,heave_force,heave,488.99998618417766,N/m
longitudinal_bin_aft_post_chine,heave_force,pitch,-358.44154677337536,N/rad
longitudinal_bin_aft_post_chine,pitch_moment,heave,-173.45154900343314,N
longitudinal_bin_aft_post_chine,pitch_moment,pitch,127.2437271201974,N m/rad
longitudinal_bin_middle_post_chine,heave_force,heave,426.18759080991646,N/m
longitudinal_bin_middle_post_chine,heave_force,pitch,-310.96960292745973,N/rad
longitudinal_bin_middle_post_chine,pitch_moment,heave,-49.90760076990773,N
longitudinal_bin_middle_post_chine,pitch_moment,pitch,37.17609219762648,N m/rad
longitudinal_bin_forward_post_chine,heave_force,heave,1213.108170610971,N/m
longitudinal_bin_forward_post_chine,heave_force,pitch,77.03382417283296,N/rad
longitudinal_bin_forward_post_chine,pitch_moment,heave,157.01408670788445,N
longitudinal_bin_forward_post_chine,pitch_moment,pitch,26.18529262484613,N m/rad
longitudinal_bin_pre_chine,heave_force,heave,735.0163280183584,N/m
longitudinal_bin_pre_chine,heave_force,pitch,220.41233401852975,N/rad
longitudinal_bin_pre_chine,pitch_moment,heave,292.59724093573067,N
longitudinal_bin_pre_chine,pitch_moment,pitch,95.52528286167494,N m/rad
resolved_station_bem,heave_force,heave,0.0,N/m
resolved_station_bem,heave_force,pitch,0.0,N/rad
resolved_station_bem,pitch_moment,heave,0.0,N
resolved_station_bem,pitch_moment,pitch,0.0,N m/rad
transom_extrapolation,heave_force,heave,0.0,N/m
transom_extrapolation,heave_force,pitch,0.0,N/rad
transom_extrapolation,pitch_moment,heave,0.0,N
transom_extrapolation,pitch_moment,pitch,0.0,N m/rad
pre_chine_bem,heave_force,heave,0.0,N/m
pre_chine_bem,heave_force,pitch,0.0,N/rad
pre_chine_bem,pitch_moment,heave,0.0,N
pre_chine_bem,pitch_moment,pitch,0.0,N m/rad
post_chine_bem,heave_force,heave,0.0,N/m
post_chine_bem,heave_force,pitch,0.0,N/rad
post_chine_bem,pitch_moment,heave,0.0,N
post_chine_bem,pitch_moment,pitch,0.0,N m/rad
