source_directory,component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,restoring_matrices_sha256,target_identifier,beam_m,deadrise_deg,trim_deg,fn_b,mean_wetted_length_over_b,lcg_from_transom_m,rho_water_kg_m3,gravity_m_s2,matrix_coordinate_contract,response_calibration_used
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_body12_sub16_v1,total,0.85,4.720257636410119,A33,25.881005460991556,0.804821898122697,0.015852578090297314,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_body12_sub16_v1,total,0.85,4.720257636410119,A35,5.900795858928206,0.5770349392491586,0.03976560404476467,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_body12_sub16_v1,total,0.85,4.720257636410119,A53,-2.3431042322158966,-0.2291306190919011,0.01932203898471912,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_body12_sub16_v1,total,0.85,4.720257636410119,A55,-5.219622263839771,-1.6051051012048971,0.0435216911415772,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_body12_sub16_v1,total,0.85,4.720257636410119,B33,394.6891746637595,2.210177112189348,0.015852578090297314,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_body12_sub16_v1,total,0.85,4.720257636410119,B35,-226.61270614617047,-3.9905154749581753,0.03976560404476467,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_body12_sub16_v1,total,0.85,4.720257636410119,B53,44.18747596219666,0.7781152682266221,0.01932203898471912,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_body12_sub16_v1,total,0.85,4.720257636410119,B55,57.93696674228324,3.208288218703005,0.0435216911415772,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.13,6.275166034286394,A33,28.003924074538066,0.8708383205020247,0.0151839824223201,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_troesch_experimental_C_body12_sub16_v1,total,1.13,6.275166034286394,A35,2.3511504598824935,0.22991745439408406,0.03511702282901104,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,6fdb1324e16eac74e3ba6bcb6ab1107192a444804ad54c66ac6a794d87625a3d,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
